X,Y,Z,azimuth,dip,polarity,formation
12821.440000,16773.600000,-1000.000000,270.000000,89.000000,-1,Fault2
12830.020000,17477.210000,-1000.000000,271.145816,89.000000,-1,Fault2
12838.610000,18206.795000,-1000.000000,270.001906,89.000000,-1,Fault2
12907.270000,19245.445000,-1000.000000,275.314134,89.000000,-1,Fault2
13010.220000,20729.570000,-1000.000000,272.632241,89.000000,-1,Fault2
13053.095000,22101.760000,-1000.000000,270.784655,89.000000,-1,Fault2
13061.725000,23052.865000,-1000.000000,270.009696,89.000000,-1,Fault2
13018.855000,23566.900000,-1000.000000,257.206870,89.000000,-1,Fault2
12984.500000,23885.900000,-1000.000000,273.772814,89.000000,-1,Fault2
9935.320000,11227.690000,-1000.000000,302.497621,70.000000,1,Fault2
10634.685000,12308.170000,-1000.000000,303.582147,70.000000,1,Fault2
11374.720000,13274.465000,-1000.000000,310.078827,70.000000,1,Fault2
11958.355000,13999.880000,-1000.000000,304.397249,70.000000,1,Fault2
12197.185000,14390.650000,-1000.000000,298.995444,70.000000,1,Fault2
12471.935000,14911.595000,-1000.000000,296.921586,70.000000,1,Fault2
12828.670000,15581.060000,-1000.000000,298.956718,70.000000,1,Fault2
9059.440000,38964.870000,-1000.000000,92.059785,89.000000,1,Fault2
9059.450000,37324.940000,-1000.000000,87.931191,89.000000,1,Fault2
9059.450000,35708.210000,-1000.000000,92.120300,89.000000,1,Fault2
9051.910000,34579.275000,-1000.000000,86.188399,89.000000,1,Fault2
9081.460000,33944.865000,-1000.000000,88.580599,89.000000,1,Fault2
9122.845000,32975.620000,-1000.000000,87.087131,89.000000,1,Fault2
9154.015000,31776.060000,-1000.000000,90.287973,89.000000,1,Fault2
9815.240000,30849.580000,-1000.000000,59.032621,70.000000,-1,Fault2
10227.695000,30092.415000,-1000.000000,64.162037,70.000000,-1,Fault2
10796.035000,29019.465000,-1000.000000,61.065170,70.000000,-1,Fault2
11398.235000,27988.705000,-1000.000000,56.810355,70.000000,-1,Fault2
11753.030000,27420.580000,-1000.000000,59.611883,70.000000,-1,Fault2
12046.085000,26929.665000,-1000.000000,58.710211,70.000000,-1,Fault2
12355.370000,26302.695000,-1000.000000,67.160419,70.000000,-1,Fault2
12667.210000,25618.480000,-1000.000000,63.427300,70.000000,-1,Fault2
12945.185000,25027.780000,-1000.000000,66.243745,70.000000,-1,Fault2
13176.765000,24518.835000,-1000.000000,64.596869,70.000000,-1,Fault2
9113.115000,9088.915000,-1000.000000,91.502311,89.000000,1,Fault2
9106.995000,8276.045000,-1000.000000,89.151551,89.000000,1,Fault2
9087.435000,7343.835000,-1000.000000,92.552392,89.000000,1,Fault2
9052.540000,6144.165000,-1000.000000,90.884741,89.000000,1,Fault2
9049.845000,4946.130000,-1000.000000,89.268245,89.000000,1,Fault2
9099.570000,3658.725000,-1000.000000,86.649774,89.000000,1,Fault2
9136.115000,2452.930000,-1000.000000,90.721262,89.000000,1,Fault2
9144.275000,1482.880000,-1000.000000,88.346732,89.000000,1,Fault2
9141.585000,502.060000,-1000.000000,91.974994,89.000000,1,Fault2
9577.420000,30594.325000,-1000.000000,65.003316,70.000000,1,Fault2
9957.035000,29854.105000,-1000.000000,60.278429,70.000000,1,Fault2
10538.245000,28812.850000,-1000.000000,61.088298,70.000000,1,Fault2
11142.720000,27777.720000,-1000.000000,56.830890,70.000000,1,Fault2
11496.975000,27210.495000,-1000.000000,59.631796,70.000000,1,Fault2
11776.995000,26742.450000,-1000.000000,58.547298,70.000000,1,Fault2
12066.390000,26190.625000,-1000.000000,65.076703,70.000000,1,Fault2
12370.185000,25559.860000,-1000.000000,63.437972,70.000000,1,Fault2
12683.280000,24933.635000,-1000.000000,63.434594,70.000000,1,Fault2
12942.285000,24408.275000,-1000.000000,64.273792,70.000000,1,Fault2
13231.220000,16634.460000,-1000.000000,274.970681,89.000000,1,Fault2
13251.800000,17191.970000,-1000.000000,269.998214,89.000000,1,Fault2
13260.045000,17793.105000,-1000.000000,271.686516,89.000000,1,Fault2
13297.245000,18326.040000,-1000.000000,276.537683,89.000000,1,Fault2
13356.120000,18986.560000,-1000.000000,274.196092,89.000000,1,Fault2
13401.250000,19671.350000,-1000.000000,273.142690,89.000000,1,Fault2
13414.950000,20219.585000,-1000.000000,269.683329,89.000000,1,Fault2
13418.485000,20735.095000,-1000.000000,271.181588,89.000000,1,Fault2
13424.075000,21101.150000,-1000.000000,270.260775,89.000000,1,Fault2
13425.110000,21363.965000,-1000.000000,270.195222,89.000000,1,Fault2
13424.955000,21640.775000,-1000.000000,269.732353,89.000000,1,Fault2
13424.750000,21827.155000,-1000.000000,270.488385,89.000000,1,Fault2
13427.800000,21963.230000,-1000.000000,271.752518,89.000000,1,Fault2
13434.700000,22197.665000,-1000.000000,271.647514,89.000000,1,Fault2
13435.425000,22433.305000,-1000.000000,267.655636,89.000000,1,Fault2
13426.790000,22611.905000,-1000.000000,266.831409,89.000000,1,Fault2
13418.835000,22810.055000,-1000.000000,268.451988,89.000000,1,Fault2
13411.385000,23033.655000,-1000.000000,267.764832,89.000000,1,Fault2
13409.215000,23264.640000,-1000.000000,271.211003,89.000000,1,Fault2
13412.935000,23469.375000,-1000.000000,270.828216,89.000000,1,Fault2
13411.495000,23666.270000,-1000.000000,268.510202,89.000000,1,Fault2
13405.155000,23892.160000,-1000.000000,268.288227,89.000000,1,Fault2
9721.705000,11493.200000,-1000.000000,303.261579,70.000000,-1,Fault2
10394.850000,12513.135000,-1000.000000,303.646409,70.000000,-1,Fault2
11149.485000,13500.105000,-1000.000000,310.068422,70.000000,-1,Fault2
11714.635000,14198.385000,-1000.000000,304.385277,70.000000,-1,Fault2
11920.280000,14536.725000,-1000.000000,298.931210,70.000000,-1,Fault2
12167.470000,15030.865000,-1000.000000,294.962285,70.000000,-1,Fault2
12540.845000,15806.460000,-1000.000000,296.164454,70.000000,-1,Fault2
9514.105000,495.965000,-1000.000000,270.577994,89.000000,1,Fault2
9516.790000,1476.360000,-1000.000000,269.749264,89.000000,1,Fault2
9520.640000,2452.730000,-1000.000000,270.722419,89.000000,1,Fault2
9484.100000,3657.940000,-1000.000000,266.648786,89.000000,1,Fault2
9433.940000,5043.215000,-1000.000000,269.339411,89.000000,1,Fault2
9436.635000,6242.410000,-1000.000000,271.089305,89.000000,1,Fault2
9471.960000,7344.875000,-1000.000000,272.553154,89.000000,1,Fault2
9491.515000,8276.685000,-1000.000000,269.151276,89.000000,1,Fault2
9502.505000,9096.275000,-1000.000000,272.099826,89.000000,1,Fault2
9538.485000,9961.560000,-1000.000000,272.684785,89.000000,1,Fault2
9640.165000,31965.695000,-1000.000000,270.288234,89.000000,1,Fault2
9609.005000,33164.505000,-1000.000000,267.086832,89.000000,1,Fault2
9567.635000,34133.350000,-1000.000000,268.580911,89.000000,1,Fault2
9538.070000,34768.165000,-1000.000000,266.191152,89.000000,1,Fault2
9545.590000,35897.905000,-1000.000000,272.119597,89.000000,1,Fault2
