X,Y,Z,formation,series,X_std,Y_std,Z_std,group_id
750,0,1223,Fault_1,Fault_1,0,0,0,Fault_1
1050,0,704,Fault_1,Fault_1,0,0,0,Fault_1
2250,0,975,Fault_2,Fault_2,0,0,0,Fault_2
1950,0,567,Fault_2,Fault_2,0,0,0,Fault_2
250,0,1523,Layer 2,Default serie,0,0,0,l2_a
250,0,1320,Layer 3,Default serie,0,0,0,l3_a
250,0,1117,Layer 4,Default serie,0,0,0,l4_a
250,0,914,Layer 5,Default serie,0,0,0,l5_a
1500,0,1054,Layer 2,Default serie,0,0,0,l2_b
1500,0,851,Layer 3,Default serie,0,0,0,l3_b
1500,0,648,Layer 4,Default serie,0,0,0,l4_b
1500,0,445,Layer 5,Default serie,0,0,0,l5_b
2750,0,1130,Layer 2,Default serie,0,0,0,l2_c
2750,0,936,Layer 3,Default serie,0,0,0,l3_c
2750,0,733,Layer 4,Default serie,0,0,0,l4_c
2750,0,530,Layer 5,Default serie,0,0,0,l5_c
