X,Y,Z,formation
383267.125849,6692375.065706,42.347303,Lesueur
385656.999410,6692656.794658,42.347303,Lesueur
388158.029281,6692951.627211,42.347303,Lesueur
390510.850409,6693228.988256,-88.233697,Lesueur
352976.841866,6688804.311969,-5833.794697,Lesueur
349411.679351,6653440.149908,-4324.030105,Lesueur
351841.686031,6654202.418911,-4392.337105,Lesueur
380356.701646,6662510.291576,-6567.699105,Lesueur
382545.931510,6662582.881723,-6806.655105,Lesueur
392541.609621,6693468.383207,928.448303,Permian
395330.675019,6693797.170673,986.956303,Permian
398507.110115,6694171.623005,967.453303,Permian
338267.783260,6687070.342554,-4782.514697,Permian
340255.613728,6687304.676873,-5079.046697,Permian
348501.431395,6688276.730627,-7154.775697,Permian
352571.944537,6688756.580866,-7836.879697,Permian
357602.562530,6689349.612546,-8273.556697,Permian
372576.271591,6691114.780137,-7525.440697,Permian
385092.242016,6692590.218538,-1668.921697,Permian
388037.178103,6692937.380735,-1743.054697,Permian
364190.685794,6658076.177701,-10068.796105,Permian
370581.834459,6660081.017671,-10125.561105,Permian
381550.826391,6662549.886180,-9355.525105,Permian
337765.192857,6650305.529894,-4569.541105,Permian
339365.910313,6650910.683888,-4515.072105,Permian
348604.615926,6653186.982113,-6537.306105,Permian
350975.088988,6653930.576010,-6662.921105,Permian
396667.948468,6663051.137388,939.465895,Permian
398260.116460,6663103.930249,979.291895,Permian
387143.811652,6662735.337525,-5879.938105,Permian
389318.881298,6662807.458150,-5938.756105,Permian
344027.770807,6687749.355569,-6023.503697,Woodada_Kockatea
350933.945695,6688563.486259,-7003.554697,Woodada_Kockatea
343600.199481,6687698.951555,-2875.825697,Yarragadee
344814.486275,6687842.097096,-2788.489697,Yarragadee
347069.591029,6688107.938900,-2846.713697,Yarragadee
353590.199732,6688876.617329,-3666.615697,Yarragadee
380367.581667,6662510.652334,-3808.317105,Yarragadee
383506.431648,6662614.729839,-4126.926105,Yarragadee
364082.361402,6658042.197413,-4505.867105,Yarragadee
371404.678673,6660339.135743,-4673.112105,Yarragadee
350920.928223,6653913.586316,-1610.873105,Yarragadee
353520.717446,6654729.114419,-1894.696105,Yarragadee
342049.687219,6651550.532280,-2478.249105,Yarragadee
343851.059886,6651980.003672,-2446.320105,Yarragadee
345590.316523,6652394.665770,-2605.963105,Yarragadee
388868.827634,6662792.535339,-830.809105,Yarragadee
391549.358494,6662881.415969,-958.524105,Yarragadee
394612.827902,6662982.994017,-990.453105,Yarragadee
353033.649508,6688811.008707,-5424.239697,Eneabba
341942.065605,6651524.873845,-4152.902105,Eneabba
342823.407616,6651734.997595,-4152.902105,Eneabba
337375.397545,6650010.823057,-1199.239105,Eneabba
338177.661298,6650617.378871,-1227.176105,Eneabba
353514.305255,6688867.670550,-4863.837697,Cattamarra
353994.961003,6688924.332392,-3972.289697,Cadda
358422.044112,6689446.216689,-737.241697,Cretaceous
386659.170996,6662719.267885,-349.138105,Cretaceous
362632.034534,6657587.244254,-303.620105,Cretaceous
367192.073609,6659017.683301,-940.838105,Cretaceous
373532.695890,6661006.673645,-713.260105,Cretaceous
346487.344000,6707224.000000,229.783830,Cretaceous
346724.219000,6709119.000000,236.946081,Cretaceous
350389.250000,6683986.000000,253.713420,Cretaceous
349437.156000,6693507.000000,238.379141,Cretaceous
345866.844000,6701996.500000,209.750695,Cretaceous
363848.313000,6642899.000000,248.562248,Cretaceous
362850.906000,6651604.000000,222.729354,Cretaceous
358589.188000,6662303.500000,280.211703,Cretaceous
353762.938000,6672419.500000,254.338465,Cretaceous
391199.876318,6693310.213703,-335.036697,Darling
388934.151104,6693043.119912,-3719.133697,Darling
386026.473028,6692700.349855,-7217.301697,Darling
393786.593975,6662955.597879,-2703.767105,Darling
391487.125000,6704623.000000,246.230082,Darling
381591.762732,6692177.566432,-954.276697,Urella_North
379779.180773,6691963.891188,-3996.161697,Urella_North
376671.903799,6691597.591524,-7211.869697,Urella_North
350677.949316,6688533.308264,-391.568697,Eneabba_South
348370.399711,6688261.284028,-3053.062697,Eneabba_South
345517.430806,6687924.963332,-5503.327697,Eneabba_South
347559.222614,6652864.079376,-2586.131105,Eneabba_South
354951.313000,6642333.000000,219.196929,Eneabba_South
353707.750000,6648758.000000,196.407131,Eneabba_South
340231.045846,6687301.780702,-983.011697,Coomallo
341657.530298,6687469.941049,-3728.998697,Coomallo
343629.436036,6687702.398090,-6728.460697,Coomallo
338862.633991,6650790.696066,-1174.500105,Coomallo
340922.351837,6651281.760412,-4585.943105,Coomallo
343668.643595,6651936.513183,-7762.114105,Coomallo
338001.531000,6703286.500000,151.117327,Coomallo
377661.255065,6662301.761725,-1912.105105,Hypo_fault_E
376631.280728,6661978.668988,-5622.756105,Hypo_fault_E
374635.704200,6661352.676416,-10480.336105,Hypo_fault_E
357769.856194,6656062.027115,-1777.172105,Hypo_fault_W
358864.204582,6656405.313355,-5960.088105,Hypo_fault_W
360731.034915,6656990.919521,-10075.538105,Hypo_fault_W
387790.456275,6662756.778868,-762.774105,Urella_South
385497.813244,6662680.759763,-4703.579105,Urella_South
383146.386518,6662602.791518,-8997.292105,Urella_South
352798.250000,6698505.500000,254.579992,Abrolhos_Transfer
371748.625000,6683887.000000,282.857478,Abrolhos_Transfer
392594.063000,6668185.000000,228.405954,Abrolhos_Transfer
