,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series
10,500.0,500.0,-600.0,0.5001,0.5001,0.46885,0.8949343616030251,1.0000547989250692e-12,0.4461978131108087,63.5,90.0,1.0,fault1,fault_series1,1,1
9,850.0,500.0,-425.0,0.71885,0.5001,0.578225,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock5,series2,2,2
8,150.0,500.0,-400.0,0.28135,0.5001,0.59385,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock5,series2,2,2
7,150.0,500.0,-450.0,0.28135,0.5001,0.5626,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock4,series2,3,2
6,850.0,500.0,-525.0,0.71885,0.5001,0.515725,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock4,series2,3,2
5,150.0,500.0,-500.0,0.28135,0.5001,0.53135,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock3,series1,4,3
4,850.0,500.0,-575.0,0.71885,0.5001,0.484475,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock3,series1,4,3
3,850.0,500.0,-625.0,0.71885,0.5001,0.453225,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock2,series1,5,3
2,150.0,500.0,-550.0,0.28135,0.5001,0.5001,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock2,series1,5,3
0,150.0,500.0,-600.0,0.28135,0.5001,0.46885,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock1,series1,6,3
1,850.0,500.0,-675.0,0.71885,0.5001,0.421975,1e-12,1e-12,1.000000000001,0.0,0.0,1.0,rock1,series1,6,3
