,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
57,450.0,200.0,-500.0,0.46885,0.3126,0.53135,fault1,fault_series1,2,1
58,450.0,500.0,-500.0,0.46885,0.5001,0.53135,fault1,fault_series1,2,1
59,450.0,800.0,-500.0,0.46885,0.6876,0.53135,fault1,fault_series1,2,1
62,500.0,800.0,-600.0,0.5001,0.6876,0.46885,fault1,fault_series1,2,1
61,500.0,500.0,-600.0,0.5001,0.5001,0.46885,fault1,fault_series1,2,1
63,500.0,800.0,-600.0,0.5001,0.6876,0.46885,fault1,fault_series1,2,1
64,550.0,800.0,-700.0,0.53135,0.6876,0.40635,fault1,fault_series1,2,1
65,550.0,500.0,-700.0,0.53135,0.5001,0.40635,fault1,fault_series1,2,1
60,550.0,200.0,-700.0,0.53135,0.3126,0.40635,fault1,fault_series1,2,1
56,900.0,800.0,-425.0,0.7501,0.6876,0.578225,rock5,series2,6,2
55,900.0,500.0,-425.0,0.7501,0.5001,0.578225,rock5,series2,6,2
54,900.0,200.0,-425.0,0.7501,0.3126,0.578225,rock5,series2,6,2
53,800.0,800.0,-425.0,0.6876,0.6876,0.578225,rock5,series2,6,2
52,800.0,500.0,-425.0,0.6876,0.5001,0.578225,rock5,series2,6,2
51,800.0,200.0,-425.0,0.6876,0.3126,0.578225,rock5,series2,6,2
50,200.0,800.0,-400.0,0.3126,0.6876,0.59385,rock5,series2,6,2
49,200.0,500.0,-400.0,0.3126,0.5001,0.59385,rock5,series2,6,2
48,200.0,200.0,-400.0,0.3126,0.3126,0.59385,rock5,series2,6,2
47,100.0,800.0,-400.0,0.2501,0.6876,0.59385,rock5,series2,6,2
46,100.0,500.0,-400.0,0.2501,0.5001,0.59385,rock5,series2,6,2
45,100.0,200.0,-400.0,0.2501,0.3126,0.59385,rock5,series2,6,2
34,100.0,500.0,-450.0,0.2501,0.5001,0.5626,rock4,series2,7,2
35,100.0,800.0,-450.0,0.2501,0.6876,0.5626,rock4,series2,7,2
33,100.0,200.0,-450.0,0.2501,0.3126,0.5626,rock4,series2,7,2
36,200.0,200.0,-450.0,0.3126,0.3126,0.5626,rock4,series2,7,2
37,200.0,500.0,-450.0,0.3126,0.5001,0.5626,rock4,series2,7,2
38,200.0,800.0,-450.0,0.3126,0.6876,0.5626,rock4,series2,7,2
39,800.0,200.0,-525.0,0.6876,0.3126,0.515725,rock4,series2,7,2
40,800.0,500.0,-525.0,0.6876,0.5001,0.515725,rock4,series2,7,2
41,800.0,800.0,-525.0,0.6876,0.6876,0.515725,rock4,series2,7,2
42,900.0,200.0,-525.0,0.7501,0.3126,0.515725,rock4,series2,7,2
43,900.0,500.0,-525.0,0.7501,0.5001,0.515725,rock4,series2,7,2
44,900.0,800.0,-525.0,0.7501,0.6876,0.515725,rock4,series2,7,2
66,900.0,500.0,-575.0,0.7501,0.5001,0.484475,rock3,series1,3,3
25,100.0,200.0,-500.0,0.2501,0.3126,0.53135,rock3,series1,3,3
26,100.0,500.0,-500.0,0.2501,0.5001,0.53135,rock3,series1,3,3
24,100.0,800.0,-500.0,0.2501,0.6876,0.53135,rock3,series1,3,3
27,200.0,200.0,-500.0,0.3126,0.3126,0.53135,rock3,series1,3,3
28,200.0,500.0,-500.0,0.3126,0.5001,0.53135,rock3,series1,3,3
29,200.0,800.0,-500.0,0.3126,0.6876,0.53135,rock3,series1,3,3
30,800.0,200.0,-575.0,0.6876,0.3126,0.484475,rock3,series1,3,3
31,800.0,500.0,-575.0,0.6876,0.5001,0.484475,rock3,series1,3,3
32,800.0,800.0,-575.0,0.6876,0.6876,0.484475,rock3,series1,3,3
67,900.0,500.0,-575.0,0.7501,0.5001,0.484475,rock3,series1,3,3
68,900.0,200.0,-575.0,0.7501,0.3126,0.484475,rock3,series1,3,3
69,900.0,800.0,-575.0,0.7501,0.6876,0.484475,rock3,series1,3,3
17,200.0,800.0,-550.0,0.3126,0.6876,0.5001,rock2,series1,4,3
16,200.0,500.0,-550.0,0.3126,0.5001,0.5001,rock2,series1,4,3
15,200.0,200.0,-550.0,0.3126,0.3126,0.5001,rock2,series1,4,3
13,100.0,500.0,-550.0,0.2501,0.5001,0.5001,rock2,series1,4,3
14,100.0,800.0,-550.0,0.2501,0.6876,0.5001,rock2,series1,4,3
12,100.0,200.0,-550.0,0.2501,0.3126,0.5001,rock2,series1,4,3
18,900.0,200.0,-625.0,0.7501,0.3126,0.453225,rock2,series1,4,3
19,900.0,500.0,-625.0,0.7501,0.5001,0.453225,rock2,series1,4,3
20,900.0,800.0,-625.0,0.7501,0.6876,0.453225,rock2,series1,4,3
21,800.0,200.0,-625.0,0.6876,0.3126,0.453225,rock2,series1,4,3
22,800.0,500.0,-625.0,0.6876,0.5001,0.453225,rock2,series1,4,3
23,800.0,800.0,-625.0,0.6876,0.6876,0.453225,rock2,series1,4,3
0,100.0,200.0,-600.0,0.2501,0.3126,0.46885,rock1,series1,5,3
1,100.0,500.0,-600.0,0.2501,0.5001,0.46885,rock1,series1,5,3
2,100.0,800.0,-600.0,0.2501,0.6876,0.46885,rock1,series1,5,3
3,200.0,200.0,-600.0,0.3126,0.3126,0.46885,rock1,series1,5,3
4,200.0,500.0,-600.0,0.3126,0.5001,0.46885,rock1,series1,5,3
5,200.0,800.0,-600.0,0.3126,0.6876,0.46885,rock1,series1,5,3
6,900.0,200.0,-675.0,0.7501,0.3126,0.421975,rock1,series1,5,3
7,900.0,500.0,-675.0,0.7501,0.5001,0.421975,rock1,series1,5,3
8,900.0,800.0,-675.0,0.7501,0.6876,0.421975,rock1,series1,5,3
9,800.0,200.0,-675.0,0.6876,0.3126,0.421975,rock1,series1,5,3
10,800.0,500.0,-675.0,0.6876,0.5001,0.421975,rock1,series1,5,3
11,800.0,800.0,-675.0,0.6876,0.6876,0.421975,rock1,series1,5,3
