,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
71,500.0,500.0,-700.0,0.5001,0.5001,0.46885,fault2,fault_series2,3,1
66,500.0,200.0,-700.0,0.5001,0.3126,0.46885,fault2,fault_series2,3,1
72,500.0,800.0,-700.0,0.5001,0.6876,0.46885,fault2,fault_series2,3,1
73,550.0,200.0,-600.0,0.53135,0.3126,0.53135,fault2,fault_series2,3,1
74,550.0,500.0,-600.0,0.53135,0.5001,0.53135,fault2,fault_series2,3,1
75,550.0,800.0,-600.0,0.53135,0.6876,0.53135,fault2,fault_series2,3,1
76,600.0,200.0,-500.0,0.5626,0.3126,0.59385,fault2,fault_series2,3,1
77,600.0,500.0,-500.0,0.5626,0.5001,0.59385,fault2,fault_series2,3,1
78,600.0,800.0,-500.0,0.5626,0.6876,0.59385,fault2,fault_series2,3,1
57,300.0,200.0,-600.0,0.3751,0.3126,0.53135,fault1,fault_series1,2,2
58,300.0,500.0,-600.0,0.3751,0.5001,0.53135,fault1,fault_series1,2,2
59,300.0,800.0,-600.0,0.3751,0.6876,0.53135,fault1,fault_series1,2,2
62,350.0,200.0,-700.0,0.40635,0.3126,0.46885,fault1,fault_series1,2,2
61,350.0,500.0,-700.0,0.40635,0.5001,0.46885,fault1,fault_series1,2,2
63,350.0,800.0,-700.0,0.40635,0.6876,0.46885,fault1,fault_series1,2,2
64,400.0,800.0,-800.0,0.4376,0.6876,0.40635,fault1,fault_series1,2,2
65,400.0,500.0,-800.0,0.4376,0.5001,0.40635,fault1,fault_series1,2,2
60,400.0,200.0,-800.0,0.4376,0.3126,0.40635,fault1,fault_series1,2,2
79,400.0,200.0,-625.0,0.4376,0.3126,0.515725,rock4,series1,4,3
34,100.0,500.0,-550.0,0.2501,0.5001,0.5626,rock4,series1,4,3
35,100.0,800.0,-550.0,0.2501,0.6876,0.5626,rock4,series1,4,3
33,100.0,200.0,-550.0,0.2501,0.3126,0.5626,rock4,series1,4,3
36,200.0,200.0,-550.0,0.3126,0.3126,0.5626,rock4,series1,4,3
37,200.0,500.0,-550.0,0.3126,0.5001,0.5626,rock4,series1,4,3
38,200.0,800.0,-550.0,0.3126,0.6876,0.5626,rock4,series1,4,3
39,800.0,200.0,-525.0,0.6876,0.3126,0.578225,rock4,series1,4,3
40,800.0,500.0,-525.0,0.6876,0.5001,0.578225,rock4,series1,4,3
41,800.0,800.0,-525.0,0.6876,0.6876,0.578225,rock4,series1,4,3
42,900.0,200.0,-525.0,0.7501,0.3126,0.578225,rock4,series1,4,3
43,900.0,500.0,-525.0,0.7501,0.5001,0.578225,rock4,series1,4,3
44,900.0,800.0,-525.0,0.7501,0.6876,0.578225,rock4,series1,4,3
80,400.0,500.0,-625.0,0.4376,0.5001,0.515725,rock4,series1,4,3
81,400.0,800.0,-625.0,0.4376,0.6876,0.515725,rock4,series1,4,3
82,400.0,800.0,-675.0,0.4376,0.6876,0.484475,rock3,series1,5,3
25,100.0,200.0,-600.0,0.2501,0.3126,0.53135,rock3,series1,5,3
26,100.0,500.0,-600.0,0.2501,0.5001,0.53135,rock3,series1,5,3
24,100.0,800.0,-600.0,0.2501,0.6876,0.53135,rock3,series1,5,3
27,200.0,200.0,-600.0,0.3126,0.3126,0.53135,rock3,series1,5,3
28,200.0,500.0,-600.0,0.3126,0.5001,0.53135,rock3,series1,5,3
29,200.0,800.0,-600.0,0.3126,0.6876,0.53135,rock3,series1,5,3
30,800.0,200.0,-575.0,0.6876,0.3126,0.546975,rock3,series1,5,3
31,800.0,500.0,-575.0,0.6876,0.5001,0.546975,rock3,series1,5,3
32,800.0,800.0,-575.0,0.6876,0.6876,0.546975,rock3,series1,5,3
67,900.0,500.0,-575.0,0.7501,0.5001,0.546975,rock3,series1,5,3
68,900.0,200.0,-575.0,0.7501,0.3126,0.546975,rock3,series1,5,3
69,900.0,800.0,-575.0,0.7501,0.6876,0.546975,rock3,series1,5,3
83,400.0,200.0,-675.0,0.4376,0.3126,0.484475,rock3,series1,5,3
84,400.0,500.0,-675.0,0.4376,0.5001,0.484475,rock3,series1,5,3
17,200.0,800.0,-650.0,0.3126,0.6876,0.5001,rock2,series1,6,3
16,200.0,500.0,-650.0,0.3126,0.5001,0.5001,rock2,series1,6,3
15,200.0,200.0,-650.0,0.3126,0.3126,0.5001,rock2,series1,6,3
13,100.0,500.0,-650.0,0.2501,0.5001,0.5001,rock2,series1,6,3
14,100.0,800.0,-650.0,0.2501,0.6876,0.5001,rock2,series1,6,3
12,100.0,200.0,-650.0,0.2501,0.3126,0.5001,rock2,series1,6,3
18,900.0,200.0,-625.0,0.7501,0.3126,0.515725,rock2,series1,6,3
19,900.0,500.0,-625.0,0.7501,0.5001,0.515725,rock2,series1,6,3
20,900.0,800.0,-625.0,0.7501,0.6876,0.515725,rock2,series1,6,3
21,800.0,200.0,-625.0,0.6876,0.3126,0.515725,rock2,series1,6,3
22,800.0,500.0,-625.0,0.6876,0.5001,0.515725,rock2,series1,6,3
23,800.0,800.0,-625.0,0.6876,0.6876,0.515725,rock2,series1,6,3
