X;Y;Z;Strati;Cutoff
550464.3105;7817886.25;-8833.120117;0;0.46661092
549339.3105;7817886.25;-8864.879883;0;0.210270623
551626.8105;7820570.359;-8846.129883;0;0.792055027
549801.8105;7819031.219;-8852.179688;0;0.613674535
551801.8105;7821809.18;-8845.959961;0;0.694099828
549751.8105;7817980.098;-8867.639648;0;0.729885444
549826.8105;7818055.18;-8869.389648;0;0.987447522
552101.8105;7818561.969;-8811.410156;0;0.178154293
551264.3105;7818130.258;-8796.799805;0;0.694003308
550489.3105;7818224.109;-8839.269531;0;0.590733537
549301.8105;7819068.758;-8906.370117;0;0.216899074
551076.8105;7818543.199;-8809.919922;0;0.27758717
550701.8105;7817341.918;-8813.429688;0;0.030947733
549576.8105;7817811.168;-8853.530273;0;0.269810173
549389.3105;7820532.82;-8951.950195;0;0.643913885
551126.8105;7820814.371;-8876.94043;0;0.228564786
552301.8105;7817304.379;-8752.639648;0;0.349591845
549126.8105;7819068.758;-8917.820313;0;0.727694847
551064.3105;7820983.297;-8890.679688;0;0.582675121
549689.3105;7816684.969;-8833;0;0.744824074
549276.8105;7818167.797;-8881.370117;0;0.169930941
549014.3105;7819294;-8941.469727;0;0.866805154
550326.8105;7819819.559;-8795;0;0.274763064
551289.3105;7819575.551;-8821.089844;0;0.155746655
552039.3105;7818824.75;-8811.799805;0;0.658915177
550976.8105;7818543.199;-8817.389648;0;0.970219291
552001.8105;7818092.719;-8784.299805;0;0.577062026
552439.3105;7821415.008;-8861.370117;0;0.136361184
548901.8105;7820044.801;-8941.980469;0;0.919952257
550414.3105;7820551.59;-8801.360352;0;0.505665143
550476.8105;7818055.18;-8837.169922;0;0.054720248
551251.8105;7818637.047;-8804.530273;0;0.209671601
549864.3105;7819706.938;-8861.839844;0;0.008864605
551776.8105;7816684.969;-8771.910156;0;0.376516007
552289.3105;7817642.238;-8775.69043;0;0.721713696
549889.3105;7818055.18;-8867.129883;0;0.250801475
551164.3105;7818055.18;-8795.950195;0;0.484609572
551489.3105;7818130.258;-8785.040039;0;0.788206189
549389.3105;7818637.047;-8872.040039;0;0.089640717
549426.8105;7817266.84;-8792.830078;0;0.514833967
550651.8105;7817754.859;-8825.389648;0;0.930896345
550289.3105;7818524.43;-8843.530273;0;0.651831149
550526.8105;7818486.891;-8825.19043;0;0.598106112
549951.8105;7818055.18;-8866.719727;0;0.098748477
551164.3105;7821020.84;-8888.820313;0;0.882187161
548889.3105;7816684.969;-8874.269531;0;0.120690791
552326.8105;7820945.758;-8842.610352;0;0.799556106
552314.3105;7816778.816;-8744.5;0;0.089182882
552151.8105;7819125.07;-8811.219727;0;0.339198473
