X;Y;Z;Strati;Cutoff
549151.8105;7819763.25;-9153.959961;60;0.655819609
551451.8105;7818430.578;-9022.740234;60;0.500877432
551739.3105;7819819.559;-9021.700195;60;0.564926498
551864.3105;7817773.629;-9018.339844;60;0.392700189
551451.8105;7817548.387;-9032.980469;60;0.337668417
548914.3105;7817172.988;-9083.599609;60;0.794550037
551501.8105;7820607.898;-9071.219727;60;0.873467937
551776.8105;7821640.25;-9061.339844;60;0.862998165
550201.8105;7816741.277;-9062.790039;60;0.089517552
551176.8105;7816741.277;-9022.870117;60;0.383017508
552201.8105;7821677.789;-9029.129883;60;0.79264631
552301.8105;7818149.027;-9040.700195;60;0.728733717
551251.8105;7820326.348;-9047.110352;60;0.901136198
549001.8105;7817886.25;-9093.769531;60;0.938237572
549764.3105;7820345.121;-9089.379883;60;0.649410791
550951.8105;7820138.648;-9028.570313;60;0.037527967
552014.3105;7817585.93;-9007.389648;60;0.577815118
550214.3105;7820739.289;-9068.610352;60;0.504220758
550614.3105;7820288.809;-8950.320313;60;0.283951684
548901.8105;7817079.141;-9084.419922;60;0.910096483
550776.8105;7821377.469;-9145.570313;60;0.379591861
550614.3105;7821659.02;-9158.379883;60;0.530617075
551714.3105;7820082.34;-8977.509766;60;0.723640074
550276.8105;7820814.371;-9074.700195;60;0.163980047
551826.8105;7819556.777;-9032.759766;60;0.809322624
549451.8105;7819556.777;-9116.339844;60;0.521166193
549089.3105;7816835.129;-9086.799805;60;0.796587769
551289.3105;7818167.797;-9018.799805;60;0.68124337
551889.3105;7818505.66;-9032.94043;60;0.781532476
549164.3105;7820213.73;-9137.610352;60;0.106571914
552326.8105;7821095.918;-9066.25;60;0.750330288
551501.8105;7819575.551;-9040.860352;60;0.100918667
549626.8105;7821771.641;-9191.419922;60;0.113998892
552189.3105;7819688.168;-9030.709961;60;0.692911636
549389.3105;7820589.129;-9156.299805;60;0.560721339
552026.8105;7820251.27;-8958.480469;60;0.897406083
551901.8105;7821527.629;-9076.799805;60;0.631573628
551814.3105;7820983.297;-9081.830078;60;0.771754065
551051.8105;7816928.98;-9034.660156;60;0.867220212
552164.3105;7821490.09;-9057.099609;60;0.839999452
549726.8105;7816684.969;-9057.719727;60;0.630525268
552139.3105;7821659.02;-9028.049805;60;0.604017853
550714.3105;7821039.609;-9123.549805;60;0.242576201
552364.3105;7817529.617;-8958.240234;60;0.826886612
549551.8105;7819049.988;-9089.820313;60;0.416314358
551364.3105;7816797.59;-9015.570313;60;0.666003416
550664.3105;7820964.531;-9108.379883;60;0.55113006
550714.3105;7820964.531;-9114.150391;60;0.670204861
551876.8105;7820645.438;-9049.150391;60;0.91728016
552039.3105;7821002.07;-9081.070313;60;0.482257748
552401.8105;7820044.801;-9022.629883;60;0.977488444
552064.3105;7819894.641;-8991.379883;60;0.238164574
551226.8105;7821377.469;-9129.620117;60;0.868148289
552451.8105;7818149.027;-9027.639648;60;0.833317671
549551.8105;7818317.957;-9088.570313;60;0.121105554
552076.8105;7816966.52;-8982.769531;60;0.456664297
549664.3105;7817998.871;-9093.480469;60;0.266180241
551339.3105;7818355.5;-9016.410156;60;0.918859877
550676.8105;7821659.02;-9156.519531;60;0.78460577
551451.8105;7819500.469;-9034;60;0.573737962
550826.8105;7821039.609;-9110.919922;60;0.418184823
551889.3105;7817905.02;-9016.049805;60;0.062291056
551614.3105;7817079.141;-9017.639648;60;0.719781668
549051.8105;7819049.988;-9137.570313;60;0.111606813
548901.8105;7820101.109;-9157.410156;60;0.973486602
551789.3105;7820420.199;-9016.209961;60;0.726095909
548976.8105;7818956.141;-9142.370117;60;0.160222423
549876.8105;7820251.27;-9043.19043;60;0.760034943
549589.3105;7818524.43;-9072.94043;60;0.707038417
551301.8105;7820082.34;-9055.889648;60;0.030342284
552089.3105;7821133.457;-9080.980469;60;0.36145976
552139.3105;7820438.969;-8992.599609;60;0.538529014
549514.3105;7819932.18;-9119.139648;60;0.959163587
551839.3105;7819444.16;-9034.570313;60;0.962746708
550039.3105;7821339.93;-9161.889648;60;0.944254088
549426.8105;7819800.789;-9131.820313;60;0.756058048
551976.8105;7818599.508;-9035.700195;60;0.009064736
551264.3105;7821546.398;-9123.669922;60;0.047615624
551739.3105;7821339.93;-9108.570313;60;0.373279511
550301.8105;7820101.109;-8950.030273;60;0.352915341
550451.8105;7820138.648;-8935.719727;60;0.80911274
549701.8105;7818092.719;-9093.160156;60;0.790963174
551189.3105;7820682.98;-9083.839844;60;0.76549677
551801.8105;7821133.457;-9094.80957;60;0.54080343
550814.3105;7821152.23;-9122.80957;60;0.210022035
550114.3105;7820157.418;-8974.330078;60;0.138472425
549114.3105;7819725.711;-9155.490234;60;0.209149076
550264.3105;7821152.23;-9128.490234;60;0.077448223
550889.3105;7821208.539;-9122.070313;60;0.267540085
549764.3105;7817360.688;-9053.429688;60;0.736765207
550251.8105;7821508.859;-9149.790039;60;0.023006599
550051.8105;7818505.66;-9078.179688;60;0.588044029
552114.3105;7817116.68;-8974.929688;60;0.117784705
551714.3105;7819444.16;-9043.129883;60;0.079366555
549914.3105;7821189.77;-9154.44043;60;0.814164343
552139.3105;7817473.309;-8992.160156;60;0.440626575
551126.8105;7820814.371;-9092.799805;60;0.448957565
549701.8105;7817679.777;-9069.650391;60;0.317803097
549476.8105;7820176.188;-9129.099609;60;0.754134538
548964.3105;7820570.359;-9184.639648;60;0.151859227
552289.3105;7820532.82;-9029.75;60;0.017607083
549664.3105;7819706.938;-9093.169922;60;0.604119935
552251.8105;7819181.379;-9051.009766;60;0.062030577
551976.8105;7816928.98;-8998.629883;60;0.871284489
548939.3105;7819406.617;-9157.709961;60;0.416758635
549114.3105;7820664.211;-9185.660156;60;0.273916188
549726.8105;7817961.328;-9095.389648;60;0.695934685
550014.3105;7818092.719;-9100.769531;60;0.312794879
551114.3105;7816816.359;-9028.910156;60;0.253277742
549476.8105;7821471.32;-9185.599609;60;0.449991736
549151.8105;7818824.75;-9120.679688;60;0.982582174
549001.8105;7819444.16;-9151.290039;60;0.482707044
551814.3105;7816910.207;-9010.910156;60;0.931471552
549514.3105;7817191.758;-9024.160156;60;0.75479069
551564.3105;7816835.129;-9015.950195;60;0.28653233
552139.3105;7818411.809;-9041.349609;60;0.096580615
552201.8105;7820495.281;-9011.400391;60;0.585551194
552226.8105;7817548.387;-8986.509766;60;0.717273629
551464.3105;7817285.609;-9013.169922;60;0.418205642
551039.3105;7821321.16;-9128.269531;60;0.902608173
549951.8105;7821734.102;-9188.94043;60;0.887629508
552276.8105;7821002.07;-9070.089844;60;0.431579704
549114.3105;7819444.16;-9142.549805;60;0.108657759
552001.8105;7820570.359;-9037.240234;60;0.153526335
552001.8105;7820514.051;-9022.349609;60;0.006707657
552201.8105;7820438.969;-9001.200195;60;0.788351421
