X;Y;Z;Strati;Cutoff
550439.3105;7820270.039;-9380.080078;250;0.972202819
549876.8105;7818805.98;-9571.379883;250;0.746044021
550776.8105;7821321.16;-9717.740234;250;0.347547866
549489.3105;7818937.367;-9627.379883;250;0.484744574
550614.3105;7821452.551;-9740.019531;250;0.366673854
550339.3105;7817210.527;-9589.839844;250;0.295301527
550051.8105;7817792.398;-9701.169922;250;0.32706052
549364.3105;7820758.059;-9736.400391;250;0.684210809
549614.3105;7817492.078;-9570.709961;250;0.429824938
551001.8105;7817698.547;-9577.719727;250;0.794720719
551101.8105;7821809.18;-9699.519531;250;0.396576162
551389.3105;7817661.008;-9582.360352;250;0.774789266
552426.8105;7816684.969;-9453.110352;250;0.014731307
550301.8105;7817454.539;-9647.209961;250;0.007738876
549326.8105;7820026.027;-9728.69043;250;0.865773604
549339.3105;7817022.828;-9607.080078;250;0.227154754
549689.3105;7818937.367;-9599.040039;250;0.681533598
549726.8105;7821659.02;-9749.259766;250;0.040066613
550189.3105;7818130.258;-9702.919922;250;0.693148496
549814.3105;7819162.609;-9625.75;250;0.850163402
549476.8105;7819763.25;-9702.009766;250;0.753663968
548901.8105;7821171;-9771.030273;250;0.760740721
549214.3105;7819031.219;-9712.870117;250;0.137377393
551226.8105;7817998.871;-9551.719727;250;0.708768669
549739.3105;7819556.777;-9654.629883;250;0.323429155
548901.8105;7817398.227;-9597.410156;250;0.529229894
549714.3105;7821058.379;-9740.69043;250;0.309159524
549076.8105;7816797.59;-9685.900391;250;0.479338209
549426.8105;7820870.68;-9736.230469;250;0.545562137
550839.3105;7821508.859;-9716.299805;250;0.302230055
550014.3105;7818787.207;-9626.19043;250;0.577041601
550776.8105;7821058.379;-9675.740234;250;0.862728832
548901.8105;7819012.449;-9739.599609;250;0.111679101
551214.3105;7818336.73;-9521.990234;250;0.506278707
549226.8105;7816778.816;-9696.839844;250;0.442993223
549601.8105;7820870.68;-9744.230469;250;0.040876819
549489.3105;7820945.758;-9745.25;250;0.768543141
549126.8105;7820363.887;-9736.25;250;0.459614277
551576.8105;7821546.398;-9656.320313;250;0.559060876
549214.3105;7820326.348;-9735.94043;250;0.532570146
550964.3105;7818092.719;-9609.459961;250;0.070658705
549939.3105;7821039.609;-9725.219727;250;0.907091489
550376.8105;7817510.848;-9661.679688;250;0.75920058
551376.8105;7816666.199;-9592.370117;250;0.052904958
549251.8105;7820176.188;-9725.269531;250;0.166114583
549801.8105;7820570.359;-9658.730469;250;0.959930295
552201.8105;7816985.289;-9508.629883;250;0.757639704
549301.8105;7820438.969;-9737.099609;250;0.601882561
549089.3105;7817210.527;-9563.820313;250;0.830917969
549339.3105;7819031.219;-9681.799805;250;0.017390035
549489.3105;7819200.148;-9673.629883;250;0.616272232
550851.8105;7821677.789;-9721.780273;250;0.564551422
551501.8105;7821583.941;-9663.679688;250;0.220321402
549764.3105;7817961.328;-9700.639648;250;0.73407642
549451.8105;7818299.188;-9697.009766;250;0.097895511
549189.3105;7820176.188;-9723.509766;250;0.068352633
550489.3105;7820232.5;-9393.910156;250;0.806293005
550064.3105;7816684.969;-9640.160156;250;0.405331337
549264.3105;7819969.719;-9731.780273;250;0.758587498
550364.3105;7817848.711;-9671.929688;250;0.860707307
549264.3105;7817266.84;-9473.070313;250;0.225233982
548939.3105;7820682.98;-9756.780273;250;0.30388434
549351.8105;7817942.559;-9681.400391;250;0.491651466
550776.8105;7819538.008;-9525.519531;250;0.144911748
552289.3105;7817060.367;-9477.830078;250;0.879875641
550189.3105;7817248.07;-9588.849609;250;0.134472928
