X;Y;Z;Strati;Cutoff
550914.3105;7819594.32;-10263.5;330;0.432785006
550176.8105;7819706.938;-10137.7002;330;0.858020738
548889.3105;7818092.719;-10408.90039;330;0.843451889
550814.3105;7821827.949;-10568.40039;330;0.997586887
549789.3105;7821114.691;-10433;330;0.026997915
549276.8105;7818543.199;-10320;330;0.816032599
550101.8105;7818055.18;-10418.59961;330;0.664539148
550926.8105;7821827.949;-10563.79981;330;0.756953068
551514.3105;7821283.617;-10425.90039;330;0.110287031
549676.8105;7819481.699;-10223.29981;330;0.561481426
550414.3105;7817135.449;-10055.09961;330;0.802812788
549151.8105;7818336.73;-10448.09961;330;0.203601954
552201.8105;7817229.301;-9926.889648;330;0.148178051
549826.8105;7821621.48;-10421.59961;330;0.967518443
549626.8105;7817398.227;-9975.120117;330;0.091281897
549114.3105;7816760.051;-10506;330;0.102388058
551489.3105;7819782.02;-10385.7002;330;0.375659722
550739.3105;7821677.789;-10567.59961;330;0.135456971
549626.8105;7817867.48;-10339.5;330;0.796356897
551964.3105;7821527.629;-10397;330;0.669719439
550501.8105;7817248.07;-10193.29981;330;0.674934441
552001.8105;7821058.379;-10546.90039;330;0.625141179
550214.3105;7821058.379;-10438.2002;330;0.859962849
550714.3105;7821583.941;-10579.40039;330;0.544222789
550451.8105;7821058.379;-10356.59961;330;0.537608965
550051.8105;7819857.098;-9981.709961;330;0.914025713
550851.8105;7819913.41;-10114.40039;330;0.777963946
552114.3105;7821077.148;-10548;330;0.629103776
549839.3105;7817285.609;-10307.79981;330;0.771988515
552064.3105;7821095.918;-10545.5;330;0.638547721
552439.3105;7817548.387;-9835.44043;330;0.870141297
552376.8105;7817661.008;-9933.330078;330;0.269315931
552251.8105;7820420.199;-10036.29981;330;0.441238311
549951.8105;7820288.809;-9867.549805;330;0.246290274
551951.8105;7821039.609;-10544.40039;330;0.234144949
552426.8105;7820664.211;-10419.29981;330;0.730315944
549814.3105;7818524.43;-9947.040039;330;0.174240777
549501.8105;7817923.789;-10329.5;330;0.590696136
549926.8105;7817492.078;-10313.90039;330;0.89361478
550939.3105;7820720.52;-10313.59961;330;0.045366267
549351.8105;7819763.25;-10471.40039;330;0.350904098
552176.8105;7821002.07;-10546.29981;330;0.58276993
551926.8105;7818149.027;-10053.79981;330;0.769206136
551539.3105;7820119.879;-10150.40039;330;0.459792766
549789.3105;7821771.641;-10418;330;0.041341409
550826.8105;7820194.961;-9926.129883;330;0.72767306
549451.8105;7817360.688;-9700.389648;330;0.378450351
549801.8105;7821283.617;-10440.5;330;0.054559746
550326.8105;7818468.117;-10346.7002;330;0.543269914
552214.3105;7816853.898;-9949.629883;330;0.169316151
550364.3105;7820382.66;-9692.450195;330;0.028008179
552076.8105;7821321.16;-10494.40039;330;0.347972924
550976.8105;7820795.598;-10411.79981;330;0.136500684
549851.8105;7821358.699;-10454.79981;330;0.102603302
551551.8105;7817379.461;-10082.09961;330;0.138794043
550976.8105;7819744.48;-10328.59961;330;0.519220913
552189.3105;7821396.238;-10387.79981;330;0.788357697
549939.3105;7818336.73;-10346;330;0.020811345
549939.3105;7818036.41;-10423.90039;330;0.284108417
549726.8105;7819969.719;-10196.7002;330;0.154098619
549864.3105;7819350.309;-10140;330;0.43304611
551489.3105;7817398.227;-10085.59961;330;0.215537934
551276.8105;7817792.398;-10233.29981;330;0.572137946
549326.8105;7819425.391;-10468.79981;330;0.645206158
549726.8105;7818411.809;-10149.5;330;0.028514678
549551.8105;7819631.859;-10442;330;0.048780485
552326.8105;7817435.77;-9870.509766;330;0.717769106
549064.3105;7816778.816;-10515.79981;330;0.003762375
549639.3105;7820007.258;-10286.40039;330;0.083645332
550876.8105;7821133.457;-10557.90039;330;0.086885888
552339.3105;7817360.688;-9817.629883;330;0.428727203
551226.8105;7821433.781;-10469.59961;330;0.373623806
552301.8105;7817773.629;-10019.79981;330;0.822042098
549014.3105;7818449.348;-10418.09961;330;0.328630633
551776.8105;7816835.129;-10122.40039;330;0.412988818
550726.8105;7820457.738;-9733.349609;330;0.533257898
550039.3105;7820270.039;-9756.519531;330;0.303946849
549664.3105;7820363.887;-10338.2002;330;0.725235184
549826.8105;7818280.418;-10360.40039;330;0.115792479
550989.3105;7821527.629;-10551.29981;330;0.859772521
552089.3105;7818411.809;-10014.2002;330;0.830387273
548964.3105;7818336.73;-10414;330;0.899340872
549614.3105;7819106.301;-10234.90039;330;0.622765693
550839.3105;7821358.699;-10637.59961;330;0.479058652
552076.8105;7817754.859;-10055.40039;330;0.993167767
549326.8105;7821471.32;-10362.79981;330;0.893298103
549101.8105;7818092.719;-10455.5;330;0.92521354
549989.3105;7821415.008;-10461.7002;330;0.933936141
551926.8105;7821321.16;-10502.29981;330;0.93274437
549276.8105;7820926.988;-10368.09961;330;0.16202125
551239.3105;7820026.027;-10360.09961;330;0.253213411
552326.8105;7817529.617;-9915.719727;330;0.759660388
552389.3105;7816797.59;-9730.269531;330;0.615504252
549539.3105;7819143.84;-10325.79981;330;0.132795297
549126.8105;7818468.117;-10424.29981;330;0.266627847
549539.3105;7817266.84;-9868.820313;330;0.074817636
550826.8105;7816947.75;-10274.09961;330;0.927191589
550701.8105;7818411.809;-10381.79981;330;0.372384157
551989.3105;7820983.297;-10561.7002;330;0.26744193
549564.3105;7820082.34;-10355.7002;330;0.696433732
551539.3105;7821114.691;-10430.7002;330;0.905882864
552014.3105;7821171;-10540.2002;330;0.503766311
549789.3105;7820194.961;-10071;330;0.815235118
550664.3105;7821415.008;-10590;330;0.139342004
549201.8105;7818073.949;-10469;330;0.962608817
550764.3105;7819631.859;-10079.59961;330;0.845516569
549814.3105;7820007.258;-10029.5;330;0.539425627
551714.3105;7818637.047;-10202.90039;330;0.429650824
549264.3105;7820983.297;-10363.29981;330;0.715290762
550864.3105;7817060.367;-10266.79981;330;0.533915443
551476.8105;7817248.07;-10111;330;0.42527947
549864.3105;7821020.84;-10465.29981;330;0.407450663
550664.3105;7821283.617;-10569.40039;330;0.270499624
550064.3105;7821227.309;-10486;330;0.428629894
551264.3105;7821058.379;-10499.40039;330;0.723447677
551289.3105;7819181.379;-10371.79981;330;0.110315137
549876.8105;7820270.039;-9970.009766;330;0.087351221
551851.8105;7818580.738;-10010.40039;330;0.866907102
551976.8105;7818393.039;-10010;330;0.854029747
552089.3105;7819444.16;-10160.5;330;0.482547618
550689.3105;7820701.75;-9836.620117;330;0.830871638
551251.8105;7821809.18;-10436.7002;330;0.72569399
550139.3105;7817341.918;-10205.09961;330;0.614135545
550151.8105;7817829.938;-10386.5;330;0.827606972
551189.3105;7820664.211;-10394.79981;330;0.245668362
549726.8105;7821264.848;-10418.7002;330;0.398215035
549789.3105;7817867.48;-10385.79981;330;0.864544473
552189.3105;7821752.867;-10117.90039;330;0.351399116
551514.3105;7821302.391;-10425.5;330;0.459516075
552214.3105;7817060.367;-9913.209961;330;0.497743966
550226.8105;7821002.07;-10378.29981;330;0.390903175
551726.8105;7821246.078;-10490.29981;330;0.562357091
549701.8105;7819369.078;-10169.5;330;0.54873658
550139.3105;7818224.109;-10408.79981;330;0.353187182
550976.8105;7821246.078;-10616;330;0.542779944
549526.8105;7817980.098;-10363.79981;330;0.674468989
549201.8105;7817717.32;-9980.969727;330;0.467854477
552201.8105;7821114.691;-10525.90039;330;0.909702403
551339.3105;7819237.688;-10347.5;330;0.493502627
552126.8105;7821246.078;-10507.09961;330;0.144649904
550089.3105;7821171;-10498.90039;330;0.486302657
550601.8105;7820176.188;-9641.139648;330;0.404418747
551314.3105;7820983.297;-10488.5;330;0.484370389
551039.3105;7817529.617;-10220.5;330;0.65759204
551089.3105;7819857.098;-10358;330;0.680645555
550014.3105;7821734.102;-10456.2002;330;0.75827972
550864.3105;7818299.188;-10339.59961;330;0.47925599
551264.3105;7821527.629;-10461.29981;330;0.69464506
549851.8105;7819162.609;-10235.5;330;0.098604637
551476.8105;7821039.609;-10435.5;330;0.897529503
549801.8105;7820307.578;-10092.59961;330;0.139836077
551314.3105;7821077.148;-10496.40039;330;0.232422342
549851.8105;7821095.918;-10456.09961;330;0.581876816
550614.3105;7821508.859;-10578;330;0.169273366
552239.3105;7820532.82;-10189.5;330;0.451532898
552276.8105;7821020.84;-10512.2002;330;0.674469484
550139.3105;7817886.25;-10395.40039;330;0.696165439
551926.8105;7821377.469;-10479;330;0.210429315
549351.8105;7819594.32;-10480.7002;330;0.751002603
551026.8105;7820851.91;-10486.5;330;0.454342358
551064.3105;7817341.918;-10162.5;330;0.69561374
550776.8105;7821358.699;-10606.2002;330;0.514052569
550989.3105;7820270.039;-10234.90039;330;0.217923502
551089.3105;7821095.918;-10560.40039;330;0.232722533
549401.8105;7817435.77;-9630.959961;330;0.361091422
551401.8105;7820983.297;-10468.79981;330;0.474731968
551089.3105;7816797.59;-10273.79981;330;0.424160571
550976.8105;7817004.059;-10254.09961;330;0.464293088
551339.3105;7821677.789;-10415.2002;330;0.093438531
549914.3105;7818561.969;-10039.7002;330;0.340352226
552039.3105;7817492.078;-10043.7002;330;0.430760064
551076.8105;7816928.98;-10249;330;0.935459052
550889.3105;7821415.008;-10625.7002;330;0.802052179
552151.8105;7821508.859;-10381.2002;330;0.968930222
551426.8105;7821358.699;-10478.90039;330;0.734395355
549439.3105;7818468.117;-10177.79981;330;0.646932834
551451.8105;7820739.289;-10475.59961;330;0.373204292
549826.8105;7821171;-10445.59961;330;0.798215137
549364.3105;7821095.918;-10368.40039;330;0.406823026
551189.3105;7820739.289;-10432.40039;330;0.473767963
551626.8105;7819125.07;-10302;330;0.995832115
552226.8105;7821020.84;-10532.29981;330;0.122560702
548889.3105;7817942.559;-10405.5;330;0.37273407
549314.3105;7818637.047;-10214.5;330;0.445756499
549951.8105;7819143.84;-10290;330;0.319063819
551226.8105;7821452.551;-10468.09961;330;0.149651711
550651.8105;7819763.25;-10062.29981;330;0.203244339
550376.8105;7821246.078;-10516.79981;330;0.352556242
550889.3105;7817661.008;-10155.59961;330;0.717199238
550464.3105;7819894.641;-9867.389648;330;0.985986901
552039.3105;7819857.098;-9899.05957;330;0.6377079
551864.3105;7821133.457;-10518.29981;330;0.377238859
550614.3105;7821433.781;-10582.40039;330;0.433100013
551151.8105;7819782.02;-10391.2002;330;0.527545951
549864.3105;7821396.238;-10452.5;330;0.770146327
549464.3105;7819481.699;-10408.5;330;0.963967491
552164.3105;7817417;-9989.320313;330;0.799917256
550176.8105;7817661.008;-10361.2002;330;0.964633365
549376.8105;7820701.75;-10398.59961;330;0.352516252
550251.8105;7821640.25;-10503;330;0.85786168
550739.3105;7821640.25;-10571.40039;330;0.585193288
549476.8105;7820401.43;-10432.29981;330;0.653720739
549101.8105;7818167.797;-10454.09961;330;0.828713804
552201.8105;7817285.609;-9935.790039;330;0.09874114
551376.8105;7821377.469;-10487.5;330;0.163321344
550389.3105;7821095.918;-10425.7002;330;0.256839784
550051.8105;7818036.41;-10423.5;330;0.158675931
549514.3105;7817736.09;-10184.09961;330;0.515090578
550289.3105;7819875.867;-9951.790039;330;0.97202149
550189.3105;7821827.949;-10483;330;0.275735418
549389.3105;7818186.57;-10430.5;330;0.218288024
551314.3105;7821752.867;-10392.29981;330;0.481128023
551226.8105;7820194.961;-10339.40039;330;0.617952468
551489.3105;7820194.961;-10245.29981;330;0.498438778
551339.3105;7817248.07;-10111.7002;330;0.233021627
549551.8105;7819049.988;-10261.59961;330;0.027881935
550101.8105;7818449.348;-10371.29981;330;0.90140304
551889.3105;7821058.379;-10529.79981;330;0.744638441
551314.3105;7821508.859;-10465.79981;330;0.555535525
551551.8105;7820851.91;-10506.90039;330;0.609392476
550676.8105;7820119.879;-9728.769531;330;0.221905095
551826.8105;7820758.059;-10476;330;0.387566859
551626.8105;7818580.738;-10146.40039;330;0.639666476
551364.3105;7820157.418;-10360.29981;330;0.191449099
550089.3105;7821039.609;-10477.29981;330;0.244639051
550676.8105;7820063.57;-9764.669922;330;0.115608088
551989.3105;7819237.688;-10189;330;0.141592642
550764.3105;7821565.168;-10582.79981;330;0.359715012
552389.3105;7817304.379;-9723.459961;330;0.751840145
550401.8105;7818599.508;-10351.90039;330;0.019687987
551901.8105;7816741.277;-10073.09961;330;0.152918498
551689.3105;7819012.449;-10297.29981;330;0.795225219
551964.3105;7820138.648;-9567.160156;330;0.53605886
551114.3105;7820795.598;-10467.79981;330;0.056681312
550289.3105;7820776.828;-9971.120117;330;0.949733986
550089.3105;7817210.527;-10061.5;330;0.560111995
551339.3105;7816966.52;-10118.7002;330;0.030470326
549039.3105;7818393.039;-10421;330;0.88063248
549364.3105;7819538.008;-10478.09961;330;0.194325387
548914.3105;7818317.957;-10408.7002;330;0.499967606
549526.8105;7817886.25;-10310.5;330;0.506125198
549914.3105;7820270.039;-9912.129883;330;0.924552811
551764.3105;7818524.43;-10083;330;0.777752261
551101.8105;7820851.91;-10501.7002;330;0.169766403
549464.3105;7819143.84;-10390;330;0.153184167
551339.3105;7820551.59;-10388.29981;330;0.869475587
552276.8105;7820082.34;-9973.280273;330;0.236216017
552226.8105;7820945.758;-10539.09961;330;0.445787435
551301.8105;7821827.949;-10381;330;0.92725873
549839.3105;7818017.637;-10411.29981;330;0.428892823
552226.8105;7817492.078;-9989.230469;330;0.254857328
550201.8105;7819331.539;-10012.59961;330;0.098569102
552176.8105;7820213.73;-9788.5;330;0.76239942
550089.3105;7818899.828;-10367.7002;330;0.467243268
549551.8105;7819369.078;-10286;330;0.31544046
552414.3105;7817191.758;-9639.990234;330;0.526780723
552151.8105;7821827.949;-9992.19043;330;0.248713085
548889.3105;7818149.027;-10406.5;330;0.920007523
551926.8105;7819087.527;-10194.09961;330;0.363681213
551101.8105;7819763.25;-10385.2002;330;0.039756798
549401.8105;7818092.719;-10466.09961;330;0.033091873
551051.8105;7819594.32;-10378.2002;330;0.585796062
549951.8105;7819744.48;-10163.5;330;0.309130519
551489.3105;7817323.148;-10111.59961;330;0.638843776
551139.3105;7818017.637;-10242.40039;330;0.10994263
550639.3105;7818561.969;-10362.7002;330;0.321246182
550426.8105;7821002.07;-10286.29981;330;0.341632134
549939.3105;7821471.32;-10450.7002;330;0.47334219
551089.3105;7821677.789;-10514.40039;330;0.822810944
550326.8105;7817473.309;-10277.79981;330;0.364287448
549389.3105;7819706.938;-10478.59961;330;0.991382653
550139.3105;7820176.188;-9631.679688;330;0.997329494
551439.3105;7817604.699;-10086.2002;330;0.994853147
549626.8105;7819350.309;-10199;330;0.082506362
549264.3105;7817848.711;-10180.5;330;0.78515794
550751.8105;7819763.25;-10076.59961;330;0.864544399
551039.3105;7819838.328;-10331.40039;330;0.603404643
550914.3105;7817022.828;-10263.79981;330;0.635840168
551126.8105;7817417;-10166.29981;330;0.164074736
549726.8105;7818843.52;-9835.469727;330;0.918423568
550589.3105;7817004.059;-10270.29981;330;0.327681036
550151.8105;7819519.238;-10212.2002;330;0.017186836
552414.3105;7817229.301;-9648.540039;330;0.889579741
549789.3105;7819125.07;-10214.40039;330;0.537349441
549776.8105;7821339.93;-10432;330;0.384459369
550876.8105;7820739.289;-10222;330;0.220732932
550201.8105;7819068.758;-10071.2002;330;0.365848193
552101.8105;7817492.078;-10027.7002;330;0.754298811
550789.3105;7820007.258;-9978.330078;330;0.488254154
549726.8105;7818768.438;-9773.150391;330;0.789260453
551964.3105;7821189.77;-10536.2002;330;0.213209989
549789.3105;7819650.629;-10342.2002;330;0.224906155
550351.8105;7817792.398;-10340.5;330;0.566028389
550026.8105;7820101.109;-9739.080078;330;0.371233043
552351.8105;7820194.961;-10073.09961;330;0.154269096
551701.8105;7819331.539;-10305.5;330;0.095566949
552414.3105;7820833.141;-10440.29981;330;0.425002134
550189.3105;7821077.148;-10463.79981;330;0.159262231
550464.3105;7817116.68;-10123.5;330;0.01445418
552176.8105;7817604.699;-10028.90039;330;0.54502353
550189.3105;7820363.887;-9667.80957;330;0.752457932
550701.8105;7817004.059;-10282.29981;330;0.49158491
550026.8105;7818730.898;-10327.2002;330;0.192959954
549339.3105;7821227.309;-10359.90039;330;0.794503738
549701.8105;7818092.719;-10385.29981;330;0.414981848
550064.3105;7818130.258;-10423.59961;330;0.357226298
549414.3105;7821565.168;-10372.59961;330;0.864430589
552101.8105;7821433.781;-10439.79981;330;0.500859997
550951.8105;7817661.008;-10182.29981;330;0.181258901
551064.3105;7821415.008;-10556;330;0.228970051
550139.3105;7816966.52;-9865.740234;330;0.972986256
550914.3105;7817417;-10244;330;0.977258995
550776.8105;7819913.41;-10031;330;0.038884622
552001.8105;7818730.898;-10017.40039;330;0.193908952
550926.8105;7820776.828;-10341.7002;330;0.707910308
551901.8105;7816816.359;-10056.29981;330;0.102764619
549439.3105;7817323.148;-9700.389648;330;0.983857898
550739.3105;7820157.418;-9791.450195;330;0.332385896
549801.8105;7817642.238;-10330.2002;330;0.535322719
552151.8105;7820514.051;-10105.40039;330;0.669244513
550064.3105;7818505.66;-10333.7002;330;0.92925179
551514.3105;7820495.281;-10364.40039;330;0.983726548
550001.8105;7820176.188;-9750.929688;330;0.675573126
552076.8105;7821246.078;-10522.09961;330;0.896269547
550664.3105;7821490.09;-10586;330;0.768340415
549251.8105;7818618.281;-10325.59961;330;0.753959282
551514.3105;7821527.629;-10369.29981;330;0.004822711
549701.8105;7819556.777;-10266.09961;330;0.999007913
549901.8105;7817942.559;-10410.7002;330;0.757209473
550939.3105;7818036.41;-10217.29981;330;0.692113862
551776.8105;7817454.539;-10070.29981;330;0.532990804
549789.3105;7817585.93;-10300.79981;330;0.036155424
552039.3105;7821490.09;-10418.5;330;0.951700765
551539.3105;7821827.949;-10202.29981;330;0.840029314
551564.3105;7819969.719;-10178.5;330;0.228117501
552339.3105;7820814.371;-10489.7002;330;0.98483692
550314.3105;7819706.938;-10139.40039;330;0.389974952
551814.3105;7820251.27;-9635.629883;330;0.57027107
551076.8105;7821583.941;-10515.59961;330;0.154429471
550914.3105;7820082.34;-10153.2002;330;0.636722895
549526.8105;7818749.668;-9889.200195;330;0.967221878
