X;Y;Z;OrientX;OrientY;OrientZ;Cutoff
552189.3105;7819406.617;-9797.297852;-0.076036;0.041318;-0.996249;0.014754793
552201.8105;7819406.617;-9798.693359;-0.044863;0.045039;-0.997977;0.534278959
552214.3105;7819406.617;-9798.426758;0.074373;0.009594;-0.997184;0.525125044
552201.8105;7819425.391;-9797.804688;-0.039994;0.047585;-0.998066;0.965154017
551439.3105;7820589.129;-9805.916992;0.075779;-0.310751;-0.947466;0.495156448
550851.8105;7820720.52;-9797.066406;-0.532043;-0.275707;-0.800572;0.338591489
551226.8105;7819800.789;-9789.371094;-0.069551;0.093259;-0.99321;0.293874261
551239.3105;7819744.48;-9795.443359;-0.094403;0.068798;-0.993154;0.448177408
550976.8105;7819425.391;-9748.006836;-0.555253;-0.085871;-0.827237;0.179894809
550551.8105;7818674.59;-9228.764648;0.109148;0.332519;-0.936759;0.300751604
550576.8086;7818618.281;-9240.390625;0.249464;0.225306;-0.941809;0.262720433
550814.3105;7818561.969;-9897.173828;0.177374;0.070957;-0.981582;0.170738004
550214.3105;7818299.188;-9284.345703;-0.228273;-0.046569;-0.972483;0.628062506
552226.8105;7819406.617;-9796.917969;0.078851;-0.021838;-0.996647;0.798092917
551476.8105;7818374.27;-9687.792969;-0.269706;-0.050618;-0.961611;0.886774802
551651.8105;7817811.168;-9816.841797;-0.204194;0.003709;-0.978923;0.025874757
551626.8105;7817829.938;-9813.594727;0.020179;0.040417;-0.998979;0.138523201
551639.3105;7817811.168;-9814.689453;-0.105093;0.028396;-0.994057;0.770719843
550639.3105;7817642.238;-9257.282227;-0.028335;-0.158873;-0.986892;0.569668192
550926.8105;7817248.07;-9789.704102;0.162537;-0.105722;-0.981022;0.071327636
550989.3105;7817210.527;-9782.967773;0.187195;0.138165;-0.972558;0.976691621
550939.3105;7821227.309;-9958.425781;-0.080561;-0.043063;-0.995819;0.248187027
549276.8105;7820682.98;-9985.125977;-0.161328;0.075208;-0.984031;0.649480427
548976.8105;7820345.121;-9974.265625;-0.012103;-0.153309;-0.988104;0.05002477
549764.3105;7820457.738;-9901.208984;0.36949;-0.187053;-0.910213;0.759421295
