X,Y,Z,formation
0,0,800,rock3
0,500,800,rock3
0,1000,800,rock3
500,0,800,rock3
500,500,800,rock3
500,1000,800,rock3
1000,0,800,rock3
1000,500,800,rock3
1000,1000,800,rock3
1500,0,800,rock3
1500,500,800,rock3
1500,1000,800,rock3
2000,0,650,rock3
2000,500,650,rock3
2000,1000,650,rock3
0,0,450,rock2
0,500,450,rock2
0,1000,450,rock2
150,0,600,rock2
150,500,600,rock2
150,1000,600,rock2
300,0,750,rock2
300,500,750,rock2
300,1000,750,rock2
450,0,600,rock2
450,500,600,rock2
450,1000,600,rock2
600,0,450,rock2
600,500,450,rock2
600,1000,450,rock2
750,0,600,rock2
750,500,600,rock2
750,1000,600,rock2
850,0,800,rock2
850,500,800,rock2
850,1000,800,rock2
1500,0,800,rock2
1500,500,800,rock2
1500,1000,800,rock2
1600,0,600,rock2
1600,500,600,rock2
1600,1000,600,rock2
1750,0,450,rock2
1750,500,450,rock2
1750,1000,450,rock2
1850,0,550,rock2
1850,500,550,rock2
1850,1000,550,rock2
2200,0,550,rock2
2200,500,550,rock2
2200,1000,550,rock2
2300,0,650,rock2
2300,500,650,rock2
2300,1000,650,rock2
0,0,250,rock1
0,500,250,rock1
0,1000,250,rock1
150,0,400,rock1
150,500,400,rock1
150,1000,400,rock1
300,0,550,rock1
300,500,550,rock1
300,1000,550,rock1
450,0,400,rock1
450,500,400,rock1
450,1000,400,rock1
600,0,250,rock1
600,500,250,rock1
600,1000,250,rock1
750,0,350,rock1
750,500,350,rock1
750,1000,350,rock1
900,0,550,rock1
900,500,550,rock1
900,1000,550,rock1
1450,0,550,rock1
1450,500,550,rock1
1450,1000,550,rock1
1600,0,350,rock1
1600,500,350,rock1
1600,1000,350,rock1
1750,0,250,rock1
1750,500,250,rock1
1750,1000,250,rock1
1850,0,350,rock1
1850,500,350,rock1
1850,1000,350,rock1
2200,0,350,rock1
2200,500,350,rock1
2200,1000,350,rock1
2300,0,450,rock1
2300,500,450,rock1
2300,1000,450,rock1
1050,0,799,rock1
1050,500,799,rock1
1050,1000,799,rock1
1300,0,799,rock1
1300,500,799,rock1
1300,1000,799,rock1
2000,0,400,fault
2000,500,400,fault
2000,1000,400,fault


