,X,Y,Z,G_x,G_y,G_z,dip,azimuth,polarity,formation,series,formation_number,order_series,isFault,formation_value,annotations
0,750.0,1000.0,500.0,0.9659258262900683,1.000059145898569e-12,0.2588190451035207,75.0,90.0,1.0,Fault_1,Fault_1,1,1,True,1,"${\bf{x}}_{\beta \,{\bf{1}},0}$"
1,1250.0,1000.0,500.0,-0.9659258262880683,9.998225623042932e-13,0.2588190451035207,75.0,270.0,1.0,Fault_2,Fault_2,2,2,True,2,"${\bf{x}}_{\beta \,{\bf{2}},0}$"
7,1000.0,1000.0,500.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Schist,Strat_Series,7,3,False,7,"${\bf{x}}_{\beta \,{\bf{7}},2}$"
8,250.0,500.0,700.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Schist,Strat_Series,7,3,False,7,"${\bf{x}}_{\beta \,{\bf{7}},1}$"
9,1750.0,500.0,700.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Schist,Strat_Series,7,3,False,7,"${\bf{x}}_{\beta \,{\bf{7}},0}$"
5,1000.0,1000.0,700.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone_2,Strat_Series,6,3,False,6,"${\bf{x}}_{\beta \,{\bf{6}},4}$"
6,250.0,500.0,900.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone_2,Strat_Series,6,3,False,6,"${\bf{x}}_{\beta \,{\bf{6}},3}$"
10,1750.0,500.0,900.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone_2,Strat_Series,6,3,False,6,"${\bf{x}}_{\beta \,{\bf{6}},2}$"
14,250.0,1500.0,900.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone_2,Strat_Series,6,3,False,6,"${\bf{x}}_{\beta \,{\bf{6}},1}$"
15,1750.0,1500.0,900.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone_2,Strat_Series,6,3,False,6,"${\bf{x}}_{\beta \,{\bf{6}},0}$"
3,1000.0,1000.0,1000.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Siltstone,Strat_Series,4,3,False,4,"${\bf{x}}_{\beta \,{\bf{4}},4}$"
4,250.0,500.0,1300.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Siltstone,Strat_Series,4,3,False,4,"${\bf{x}}_{\beta \,{\bf{4}},3}$"
11,1750.0,500.0,1300.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Siltstone,Strat_Series,4,3,False,4,"${\bf{x}}_{\beta \,{\bf{4}},2}$"
12,250.0,1500.0,1300.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Siltstone,Strat_Series,4,3,False,4,"${\bf{x}}_{\beta \,{\bf{4}},1}$"
13,1750.0,1500.0,1300.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Siltstone,Strat_Series,4,3,False,4,"${\bf{x}}_{\beta \,{\bf{4}},0}$"
18,250.0,1500.0,1500.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone,Strat_Series,3,3,False,3,"${\bf{x}}_{\beta \,{\bf{3}},3}$"
19,250.0,500.0,1500.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone,Strat_Series,3,3,False,3,"${\bf{x}}_{\beta \,{\bf{3}},2}$"
20,1750.0,500.0,1500.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone,Strat_Series,3,3,False,3,"${\bf{x}}_{\beta \,{\bf{3}},1}$"
21,1750.0,1500.0,1500.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Sandstone,Strat_Series,3,3,False,3,"${\bf{x}}_{\beta \,{\bf{3}},0}$"
16,250.0,1500.0,700.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Schist,Strat_Series,7,3,False,7,"${\bf{x}}_{\beta \,{\bf{7}},3}$"
17,1750.0,1500.0,700.0,1e-12,1e-12,1.000000000001,0.0,90.0,1.0,Schist,Strat_Series,7,3,False,7,"${\bf{x}}_{\beta \,{\bf{7}},4}$"
