,X,Y,Z,formation,series,formation_number,order_series,isFault,annotations,formation_value
0,750.0,1500.0,500.0,Fault_1,Fault_1,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},0}$",1
1,750.0,500.0,500.0,Fault_1,Fault_1,1,1,True,"${\bf{x}}_{\alpha \,{\bf{1}},1}$",1
2,1250.0,1500.0,500.0,Fault_2,Fault_2,2,2,True,"${\bf{x}}_{\alpha \,{\bf{2}},0}$",2
3,1250.0,1500.0,500.0,Fault_2,Fault_2,2,2,True,"${\bf{x}}_{\alpha \,{\bf{2}},1}$",2
13,1000.0,1000.0,300.0,Gneiss,Strat_Series,8,3,False,"${\bf{x}}_{\alpha \,{\bf{8}},1}$",8
5,250.0,1000.0,500.0,Gneiss,Strat_Series,8,3,False,"${\bf{x}}_{\alpha \,{\bf{8}},0}$",8
8,250.0,1000.0,700.0,Schist,Strat_Series,7,3,False,"${\bf{x}}_{\alpha \,{\bf{7}},2}$",7
7,1750.0,1000.0,700.0,Schist,Strat_Series,7,3,False,"${\bf{x}}_{\alpha \,{\bf{7}},1}$",7
6,1000.0,1000.0,500.0,Schist,Strat_Series,7,3,False,"${\bf{x}}_{\alpha \,{\bf{7}},0}$",7
9,250.0,1000.0,900.0,Sandstone_2,Strat_Series,6,3,False,"${\bf{x}}_{\alpha \,{\bf{6}},2}$",6
10,1750.0,1000.0,900.0,Sandstone_2,Strat_Series,6,3,False,"${\bf{x}}_{\alpha \,{\bf{6}},1}$",6
11,1000.0,1000.0,700.0,Sandstone_2,Strat_Series,6,3,False,"${\bf{x}}_{\alpha \,{\bf{6}},0}$",6
12,1750.0,1000.0,1200.0,Shale,Strat_Series,5,3,False,"${\bf{x}}_{\alpha \,{\bf{5}},1}$",5
4,1750.0,1000.0,500.0,Gneiss,Strat_Series,8,3,False,"${\bf{x}}_{\alpha \,{\bf{8}},2}$",8
14,250.0,1000.0,1200.0,Shale,Strat_Series,5,3,False,"${\bf{x}}_{\alpha \,{\bf{5}},0}$",5
17,250.0,1000.0,1300.0,Siltstone,Strat_Series,4,3,False,"${\bf{x}}_{\alpha \,{\bf{4}},2}$",4
16,1750.0,1000.0,1300.0,Siltstone,Strat_Series,4,3,False,"${\bf{x}}_{\alpha \,{\bf{4}},1}$",4
15,1000.0,1000.0,1100.0,Siltstone,Strat_Series,4,3,False,"${\bf{x}}_{\alpha \,{\bf{4}},0}$",4
20,250.0,1000.0,1500.0,Sandstone,Strat_Series,3,3,False,"${\bf{x}}_{\alpha \,{\bf{3}},2}$",3
19,1000.0,1000.0,1200.0,Sandstone,Strat_Series,3,3,False,"${\bf{x}}_{\alpha \,{\bf{3}},1}$",3
18,1750.0,1000.0,1500.0,Sandstone,Strat_Series,3,3,False,"${\bf{x}}_{\alpha \,{\bf{3}},0}$",3
21,1000.0,1000.0,1000.0,Shale,Strat_Series,5,3,False,"${\bf{x}}_{\alpha \,{\bf{5}},2}$",5
