X,Y,Z,azimuth,dip,polarity,formation
393936.142320,6693632.776940,957.702303,263.276747,1.193492,1,Permian
396918.892567,6693984.396839,977.204803,83.276747,0.349367,1,Permian
351487.758871,6688628.772226,-7385.646697,83.277000,6.546000,1,Permian
338518.168564,6650708.570891,-4542.306605,256.590252,1.789915,1,Permian
397464.032464,6663077.533819,959.378895,268.100891,1.432093,1,Permian
388231.346475,6662771.397837,-5909.347105,88.100891,1.548158,1,Permian
390067.013711,6693176.666808,-2027.085197,258.305884,56.113829,1,Darling
387480.312066,6692871.734884,-5468.217697,258.453840,50.172150,1,Darling
380685.471752,6692070.728810,-2475.219197,258.181256,59.136216,1,Urella_North
378225.542286,6691780.741356,-5604.015697,258.491356,45.884855,1,Urella_North
349524.174513,6688397.296146,-1722.315697,258.469633,48.978506,1,Eneabba_South
346943.915258,6688093.123680,-4278.195197,258.462867,40.562225,1,Eneabba_South
340944.288072,6687385.860875,-2356.005197,77.995123,62.486979,-1,Coomallo
342643.483167,6687586.169570,-5228.729697,78.277337,56.597000,-1,Coomallo
348362.594755,6688260.363945,-4800.701697,83.277000,7.496000,1,Lesueur
347339.390828,6688139.744103,-5803.145697,83.277000,12.095000,1,Woodada_Kockatea
352054.428028,6688695.573713,-3672.951697,83.277000,7.472000,1,Cattamarra
377146.267897,6662140.215356,-3767.430605,252.583876,73.779822,1,Hypo_fault_E
375633.492464,6661665.672702,-8051.546105,252.583876,66.705447,1,Hypo_fault_E
358317.030388,6656233.670235,-3868.630105,72.583876,74.666723,-1,Hypo_fault_W
359797.619749,6656698.116438,-8017.813105,72.583876,64.573130,-1,Hypo_fault_W
386644.134759,6662718.769315,-2733.176605,262.967799,59.896750,1,Urella_South
384322.099881,6662641.775640,-6850.435605,262.886991,61.379678,1,Urella_South
349566.870409,6653488.831804,-1894.695784,72.584000,14.036000,1,Cretaceous
393713.418971,6662953.171554,-1357.485252,88.101000,0.000000,1,Yarragadee
362273.437500,6691196.250000,265.802829,37.647360,89.720212,-1,Abrolhos_Transfer
382171.344000,6676036.000000,273.424125,216.987277,89.473746,1,Abrolhos_Transfer
