X,Y,Z,formation
800,50,-1250,target
800,150,-1300,target
800,300,-1300,target
800,500,-1200,target
800,1000,-1000,target
800,1500,-1300,target
800,1700,-1400,target
800,1950,-1350,target
0,1000,-900,target
300,1000,-1000,target
450,1000,-1050,target
1100,1000,-1100,target
1400,1000,-1150,target
1700,1000,-1100,target
1500,500,-1200,target
1500,1500,-1250,target
800,50,-1550,underburden
800,150,-1600,underburden
800,300,-1600,underburden
800,500,-1500,underburden
800,1000,-1300,underburden
800,1500,-1600,underburden
800,1700,-1700,underburden
800,1950,-1650,underburden
0,1000,-1200,underburden
300,1000,-1300,underburden
1100,1000,-1400,underburden
1400,1000,-1450,underburden
1700,1000,-1400,underburden
1500,500,-1500,underburden
1500,1500,-1550,underburden
900,150,-1080,overburden
900,300,-1080,overburden
900,1500,-1080,overburden
900,1700,-1180,overburden
900,1950,-1130,overburden
0,1000,-700,overburden
300,1000,-800,overburden
600,1000,-900,overburden
1100,1000,-900,overburden
1400,1000,-950,overburden
1700,1000,-900,overburden
1500,500,-1000,overburden
1500,1500,-1050,overburden
0,1000,-500,seawater
300,1000,-600,seawater
600,1000,-700,seawater
1100,1000,-700,seawater
1400,1000,-750,seawater
1700,1000,-700,seawater
1500,500,-800,seawater
1500,1500,-850,seawater
700,1000,-1100,fault
600,1000,-1400,fault
500,1000,-1700,fault
800,1000,-800,fault
900,1000,-500,fault
