,X,Y,Z,azimuth,dip,polarity,formation
3,0.0,33.0,0.0,90.0,-43.3634229584,1.0,Layer3
5,0.0,61.0,0.0,90.0,-15.5241109968,1.0,Layer5
8,20.0,45.0,0.0,90.0,-15.5241109968,1.0,Layer3
10,20.0,66.0,0.0,90.0,-15.5241109968,1.0,Layer5
13,40.0,42.0,0.0,90.0,31.4295656148,1.0,Layer3
15,40.0,72.0,0.0,90.0,-15.5241109968,1.0,Layer5
17,60.0,52.0,0.0,90.0,45.0,1.0,Layer2
18,60.0,26.0,0.0,90.0,43.3634229584,1.0,Layer3
20,60.0,77.0,0.0,90.0,-15.5241109968,1.0,Layer5
21,80.0,46.0,0.0,90.0,35.8376529543,1.0,Layer1
22,80.0,35.0,0.0,90.0,33.690067526,1.0,Layer2
23,80.0,9.0,0.0,90.0,35.8376529543,1.0,Layer3
25,80.0,83.0,0.0,90.0,-15.5241109968,1.0,Layer5
26,100.0,41.0,0.0,90.0,-6.34019174591,1.0,Layer1
27,100.0,29.0,0.0,90.0,-6.34019174591,1.0,Layer2
28,100.0,4.0,0.0,90.0,-6.34019174591,1.0,Layer3
30,100.0,89.0,0.0,90.0,-15.5241109968,1.0,Layer5
31,120.0,50.0,0.0,90.0,-39.8055710923,1.0,Layer1
32,120.0,39.0,0.0,90.0,-41.6335393366,1.0,Layer2
33,120.0,13.0,0.0,90.0,-39.8055710923,1.0,Layer3
35,120.0,94.0,0.0,90.0,-15.5241109968,1.0,Layer5
11,80.0,0.0,43.0,90.0,39.207203505,1.0,1
12,60.0,0.0,49.0,90.0,47.9108378262,1.0,2
16,60.0,63.0,0.0,90.0,43.3634229584,1.0,Layer1
4,0.0,0.0,0.0,90.0,0.0,1.0,Layer4
9,20.0,0.0,0.0,90.0,0.0,1.0,Layer4
14,40.0,0.0,0.0,90.0,0.0,1.0,Layer4
19,60.0,0.0,0.0,90.0,0.0,1.0,Layer4
24,80.0,0.0,0.0,90.0,0.0,1.0,Layer4
29,100.0,0.0,0.0,90.0,0.0,1.0,Layer4
34,120.0,0.0,0.0,90.0,0.0,1.0,Layer4
