,X,Y,Z,azimuth,dip,polarity,formation
3,0.0,0.0,33.0,90.0,-43.3634229584,1.0,Layer3
4,0.0,0.0,0.0,90.0,0.0,1.0,Layer4
5,0.0,0.0,61.0,90.0,-15.5241109968,1.0,Layer5
8,20.0,0.0,45.0,90.0,-15.5241109968,1.0,Layer3
9,20.0,0.0,0.0,90.0,0.0,1.0,Layer4
10,20.0,0.0,66.0,90.0,-15.5241109968,1.0,Layer5
13,40.0,0.0,42.0,90.0,31.4295656148,1.0,Layer3
14,40.0,0.0,0.0,90.0,0.0,1.0,Layer4
15,40.0,0.0,72.0,90.0,-15.5241109968,1.0,Layer5
16,60.0,0.0,63.0,90.0,43.3634229584,1.0,Layer1
17,60.0,0.0,52.0,90.0,45.0,1.0,Layer2
18,60.0,0.0,26.0,90.0,43.3634229584,1.0,Layer3
19,60.0,0.0,0.0,90.0,0.0,1.0,Layer4
20,60.0,0.0,77.0,90.0,-15.5241109968,1.0,Layer5
21,80.0,0.0,46.0,90.0,35.8376529543,1.0,Layer1
22,80.0,0.0,35.0,90.0,33.690067526,1.0,Layer2
23,80.0,0.0,9.0,90.0,35.8376529543,1.0,Layer3
24,80.0,0.0,0.0,90.0,0.0,1.0,Layer4
25,80.0,0.0,83.0,90.0,-15.5241109968,1.0,Layer5
26,100.0,0.0,41.0,90.0,-6.34019174591,1.0,Layer1
27,100.0,0.0,29.0,90.0,-6.34019174591,1.0,Layer2
28,100.0,0.0,4.0,90.0,-6.34019174591,1.0,Layer3
29,100.0,0.0,0.0,90.0,0.0,1.0,Layer4
30,100.0,0.0,89.0,90.0,-15.5241109968,1.0,Layer5
31,120.0,0.0,50.0,90.0,-39.8055710923,1.0,Layer1
32,120.0,0.0,39.0,90.0,-41.6335393366,1.0,Layer2
33,120.0,0.0,13.0,90.0,-39.8055710923,1.0,Layer3
34,120.0,0.0,0.0,90.0,0.0,1.0,Layer4
35,120.0,0.0,94.0,90.0,-15.5241109968,1.0,Layer5
