X,Y,Z
609.773,15.678,151.680
605.773,39.678,153.340
607.773,42.678,152.640
609.773,43.678,151.980
609.773,23.678,151.700
607.773,33.678,152.530
607.773,37.678,152.570
608.773,34.678,152.200
607.773,-7.322,152.170
608.773,-4.322,151.800
609.773,-1.322,151.490
609.773,-3.322,151.470
610.773,3.678,151.160
611.773,1.678,150.800
610.773,0.678,151.160
609.773,-5.322,151.480
610.773,10.678,151.240
610.773,14.678,151.330
609.773,21.678,151.680
610.773,19.678,151.300
610.773,17.678,151.310
608.773,40.678,152.260
608.773,38.678,152.220
610.773,24.678,151.360
609.773,30.678,151.760
608.773,29.678,152.080
611.773,-0.322,150.790
610.773,-1.322,151.140
611.773,4.678,150.810
610.773,7.678,151.230
611.773,6.678,150.850
611.773,11.678,150.880
611.773,16.678,150.950
611.773,18.678,150.920
609.773,41.678,151.930
611.773,43.678,151.300
611.773,22.678,150.940
610.773,21.678,151.310
610.773,28.678,151.380
611.773,25.678,151.000
609.773,33.678,151.830
609.773,37.678,151.840
610.773,-7.322,151.120
610.773,-4.322,151.130
612.773,0.678,150.460
612.773,3.678,150.450
612.773,5.678,150.490
611.773,8.678,150.880
612.773,10.678,150.520
611.773,12.678,150.910
612.773,14.678,150.570
612.773,13.678,150.560
611.773,20.678,150.920
612.773,17.678,150.560
610.773,40.678,151.570
613.773,23.678,150.210
610.773,31.678,151.430
611.773,30.678,151.030
610.773,36.678,151.460
611.773,35.678,151.090
611.773,38.678,151.150
611.773,-5.322,150.780
611.773,-2.322,150.780
612.773,-1.322,150.470
613.773,1.678,150.150
613.773,4.678,150.160
612.773,7.678,150.520
613.773,6.678,150.200
613.773,11.678,150.230
613.773,15.678,150.240
612.773,18.678,150.540
611.773,41.678,151.240
612.773,21.678,150.540
612.773,22.678,150.550
612.773,27.678,150.640
613.773,26.678,150.260
613.773,29.678,150.280
612.773,34.678,150.730
612.773,-6.322,150.430
612.773,-7.322,150.430
612.773,-3.322,150.450
614.773,0.678,149.960
