X,Y,Z,surface
601.289,350.059,47.143,Quartaer
605.955,451.261,45.035,Quartaer
610.641,552.610,41.174,Quartaer
615.139,450.652,44.760,Quartaer
651.565,357.980,46.278,Quartaer
648.801,449.560,43.972,Quartaer
646.233,549.104,39.335,Quartaer
682.719,446.705,42.873,Quartaer
692.835,501.738,43.032,Quartaer
700.970,537.480,42.980,Quartaer
619.099,597.143,42.505,Quartaer
656.309,741.238,41.795,Quartaer
668.341,891.442,39.508,Quartaer
625.595,139.411,48.849,Quartaer
600.949,-70.264,49.812,Quartaer
600.419,-175.022,50.649,Quartaer
618.654,-71.051,45.173,Quartaer
604.679,134.762,48.825,Quartaer
638.023,135.932,48.679,Quartaer
595.126,273.584,47.856,Quartaer
603.634,400.365,46.623,Quartaer
609.648,500.368,39.473,Quartaer
635.462,398.743,44.036,Quartaer
641.445,499.200,37.967,Quartaer
708.565,381.616,41.521,Quartaer
672.461,561.070,44.173,Quartaer
662.359,791.131,41.497,Quartaer
601.289,350.059,46.193,verwKeuper
605.955,451.261,44.235,verwKeuper
610.641,552.610,45.174,verwKeuper
615.139,450.652,43.560,verwKeuper
651.565,357.980,45.478,verwKeuper
648.801,449.560,42.422,verwKeuper
646.233,549.104,42.385,verwKeuper
682.719,446.705,39.873,verwKeuper
692.835,501.738,40.732,verwKeuper
700.970,537.480,40.380,verwKeuper
619.099,597.143,41.205,verwKeuper
656.309,741.238,40.945,verwKeuper
668.341,891.442,37.508,verwKeuper
625.595,139.411,47.399,verwKeuper
600.949,-70.264,49.012,verwKeuper
600.419,-175.022,51.649,verwKeuper
618.654,-71.051,48.123,verwKeuper
604.679,134.762,48.825,verwKeuper
638.023,135.932,48.079,verwKeuper
595.126,273.584,46.756,verwKeuper
603.634,400.365,45.573,verwKeuper
609.648,500.368,43.473,verwKeuper
635.462,398.743,41.836,verwKeuper
641.445,499.200,40.967,verwKeuper
708.565,381.616,40.621,verwKeuper
672.461,561.070,43.173,verwKeuper
662.359,791.131,40.847,verwKeuper
601.289,350.059,45.343,Sandstein
605.955,451.261,43.035,Sandstein
610.641,552.610,41.674,Sandstein
615.139,450.652,41.660,Sandstein
651.565,357.980,43.228,Sandstein
648.801,449.560,41.622,Sandstein
646.233,549.104,41.335,Sandstein
682.719,446.705,39.273,Sandstein
692.835,501.738,38.882,Sandstein
700.970,537.480,39.930,Sandstein
619.099,597.143,40.305,Sandstein
656.309,741.238,38.495,Sandstein
668.341,891.442,35.508,Sandstein
625.595,139.411,45.049,Sandstein
600.949,-70.264,48.312,Sandstein
600.419,-175.022,46.649,Sandstein
618.654,-71.051,47.173,Sandstein
604.679,134.762,45.075,Sandstein
638.023,135.932,45.679,Sandstein
595.126,273.584,45.256,Sandstein
603.634,400.365,43.823,Sandstein
609.648,500.368,39.973,Sandstein
635.462,398.743,40.336,Sandstein
641.445,499.200,39.967,Sandstein
708.565,381.616,39.471,Sandstein
672.461,561.070,41.073,Sandstein
662.359,791.131,40.347,Sandstein
649.019,975.566,35.018,Sandstein
601.289,350.059,32.943,Schluffstein
605.955,451.261,31.085,Schluffstein
610.641,552.610,30.824,Schluffstein
615.139,450.652,30.810,Schluffstein
651.565,357.980,34.028,Schluffstein
648.801,449.560,31.822,Schluffstein
646.233,549.104,30.635,Schluffstein
682.719,446.705,29.873,Schluffstein
692.835,501.738,30.782,Schluffstein
700.970,537.480,29.980,Schluffstein
619.099,597.143,27.755,Schluffstein
656.309,741.238,31.045,Schluffstein
668.341,891.442,27.258,Schluffstein
625.595,139.411,34.949,Schluffstein
638.023,135.932,35.000,Schluffstein
595.126,273.584,33.456,Schluffstein
582.509,361.550,29.663,Schluffstein
603.634,400.365,31.323,Schluffstein
609.648,500.368,28.473,Schluffstein
635.462,398.743,31.336,Schluffstein
641.445,499.200,31.167,Schluffstein
708.565,381.616,31.021,Schluffstein
672.461,561.070,30.173,Schluffstein
651.596,668.418,26.010,Schluffstein
662.359,791.131,29.997,Schluffstein
641.671,797.789,28.893,Schluffstein
561.200,793.344,29.534,Schluffstein
649.019,975.566,27.018,Schluffstein
598.000,513.000,30.000,Verw1
598.000,522.000,60.000,Verw1
672.000,441.000,30.000,Verw1
582.000,352.000,30.000,Verw2
582.000,361.000,60.000,Verw2
625.000,319.000,60.000,Verw2
