X,Y,Z,formation,series,formation number
613671.285220811,2474866.3748070966,345.0,Unit4,Default series,4
613644.4652059644,2475390.5125530786,344.0,Unit4,Default series,4
613956.3058698378,2475921.8575504883,354.0,Unit4,Default series,4
614275.8169432562,2476477.3731008917,352.0,Unit4,Default series,4
614770.7274040765,2477458.6827799478,362.0,Unit4,Default series,4
614966.5505256471,2478031.4975017384,356.0,Unit4,Default series,4
615352.3113286268,2478506.806918428,365.0,Unit4,Default series,4
616023.1918847035,2478962.4652577904,361.0,Unit4,Default series,4
616807.5127263067,2479204.722894744,366.0,Unit4,Default series,4
617480.8183026563,2479356.363333834,363.0,Unit4,Default series,4
619605.3394951244,2479183.1969778654,413.0,Unit4,Default series,4
619962.788090406,2478854.7263079877,431.0,Unit4,Default series,4
620263.3783035193,2478658.3122003465,382.0,Unit4,Default series,4
620536.3956877575,2478252.541369662,376.0,Unit4,Default series,4
620820.2430356628,2477732.020862384,413.0,Unit4,Default series,4
621024.9621027122,2477220.0289376574,389.0,Unit4,Default series,4
621066.5097722358,2476871.775457132,369.0,Unit4,Default series,4
621075.252770504,2476364.8181863115,375.0,Unit4,Default series,4
620977.6704777674,2476131.7056633974,354.0,Unit4,Default series,4
619352.3953003243,2474943.4755360764,348.0,Unit4,Default series,4
618701.4165611756,2474504.0967859053,324.0,Unit4,Default series,4
618389.2271946591,2474372.852492779,342.0,Unit4,Default series,4
617372.8724223156,2473918.1312043667,338.0,Unit4,Default series,4
617196.7296994282,2473841.4496359844,342.0,Unit4,Default series,4
616769.4217839906,2473722.141615529,336.0,Unit4,Default series,4
616356.0797671314,2473589.9017743263,348.0,Unit4,Default series,4
615483.1039125877,2473462.6698566093,338.0,Unit4,Default series,4
614905.3039921939,2473453.2982568196,376.0,Unit4,Default series,4
613870.5798449725,2474300.513100934,347.0,Unit4,Default series,4
613771.8344870815,2474570.915013574,344.0,Unit4,Default series,4
614442.723113133,2474703.539021203,373.0,Unit2,Default series,2
614481.7715116761,2475373.691074882,434.0,Unit2,Default series,2
614847.0134710622,2476011.847116276,520.0,Unit2,Default series,2
615426.5006591456,2476565.767328723,665.0,Unit2,Default series,2
615956.2533179548,2477349.7848953228,582.0,Unit2,Default series,2
616503.3602118298,2477993.837612383,615.0,Unit2,Default series,2
617227.4430052983,2478261.436323506,631.0,Unit2,Default series,2
617784.2171606782,2478665.2253886233,492.0,Unit2,Default series,2
619519.0079781616,2478580.0264809844,456.0,Unit2,Default series,2
619698.0268690621,2477759.6539950594,555.0,Unit2,Default series,2
619912.9253758048,2477400.8947204826,540.0,Unit2,Default series,2
620299.21635336,2476988.923480552,498.0,Unit2,Default series,2
620466.8973339621,2476693.514155522,429.0,Unit2,Default series,2
618448.8274022823,2475328.319605844,385.0,Unit2,Default series,2
618066.9789094769,2474874.020135251,343.0,Unit2,Default series,2
617663.6916656895,2474881.589937546,367.0,Unit2,Default series,2
617276.0313108544,2474649.0295675537,354.0,Unit2,Default series,2
617090.1468153965,2474556.597823038,352.0,Unit2,Default series,2
616681.1908701378,2474301.0772919897,347.0,Unit2,Default series,2
616158.0385088664,2474411.7807820705,395.0,Unit2,Default series,2
615761.5073744259,2474330.8976239413,409.0,Unit2,Default series,2
615610.8146685405,2474104.051381968,346.0,Unit2,Default series,2
615276.6753578279,2474079.3243809305,363.0,Unit2,Default series,2
614794.460677421,2474344.006006198,392.0,Unit2,Default series,2
614128.2246798229,2474469.805026919,387.0,Unit3,Default series,3
614153.2432455583,2475129.0056529636,498.0,Unit3,Default series,3
614374.2366201213,2475693.755073076,558.0,Unit3,Default series,3
614679.9615980065,2476172.5332914125,560.0,Unit3,Default series,3
614928.326562614,2476784.917009956,511.0,Unit3,Default series,3
615396.7379716169,2477288.498017117,558.0,Unit3,Default series,3
615782.7328701543,2477870.6723321485,613.0,Unit3,Default series,3
616046.6764366429,2478472.9053934687,434.0,Unit3,Default series,3
616755.986704304,2478477.3111731424,568.0,Unit3,Default series,3
617495.6417020035,2478711.798572824,612.0,Unit3,Default series,3
617936.5123987467,2479143.255612434,427.0,Unit3,Default series,3
619437.2390505343,2479041.780615517,424.0,Unit3,Default series,3
619816.7875487952,2478222.9496650943,618.0,Unit3,Default series,3
619944.3682390947,2477647.5081984773,647.0,Unit3,Default series,3
620422.4658734078,2477181.1697011166,620.0,Unit3,Default series,3
620741.3004623072,2476559.1779863853,472.0,Unit3,Default series,3
620735.5913730265,2476266.894511007,389.0,Unit3,Default series,3
618513.8742038012,2474918.9963839697,385.0,Unit3,Default series,3
617749.6546859591,2474714.9375881995,473.0,Unit3,Default series,3
617344.0119564858,2474362.442912235,426.0,Unit3,Default series,3
616761.567838832,2474109.936124084,383.0,Unit3,Default series,3
616189.2381934184,2474198.214555878,463.0,Unit3,Default series,3
615922.169316317,2474134.7799346014,454.0,Unit3,Default series,3
615683.5180102567,2473714.1867884826,345.0,Unit3,Default series,3
615265.9705847694,2473811.7347581554,431.0,Unit3,Default series,3
614808.7505147109,2473884.2649493306,374.0,Unit3,Default series,3
614534.3557435995,2474192.7915659877,419.0,Unit3,Default series,3
616778.4067380347,2476580.3574015093,430.0,Unit1,Default series,1
617102.4303400357,2477022.231058959,471.0,Unit1,Default series,1
617399.6600579674,2477152.6599487104,478.0,Unit1,Default series,1
617624.3437171435,2476917.757657259,531.0,Unit1,Default series,1
617795.2384861143,2476741.9137759544,542.0,Unit1,Default series,1
617296.0197722217,2476646.631187189,559.0,Unit1,Default series,1
617046.5663235296,2476547.606497037,531.0,Unit1,Default series,1
