X,Y,Z,azimuth,dip,polarity,formation
780291.429877,6346095.964954,-14.621493,214.046000,2.663000,1,Triassic
789320.195000,6351896.372000,261.519814,125.000000,30.000000,1,Triassic
789279.843000,6351870.246000,257.135783,110.000000,20.000000,1,Triassic
789344.130000,6352066.706000,228.741775,160.000000,20.000000,1,Triassic
789564.656000,6352786.481000,228.616239,325.000000,20.000000,1,Triassic
789540.581000,6352682.808000,233.241302,300.000000,5.000000,1,Triassic
786935.027000,6351789.696000,392.142860,110.000000,20.000000,1,Triassic
787182.329000,6351459.789000,390.094515,95.000000,10.000000,1,Triassic
786739.392000,6352602.527000,473.347067,310.000000,20.000000,1,Triassic
789742.016000,6352777.893000,219.864661,40.000000,2.000000,1,Triassic
789603.737000,6352789.258000,226.214609,40.000000,2.000000,1,Triassic
789563.827000,6352788.691000,229.250819,295.000000,2.000000,1,Triassic
789539.001000,6352681.675000,233.691702,310.000000,20.000000,1,Triassic
789608.232000,6352641.549000,217.767989,0.000000,20.000000,1,Triassic
789610.183000,6352560.468000,211.891792,240.000000,20.000000,1,Triassic
789531.354000,6352489.350000,210.312233,240.000000,20.000000,1,Triassic
789468.089000,6352334.012000,206.973120,110.000000,20.000000,1,Triassic
789477.060000,6352320.806000,209.140560,100.000000,35.000000,1,Triassic
789422.305000,6352184.478000,226.631058,165.000000,22.000000,1,Triassic
789435.577000,6352205.777000,226.178746,120.000000,10.000000,1,Triassic
789527.981000,6352277.086000,239.568540,110.000000,20.000000,1,Triassic
787968.280000,6350415.180000,269.350830,30.000000,11.000000,1,Triassic
787845.514000,6350513.466000,266.460293,50.000000,5.000000,1,Triassic
788238.162000,6350134.514000,257.992094,290.000000,9.000000,1,Triassic
788081.854000,6350403.433000,265.724524,30.000000,9.000000,1,Triassic
788546.263689,6350828.448187,373.673532,312.000000,35.000000,1,Triassic
788582.850000,6350841.552000,376.884114,312.000000,35.000000,1,Triassic
789376.056366,6350250.326511,287.037213,335.000000,20.000000,1,Triassic
789629.768000,6350185.845000,298.700173,75.000000,15.000000,1,Triassic
789673.466387,6350204.984449,303.930714,0.000000,18.000000,1,Triassic
789852.240000,6350252.402000,315.373110,205.000000,80.000000,1,Triassic
789853.242851,6350173.243710,295.657377,85.000000,25.000000,1,Triassic
789832.141957,6350201.661993,300.697748,50.000000,15.000000,1,Triassic
789959.279000,6350319.646000,327.758904,22.000000,12.000000,1,Triassic
789988.447000,6350356.709000,334.191273,20.000000,10.000000,1,Triassic
789999.111000,6350367.142000,334.995812,45.000000,13.000000,1,Triassic
789188.480000,6349974.554000,262.070120,355.000000,20.000000,1,Triassic
788910.814000,6350237.294000,296.549830,335.000000,12.000000,1,Triassic
789082.794000,6350275.276000,294.670117,335.000000,8.000000,1,Triassic
789139.285000,6350290.519000,282.950511,240.000000,10.000000,1,Triassic
789306.585000,6350038.447000,266.663084,335.000000,1.000000,1,Triassic
787525.123000,6350278.428000,252.285713,140.000000,10.000000,1,Triassic
787550.853000,6350050.491000,262.851735,6.000000,25.000000,1,Triassic
787482.310100,6349537.009848,331.852472,113.000000,20.000000,1,Triassic
787435.779000,6349421.131000,349.874669,113.000000,20.000000,1,Triassic
787503.568000,6349486.514000,350.430757,60.000000,15.000000,1,Triassic
788668.132000,6350456.094000,307.509077,290.000000,20.000000,1,Triassic
787108.341000,6348433.286000,359.056492,100.000000,25.000000,1,Triassic
789065.009882,6348741.776801,240.578578,204.000000,29.000000,1,Triassic
789095.717000,6348625.489000,241.526347,200.000000,13.000000,1,Triassic
789143.154000,6348660.603000,240.827368,245.000000,23.000000,1,Triassic
789722.285000,6348496.595000,301.926427,240.000000,28.000000,1,Triassic
789801.606000,6348536.613000,314.977241,220.000000,42.000000,1,Triassic
789844.359000,6348451.667000,326.286202,237.000000,28.000000,1,Triassic
789791.641000,6348338.695000,346.172781,230.000000,15.000000,1,Triassic
789862.919000,6348550.819000,337.399222,40.000000,20.000000,1,Triassic
791810.820000,6348517.541000,225.016662,150.000000,40.000000,1,Triassic
791535.094612,6349465.078150,305.307894,170.000000,25.000000,1,Triassic
790380.902000,6348530.443000,382.031708,345.000000,25.000000,1,Triassic
790648.417000,6348594.282000,361.850107,218.000000,17.000000,1,Triassic
790932.632896,6349289.786490,257.757844,70.000000,28.000000,1,Triassic
790801.443430,6349526.681654,303.198351,100.000000,25.000000,1,Triassic
790472.636828,6349858.678322,301.969368,15.000000,25.000000,1,Triassic
790328.963297,6349980.036852,324.766417,15.000000,13.000000,1,Triassic
790235.019000,6350127.219000,297.331854,15.000000,13.000000,1,Triassic
789919.015000,6350219.370000,300.726008,345.000000,20.000000,1,Triassic
789850.785000,6350187.286000,298.120136,346.000000,21.000000,1,Triassic
789303.454000,6350033.958000,266.269218,346.000000,20.000000,1,Triassic
790721.838276,6350177.473908,414.074573,344.000000,18.000000,1,Triassic
790798.940000,6350513.085000,383.779044,210.000000,20.000000,1,Triassic
790665.879000,6350435.616000,370.890520,201.000000,25.000000,1,Triassic
790501.005000,6350459.914000,359.115210,201.000000,10.000000,1,Triassic
790372.369000,6350491.577000,357.779977,201.000000,17.000000,1,Triassic
