X,Y,Z,formation
790536.785451,6350049.582497,248.595825,Triassic
790450.754304,6350096.099945,300.505825,Triassic
793904.412095,6347033.900560,-794.933721,Triassic
790905.455442,6350543.030878,405.441695,Triassic
790869.915916,6350368.527403,412.576216,Triassic
786701.195687,6346248.789071,435.286834,Triassic
786922.234000,6351839.735000,393.828972,Triassic
790965.783000,6349224.468000,252.898978,Triassic
791094.028000,6350560.336000,417.092773,Triassic
790419.963000,6348715.440000,333.121762,Triassic
790496.761000,6349829.771000,310.120003,Triassic
789867.565000,6350167.979000,294.372889,Triassic
789830.641000,6350184.083000,297.171747,Triassic
791760.341000,6348513.616000,216.479536,Triassic
789425.749000,6350026.211000,258.595194,Triassic
791263.453000,6350531.699000,404.866132,Triassic
790763.792000,6350585.949000,354.082270,Triassic
791658.064000,6350390.389000,352.115701,Triassic
791478.373000,6350379.869000,378.553655,Triassic
790843.751000,6350557.356000,380.284645,Triassic
790203.755000,6350081.445000,284.650940,Triassic
791491.295000,6348175.104000,237.516251,Triassic
783244.582000,6347303.356000,285.911443,Triassic
782159.371000,6347820.423000,383.202260,Triassic
781833.439000,6347491.553000,312.390252,Triassic
781858.628000,6347520.768000,319.974955,Triassic
786247.669000,6346837.097000,388.044555,Triassic
785686.891000,6346289.865000,277.421806,Triassic
786086.133000,6346477.903000,341.805969,Triassic
784529.303000,6347917.793000,392.885671,Triassic
785859.546000,6346246.570000,289.093957,Triassic
786336.075000,6347001.764000,397.960997,Triassic
783297.204000,6347311.650000,275.063473,Triassic
785535.949000,6345896.804000,228.512532,Triassic
787373.634000,6350839.353000,293.930121,Triassic
787517.374000,6350390.188000,240.402158,Triassic
789870.011000,6350167.524000,294.191288,Triassic
787517.647000,6350277.639000,253.273759,Triassic
787549.687000,6350042.146000,263.890510,Triassic
787400.267000,6350772.827000,286.344702,Triassic
787394.632000,6350776.082000,285.945690,Triassic
789432.463244,6352228.179983,137.823082,Triassic
789598.951094,6352159.551404,82.213082,Triassic
789738.317802,6352102.102532,71.882082,Triassic
786703.543059,6352632.264430,392.686294,Triassic
786009.585630,6352988.807056,609.226294,Triassic
786307.605244,6352835.690033,588.607294,Triassic
786634.047392,6354759.296454,488.433924,Triassic
786881.877710,6354687.992241,457.676924,Triassic
790536.785451,6350049.582497,248.595825,Triassic
790450.754304,6350096.099945,300.505825,Triassic
793904.412095,6347033.900560,-794.933721,Triassic
790905.455442,6350543.030878,405.441695,Triassic
790869.915916,6350368.527403,412.576216,Triassic
786701.195687,6346248.789071,435.286834,Triassic
787644.011666,6354100.439466,152.946215,Triassic
787117.415000,6354533.465000,340.362409,Triassic
786922.234000,6351839.735000,393.828972,Triassic
787204.012000,6354784.787000,318.029812,Triassic
790965.783000,6349224.468000,252.898978,Triassic
791094.028000,6350560.336000,417.092773,Triassic
790419.963000,6348715.440000,333.121762,Triassic
790496.761000,6349829.771000,310.120003,Triassic
789867.565000,6350167.979000,294.372889,Triassic
789830.641000,6350184.083000,297.171747,Triassic
791760.341000,6348513.616000,216.479536,Triassic
789425.749000,6350026.211000,258.595194,Triassic
791263.453000,6350531.699000,404.866132,Triassic
790763.792000,6350585.949000,354.082270,Triassic
791658.064000,6350390.389000,352.115701,Triassic
791478.373000,6350379.869000,378.553655,Triassic
790843.751000,6350557.356000,380.284645,Triassic
790203.755000,6350081.445000,284.650940,Triassic
791491.295000,6348175.104000,237.516251,Triassic
783244.582000,6347303.356000,285.911443,Triassic
782159.371000,6347820.423000,383.202260,Triassic
781833.439000,6347491.553000,312.390252,Triassic
781858.628000,6347520.768000,319.974955,Triassic
786247.669000,6346837.097000,388.044555,Triassic
