X,Y,Z,formation
25.7525401455,1,36.4381350364,l1_left
20.4166308208,1,35.1041577052,l1_left
38.0795814112,1,39.5198953528,l1_left
43.2838711336,1,40.8209677834,l1_left
35.2905766375,1,38.8226441594,l1_left
30.8860214536,1,47.7215053634,l2_left
39.4715020212,1,49.8678755053,l2_left
5.3710106949,1,41.3427526737,l2_left
35.8239829797,1,48.9559957449,l2_left
16.4242557408,1,44.1060639352,l2_left
15.7906580533,1,43.9476645133,l2_left
29.0663022468,1,57.2665755617,l3_left
32.560979006,1,58.1402447515,l3_left
20.5436907791,1,55.1359226948,l3_left
26.434264175,1,56.6085660437,l3_left
67.6822267038,1,35.670556676,l1_left
54.6183292175,1,32.4045823044,l1_left
69.7522072807,1,36.1880518202,l1_left
93.2687778546,1,42.0671944637,l1_left
66.6346764726,1,35.4086691182,l1_left
70.6144736646,1,46.4036184161,l2_left
71.4195865159,1,46.604896629,l2_left
52.8396236458,1,41.9599059114,l2_left
52.8644828387,1,41.9661207097,l2_left
62.0960862696,1,54.2740215674,l3_left
81.448861467,1,59.1122153668,l3_left
70.2009792375,1,56.3002448094,l3_left
59.992115961,1,53.7480289902,l3_left
70.0199044313,1,56.2549761078,l3_left
61.7878511469,1,54.1969627867,l3_left
40,1,60,fault
60,1,20,fault
