X,Y,Z,formation
67.6822267038,1,35.670556676,l1_right
54.6183292175,1,32.4045823044,l1_right
69.7522072807,1,36.1880518202,l1_right
93.2687778546,1,42.0671944637,l1_right
66.6346764726,1,35.4086691182,l1_right
70.6144736646,1,46.4036184161,l2_right
71.4195865159,1,46.604896629,l2_right
52.8396236458,1,41.9599059114,l2_right
52.8644828387,1,41.9661207097,l2_right
62.0960862696,1,54.2740215674,l3_right
81.448861467,1,59.1122153668,l3_right
70.2009792375,1,56.3002448094,l3_right
59.992115961,1,53.7480289902,l3_right
70.0199044313,1,56.2549761078,l3_right
61.7878511469,1,54.1969627867,l3_right
