X,Y,Z,formation
800,50,750,Shale
800,150,700,Shale
800,300,700,Shale
800,500,800,Shale
800,1000,1000,Shale
800,1500,700,Shale
800,1700,600,Shale
800,1950,650,Shale
0,1000,1100,Shale
300,1000,1000,Shale
450,1000,950,Shale
1100,1000,900,Shale
1400,1000,850,Shale
1700,1000,900,Shale
1500,500,800,Shale
1500,1500,750,Shale
800,50,450,Sandstone_1
800,150,400,Sandstone_1
800,300,400,Sandstone_1
800,500,500,Sandstone_1
800,1000,700,Sandstone_1
800,1500,400,Sandstone_1
800,1700,300,Sandstone_1
800,1950,350,Sandstone_1
0,1000,800,Sandstone_1
300,1000,700,Sandstone_1
1100,1000,600,Sandstone_1
1400,1000,550,Sandstone_1
1700,1000,600,Sandstone_1
1500,500,500,Sandstone_1
1500,1500,450,Sandstone_1
900,150,920,Siltstone
900,300,920,Siltstone
900,1500,920,Siltstone
900,1700,820,Siltstone
900,1950,870,Siltstone
0,1000,1300,Siltstone
300,1000,1200,Siltstone
600,1000,1100,Siltstone
1100,1000,1100,Siltstone
1400,1000,1050,Siltstone
1700,1000,1100,Siltstone
1500,500,1000,Siltstone
1500,1500,950,Siltstone
0,1000,1500,Sandstone_2
300,1000,1400,Sandstone_2
600,1000,1300,Sandstone_2
1100,1000,1300,Sandstone_2
1400,1000,1250,Sandstone_2
1700,1000,1300,Sandstone_2
1500,500,1200,Sandstone_2
1500,1500,1150,Sandstone_2
300,300,1500,Carbonate
1700,1700,1600,Carbonate
1000,1000,1300,Carbonate
300,1700,1400,Carbonate
1700,300,1500,Carbonate
700,1000,900,Main_Fault
600,1000,600,Main_Fault
500,1000,300,Main_Fault
800,1000,1200,Main_Fault
900,1000,1500,Main_Fault
