,X,Y,Z,formation,series,formation_number,order_series,isFault,annotations,formation_value
0,500.0,1000.0,1500.0,Sandstone,Strat_Series_1,1,1,False,"${\bf{x}}_{\alpha \,{\bf{1}},0}$",1
1,1500.0,1000.0,1500.0,Sandstone,Strat_Series_1,1,1,False,"${\bf{x}}_{\alpha \,{\bf{1}},1}$",1
2,500.0,1000.0,1400.0,Siltstone,Strat_Series_1,2,1,False,"${\bf{x}}_{\alpha \,{\bf{2}},0}$",2
3,1500.0,1000.0,1400.0,Siltstone,Strat_Series_1,2,1,False,"${\bf{x}}_{\alpha \,{\bf{2}},1}$",2
4,500.0,1000.0,1100.0,Shale,Strat_Series_1,3,1,False,"${\bf{x}}_{\alpha \,{\bf{3}},0}$",3
5,1500.0,1000.0,1100.0,Shale,Strat_Series_1,3,1,False,"${\bf{x}}_{\alpha \,{\bf{3}},1}$",3
6,1000.0,500.0,1000.0,Sandstone2,Strat_Series_2,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},0}$",4
7,1000.0,1500.0,1000.0,Sandstone2,Strat_Series_2,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},1}$",4
8,1000.0,500.0,500.0,Siltstone2,Strat_Series_2,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},0}$",5
9,1000.0,1500.0,500.0,Siltstone2,Strat_Series_2,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},1}$",5
10,1000.0,500.0,100.0,Shale2,Strat_Series_2,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},0}$",6
11,1000.0,1500.0,100.0,Shale2,Strat_Series_2,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},1}$",6
