,X,Y,Z,formation,series,formation_number,order_series,isFault,annotations,formation_value
2,1500.0,1000.0,1500.0,Sandstone,Strat_Series,1,2,False,"${\bf{x}}_{\alpha \,{\bf{1}},0}$",1
3,500.0,1000.0,1500.0,Sandstone,Strat_Series,1,2,False,"${\bf{x}}_{\alpha \,{\bf{1}},1}$",1
10,500.0,1000.0,1300.0,Siltstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},0}$",2
11,1500.0,1000.0,1300.0,Siltstone,Strat_Series,2,2,False,"${\bf{x}}_{\alpha \,{\bf{2}},1}$",2
8,1500.0,1000.0,1200.0,Shale,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},0}$",3
9,500.0,1000.0,1200.0,Shale,Strat_Series,3,2,False,"${\bf{x}}_{\alpha \,{\bf{3}},1}$",3
4,1500.0,1000.0,800.0,Sandstone_2,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},0}$",4
5,500.0,1000.0,800.0,Sandstone_2,Strat_Series,4,2,False,"${\bf{x}}_{\alpha \,{\bf{4}},1}$",4
6,1500.0,1000.0,500.0,Schist,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},0}$",5
7,500.0,1000.0,500.0,Schist,Strat_Series,5,2,False,"${\bf{x}}_{\alpha \,{\bf{5}},1}$",5
0,1500.0,1000.0,10.0,Gneiss,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},0}$",6
1,500.0,1000.0,10.0,Gneiss,Strat_Series,6,2,False,"${\bf{x}}_{\alpha \,{\bf{6}},1}$",6
