x,y,z,formation
25.7525401455,1,36.4381350364,l1_left
20.4166308208,1,35.1041577052,l1_left
38.0795814112,1,39.5198953528,l1_left
43.2838711336,1,40.8209677834,l1_left
35.2905766375,1,38.8226441594,l1_left
30.8860214536,1,47.7215053634,l2_left
39.4715020212,1,49.8678755053,l2_left
5.3710106949,1,41.3427526737,l2_left
35.8239829797,1,48.9559957449,l2_left
16.4242557408,1,44.1060639352,l2_left
15.7906580533,1,43.9476645133,l2_left
29.0663022468,1,57.2665755617,l3_left
32.560979006,1,58.1402447515,l3_left
20.5436907791,1,55.1359226948,l3_left
26.434264175,1,56.6085660437,l3_left
