X,Y,Z,formation,azimuth,dip,polarity
25,0,196,a,90,30,1
25,0,71,b,90,30,1
25,0,96,c,90,30,1
25,0,171,a,90,30,1
25,0,221,b,90,30,1
25,0,171,c,90,30,1
25,0,121,d,90,30,1
25,0,121,d,90,30,1
25,100,196,a,90,30,1
25,100,71,b,90,30,1
25,100,96,c,90,30,1
25,100,171,a,90,30,1
25,100,221,b,90,30,1
25,100,171,c,90,30,1
25,100,121,d,90,30,1
25,100,121,d,90,30,1
25,200,196,a,90,30,1
25,200,71,b,90,30,1
25,200,96,c,90,30,1
25,200,171,a,90,30,1
25,200,221,b,90,30,1
25,200,171,c,90,30,1
25,200,121,d,90,30,1
25,200,121,d,90,30,1
25,300,196,a,90,30,1
25,300,71,b,90,30,1
25,300,96,c,90,30,1
25,300,171,a,90,30,1
25,300,221,b,90,30,1
25,300,171,c,90,30,1
25,300,121,d,90,30,1
25,300,121,d,90,30,1
25,400,196,a,90,30,1
25,400,71,b,90,30,1
25,400,96,c,90,30,1
25,400,171,a,90,30,1
25,400,221,b,90,30,1
25,400,171,c,90,30,1
25,400,121,d,90,30,1
25,400,121,d,90,30,1
