X,Y,Z,formation
603028.0,7524192.027386738,714,A-HAS-xsl-ci
603002.8107701245,7524222.218643794,714,A-HAS-xsl-ci
602806.6686038336,7524445.72098382,818,A-HAS-xsl-ci
603028.0,7524735.570189322,818,P_-HAb-cib
602986.3205895501,7524763.229890565,818,P_-HAb-cib
602764.2875752032,7524878.730545701,818,P_-HAb-cib
513724.60869937006,7463049.581320526,326,P_-HAw-fr
513345.7817911958,7462722.5812877435,379,P_-HAw-fr
513268.08867008076,7462392.590203896,379,P_-HAw-fr
586215.1503305414,7477598.810325939,695,A-FO-od
585678.5606940424,7477420.298430329,695,A-FO-od
585487.2987202321,7477300.809781376,695,A-FO-od
586566.4808626763,7470142.210636269,650,A-FO-od
585087.3484959436,7470846.220210617,650,A-FO-od
585195.6511107306,7470835.709101377,650,A-FO-od
584915.5296730305,7477301.808820454,702,A-FO-od
584516.9158295239,7455348.0,670,A-FO-od
584502.0186973799,7455410.499651682,670,A-FO-od
584394.7107132408,7455701.9998933785,670,A-FO-od
583541.9399547883,7461443.629520047,763,A-FO-od
588284.0667166669,7455348.0,638,A-FO-od
588250.6288905913,7455405.581555307,638,A-FO-od
588074.7585749356,7455590.080491705,653,A-FO-od
598337.4991434681,7460809.769801652,725,A-FO-od
598159.4094579751,7460810.769631481,725,A-FO-od
597943.7996388472,7460926.258745978,725,A-FO-od
599106.1996965742,7461995.790331968,825,A-FO-od
582412.9031911627,7455348.0,616,A-FO-xo-a
582375.648753848,7455449.948413674,616,A-FO-xo-a
582250.5703206798,7455684.947198518,616,A-FO-xo-a
581984.3013319074,7466894.258762884,790,A-FO-xo-a
584310.5019610703,7470919.7089724075,654,A-FO-xo-a
584266.4291959535,7470772.712692838,654,A-FO-xo-a
584163.8894817455,7470503.71870485,654,A-FO-xo-a
581174.7102079261,7461125.591781959,680,A-FO-xo-a
539325.9803102695,7464356.7285363395,417,A-FO-od
539731.0504567224,7464324.231798124,417,A-FO-od
540047.7281529432,7464348.229473276,417,A-FO-od
542216.2497095313,7462313.639879284,442,A-FO-od
542521.6095566378,7462359.652523942,442,A-FO-od
542527.889604034,7462360.642610695,442,A-FO-od
542799.8103903356,7462027.129663639,423,A-FO-od
542780.7597677525,7462027.642235292,423,A-FO-od
542748.950508746,7462015.1283577755,423,A-FO-od
519650.2790171711,7463114.608826831,389,P_-HAj-xci-od
519580.2010174439,7463096.099768322,369,P_-HAj-xci-od
519516.5839039451,7463077.097089922,369,P_-HAj-xci-od
519030.03022154584,7463741.600600982,369,P_-HAw-fr
518979.1215751424,7463735.59066548,369,P_-HAw-fr
518934.59028314997,7463723.091260551,369,P_-HAw-fr
513444.63034618687,7471359.021746883,361,A-FOj-xs-b
514691.37058624346,7471004.041692011,345,A-FOj-xs-b
514835.46028451336,7470963.0409490075,345,A-FOj-xs-b
537474.4778734816,7461838.230796434,394,A-FOj-xs-b
526740.6189479487,7458570.990089027,422,A-FOj-xs-b
543624.1596563796,7464199.7496849075,427,A-FO-od
544209.24034623,7464196.750915734,434,A-FO-od
544806.9204884993,7464167.760070588,436,A-FO-od
553729.4014415285,7465563.86953228,512,A-FO-od
554280.689074936,7466015.871220347,494,A-FO-od
554607.4612152933,7466291.367713906,495,A-FO-od
603028.0,7464232.542284071,702,A-FO-od
602754.2408188843,7464165.351844235,702,A-FO-od
602397.6312493972,7464065.3480022885,702,A-FO-od
603028.0,7480464.122336242,654,A-FOo-bbo
602761.9699692104,7480465.4290857,654,A-FOo-bbo
602228.0399208779,7480538.419499013,652,A-FOo-bbo
591227.9207444034,7478255.919957563,665,A-FOo-bbo
588107.7304596676,7474714.771979224,698,A-FOo-bbo
513724.60869937006,7463049.581320526,326,P_-HAo-ci
513630.4003592569,7463395.078958774,326,P_-HAo-ci
512996.13861400966,7463111.070643317,322,P_-HAo-ci
519650.2790171711,7463114.608826831,389,P_-HAo-ci
519346.6385613695,7463447.101899501,369,P_-HAo-ci
514279.9684602305,7463844.069112472,332,P_-HAo-ci
519030.03022154584,7463741.600600982,369,P_-HAo-ci
518675.8886312226,7463887.082238508,364,P_-HAo-ci
518292.34857943666,7463834.578706267,364,P_-HAo-ci
517054.8819689969,7461633.090052418,458,P_-HAo-ci
517187.71885291307,7461492.1016292125,458,P_-HAo-ci
517396.2506426134,7461211.09092061,371,P_-HAo-ci
514218.0091572693,7461514.580906291,379,P_-HAo-ci
513929.3391824886,7462324.589140549,344,P_-HAo-ci
513734.2921198576,7463014.089184552,326,P_-HAo-ci
500485.43861836864,7473553.302206572,418,P_-HAo-ci
501907.41864752944,7473117.258932762,459,P_-HAo-ci
503127.1908015696,7472683.242520288,392,P_-HAo-ci
516212.73930334416,7466392.04028178,429,P_-HAo-ci
522245.4513024165,7463215.079797499,414,P_-HAo-ci
591812.0994172669,7470048.781367264,729,A-FO-od
592823.7305614349,7470144.799538219,661,A-FO-od
592836.3588879221,7470132.2897434635,661,A-FO-od
597434.7909502889,7466230.7804652285,673,A-FO-od
598965.8498850334,7465898.300090242,729,A-FO-od
593731.1792548397,7467065.799203923,678,A-FO-od
507327.5618185134,7472855.819046294,483,P_-HAj-xci-od
507448.2911605155,7472842.332321076,483,P_-HAj-xci-od
507689.77976032905,7472802.850124986,483,P_-HAj-xci-od
520182.8698512661,7465441.079420331,535,P_-HAj-xci-od
603028.0,7457371.152815831,735,A-FO-od
602874.7004607121,7457411.85119677,735,A-FO-od
602570.3179992593,7457604.337322356,735,A-FO-od
592412.1599915281,7458506.1713125305,707,A-FO-od
588210.5894098395,7462945.669884549,632,A-FO-od
590298.611936831,7470063.251807937,686,A-FO-od
590296.3507573118,7469579.259844324,686,A-FO-od
590319.7590539743,7469159.248445241,686,A-FO-od
592083.3776066224,7461569.188593544,638,A-FO-od
600864.2479103595,7459917.820518106,678,A-FO-od
595340.7799746467,7475216.880804047,671,A-FOh-xs-f
595213.529455565,7475210.879687408,665,A-FOh-xs-f
595111.7885939284,7475211.379245181,665,A-FOh-xs-f
596068.3597537577,7470420.308208789,676,A-FOh-xs-f
603028.0,7474464.745155728,629,A-FOh-xs-f
602892.4896083116,7474513.941612745,629,A-FOh-xs-f
602206.429235176,7474682.929089919,638,A-FOh-xs-f
603028.0,7479884.981484563,647,A-FOh-xs-f
602714.5916561029,7479886.47269973,647,A-FOh-xs-f
602421.550830509,7479786.471956572,647,A-FOh-xs-f
601191.1986211058,7476502.491819728,637,A-FOh-xs-f
537833.3904954605,7468177.289147348,430,A-FOr-b
538232.7009981057,7468461.802220173,424,A-FOr-b
538532.2619127387,7468606.3092806265,425,A-FOr-b
535417.4102298805,7467541.258461762,426,A-FOr-b
535436.6282413804,7467566.748302108,426,A-FOr-b
535487.909105098,7467642.749813048,426,A-FOr-b
572398.7317076109,7463802.07013879,616,A-FO-od
572590.5721746184,7464023.580845814,609,A-FO-od
572890.410159161,7464225.600131085,609,A-FO-od
571873.7719448892,7464415.602689202,611,A-FO-od
567029.4903145155,7463449.059848393,597,A-FO-od
577343.2703954676,7471190.4095207285,773,A-FO-od
577322.7586995307,7470891.417871604,735,A-FO-od
576293.7126109743,7470941.417232836,702,A-FO-od
573221.6502126819,7463008.018767664,624,A-FO-od
563537.4288395394,7464612.930363389,571,A-FO-od
562578.9692670155,7466336.871298195,553,A-FO-od
574882.6482948684,7468619.3995971475,691,A-FO-od
572731.7492816262,7474970.480758823,724,A-FO-od
573611.4220105993,7478084.510423536,686,A-FO-od
574858.5182569094,7474220.4583360795,731,A-FO-od
541784.1991629873,7466524.819316229,415,A-FO-xo-a
541361.0698571911,7466524.819998684,415,A-FO-xo-a
541281.718481272,7466656.82967098,428,A-FO-xo-a
549252.8501302499,7474996.208407242,463,A-FO-xo-a
603028.0,7470668.840437475,596,A-mgn-PMI
602474.4519557892,7470849.860168424,596,A-mgn-PMI
601274.1584664474,7471206.351013604,599,A-mgn-PMI
585087.3484959436,7470846.220210617,650,A-FO-xo-a
585045.5287159462,7470772.711728618,650,A-FO-xo-a
584946.1592003945,7470518.710315598,650,A-FO-xo-a
584277.7014667593,7478010.8199016005,699,A-FO-xo-a
583620.3425255335,7477800.309746809,696,A-FO-xo-a
583252.2303709611,7477642.301564602,696,A-FO-xo-a
585008.3989730468,7471329.210705968,664,A-FO-xo-a
584586.0181435575,7470893.219486663,654,A-FO-xo-a
584618.8686765437,7471106.708410174,664,A-FO-xo-a
584693.080153834,7471459.221613618,664,A-FO-xo-a
584002.1088807982,7467265.229287014,664,A-FO-xo-a
583963.9595565788,7467265.228402733,664,A-FO-xo-a
583906.7997659049,7467290.738626571,664,A-FO-xo-a
603028.0,7496894.153043226,723,A-FO-od
602860.2089176927,7496994.299527125,723,A-FO-od
602634.699495102,7497208.799121786,723,A-FO-od
571815.711452303,7470914.921241493,1014,A-HAd-kd
571905.4074547683,7470409.900666153,1014,A-HAd-kd
572143.3987330485,7470039.908545349,777,A-HAd-kd
560611.5500428514,7470303.831283461,635,A-HAd-kd
584915.5296730305,7477301.808820454,702,A-FO-xo-a
584878.4817437611,7477079.289463075,689,A-FO-xo-a
584841.3518879428,7476875.28086935,689,A-FO-xo-a
585920.2913447754,7470811.718264317,648,A-FO-xo-a
585500.8400800697,7470825.709869323,648,A-FO-xo-a
585527.7586146761,7471013.70860989,654,A-FO-xo-a
585601.9705202881,7471440.719503624,654,A-FO-xo-a
603028.0,7481171.0362721225,658,A-FOp-bs
602663.5308381594,7481146.888720653,658,A-FOp-bs
601868.3782811345,7481125.880139528,654,A-FOp-bs
528876.5314906028,7469505.347801838,439,A-mgn-PRK
528979.149501787,7469682.838905718,439,A-mgn-PRK
529164.7174623456,7469917.3316405825,439,A-mgn-PRK
528281.030408922,7471303.348550103,428,A-mgn-PRK
544669.6196843408,7473027.5583890965,459,A-mgn-PRK
544526.8200877941,7473060.061323328,459,A-mgn-PRK
543976.2304307839,7473023.0415782835,460,A-mgn-PRK
