X,Y,Z,azimuth,dip,polarity,formation
530083.1853321539,7485329.520625224,415,8,55,1,A-FOh-xs-f
532466.0586118693,7483851.537509387,419,10,40,1,A-FOh-xs-f
504669.3230735423,7461016.86484253,299,181,70,1,P_-WYm-sp
503404.33193433576,7460230.336055614,298,182,45,1,P_-WYd-kd
517319.47983765445,7458551.539931033,338,199,10,1,P_-SKq-stq
516865.3849028363,7458957.04590488,333,227,45,1,P_-TK-s
515438.1815205008,7463725.081268248,353,359,44,1,P_-HAj-xci-od
507945.2849673012,7467495.909622293,437,203,58,1,P_-TKk-sf
503517.6591896642,7466603.797579262,410,0,60,1,P_-TKk-sf
503809.7052735864,7463489.819689126,296,3,68,1,P_-SKq-stq
502536.4299599883,7468201.274627255,460,213,16,1,P_-SKq-stq
502536.41908570274,7469579.769568286,361,186,12,1,P_-SKq-stq
503306.7931686398,7465431.798659263,311,360,82,1,P_-TKk-sf
507187.87694126955,7468501.372442812,332,216,10,1,P_-SKq-stq
517107.03367644735,7468722.02834858,371,207,70,1,A-FOj-xs-b
517762.2141241012,7470058.525651742,374,207,51,1,A-FOu-bbo
522004.8079015461,7478030.914453515,389,273,30,1,A-FOh-xs-f
513032.89981243,7482922.32860626,442,318,15,1,A-FOp-bs
507595.3381617991,7487654.271563679,568,317,15,1,A-FOj-xs-b
522302.81664572016,7500351.485759936,593,343,29,1,A-HAS-xsl-ci
506680.48013113026,7502449.32616411,477,356,28,1,P_-TK-s
521831.6480109566,7509302.018274232,569,185,52,1,P_-HAb-cib
512448.4070340338,7509767.889683803,532,198,52,1,A-HAm-cib
515006.8389949187,7524809.562893802,537,77,8,1,A-FOu-bbo
510218.91280064336,7523642.403164269,533,16,20,1,A-FOu-bbo
518496.74124703347,7528507.376407649,520,20,16,1,A-FOj-xs-b
519668.72852146905,7529597.324577422,531,11,20,1,A-FOj-xs-b
521996.558791305,7530796.777772758,564,19,14,1,A-FOj-xs-b
519044.0420902803,7542042.5077853,811,354,10,1,P_-HAb-cib
540050.8677850378,7529734.443701863,593,12,9,1,A-FOj-xs-b
542044.7288873353,7531755.560329944,571,14,5,1,A-HAm-cib
538856.7223174372,7532188.570002678,568,55,14,1,A-HAm-cib
533510.5209025822,7532566.044778457,584,223,8,1,A-HAm-cib
531631.7286491926,7530681.940549847,570,338,37,1,A-FOj-xs-b
531127.7730774952,7532018.492116442,564,313,20,1,A-HAm-cib
530421.174133556,7530013.39441378,591,324,15,1,A-FOj-xs-b
526028.0984672657,7531015.837929202,554,27,18,1,A-HAm-cib
534995.0696720817,7527597.8656731285,573,349,14,1,A-FOj-xs-b
538013.208028096,7522087.242238302,592,180,33,1,A-HAm-cib
529878.8897890088,7517250.210463801,610,211,24,1,A-HAS-xsl-ci
536605.437990973,7516554.729654664,808,349,25,1,P_-HAb-cib
536725.9962609437,7516341.227866443,775,201,54,1,P_-HAb-cib
537098.4336520118,7516636.726383291,808,33,19,1,P_-HAb-cib
535718.0192939468,7512484.71788707,671,203,32,1,P_-HAb-cib
538686.8338592579,7511718.192543137,677,191,9,1,P_-HAb-cib
540927.0566014647,7507144.158193491,636,317,26,1,P_-HAb-cib
528563.8243242422,7500587.056688895,558,290,41,1,A-HAm-cib
535208.2906030525,7498960.609239595,524,355,40,1,A-FOu-bbo
542701.7453036447,7483245.181959859,498,14,35,1,A-FOh-xs-f
525682.6824123928,7481645.466491665,404,331,20,1,A-FOh-xs-f
524499.5760284126,7473215.380101102,383,242,27,1,A-FOh-xs-f
528492.836790111,7469545.352412701,439,211,24,1,A-FOh-xs-f
540587.4617364311,7470218.887120979,435,147,60,1,A-b-PRK
543008.6085797194,7470251.9490449205,456,125,15,1,A-FOh-xs-f
540784.7311849125,7464544.231918607,408,183,40,1,A-FOp-bs
536199.9580387827,7467392.249213792,430,182,45,1,A-FOh-xs-f
529500.7380257527,7466242.373478049,490,203,58,1,A-FOp-bs
530240.2253702529,7460266.447569112,475,341,45,1,A-FOj-xs-b
522675.5441267315,7459527.049683781,414,3,36,1,A-FOj-xs-b
549346.2548337711,7460972.560690476,563,11,15,1,A-FO-od
545084.6058909879,7475582.124478026,458,76,35,1,A-FOh-xs-f
549247.6052133363,7474382.194173271,460,75,10,1,A-FO-xo-a
547604.2502442132,7479558.711700818,482,49,25,1,A-FOh-xs-f
545698.0803816193,7478003.172282606,463,68,15,1,A-FOh-xs-f
550491.0057451132,7482012.754560061,524,30,46,1,A-FOp-bs
553646.14983175,7482642.772855703,504,30,40,1,A-FOu-bbo
555431.8322593918,7486296.281400428,539,22,50,1,P_-HAo-ci
554774.5212544654,7485480.277666663,532,24,70,1,P_-HAj-xci-od
544268.3481721996,7484998.20256854,544,19,50,1,A-FOp-bs
559041.5638555064,7491264.804765273,603,168,48,1,P_-HAj-xci-od
554166.4753466723,7496802.237473606,556,168,35,1,A-FOj-xs-b
545418.6362943831,7494551.15340966,513,182,15,1,A-FOj-xs-b
560728.700265158,7497717.260855717,614,186,10,1,A-FO-od
562525.4350656049,7506596.343810065,731,250,11,1,A-FOu-bbo
544783.4545960588,7514188.158635112,852,80,35,1,A-HAS-xsl-ci
544569.8257147677,7513963.659081055,852,220,33,1,A-HAS-xsl-ci
547193.675405852,7515968.649679823,995,307,28,1,A-HAd-kd
547566.130419691,7513739.138557805,634,5,34,1,A-HAd-kd
554791.1651766305,7515015.637631467,637,330,15,1,A-FOj-xs-b
548617.8866388508,7517020.140976258,827,172,25,1,A-HAS-xsl-ci
548338.5407104825,7531498.098746012,587,192,5,1,A-HAm-cib
547385.416583479,7530901.072592756,596,19,15,1,A-HAm-cib
546295.4105379576,7532604.629010826,585,10,10,1,A-HAm-cib
547505.9686688377,7536844.754766093,703,43,24,1,P_-HAb-cib
553608.0573693756,7538142.808482063,657,46,20,1,P_-HAb-cib
552841.2690654509,7546671.423356638,583,34,10,1,P_-HAb-cib
571120.6228392244,7560759.886930016,450,135,6,1,A-HAd-kd
573333.3134094238,7547958.775480569,697,206,14,1,P_-HAb-cib
568699.0559527974,7537244.204769069,637,21,32,1,P_-HAb-cib
570473.7697480624,7530572.664886281,594,316,2,1,A-HAm-cib
570632.369051563,7510869.567648041,638,201,20,1,A-FOp-bs
567997.5259216769,7495674.383570734,632,88,42,1,A-HAS-xsl-ci
575052.8033559521,7498533.530641524,800,212,10,1,A-FOu-bbo
583247.2834434707,7491845.564397328,822,226,15,1,A-FOj-xs-b
574022.9605266358,7481717.528795866,717,25,12,1,P_-HAb-cib
573590.2007864462,7483267.530040545,648,227,84,1,P_-HAb-cib
576340.0421524292,7471364.424422454,717,255,18,1,A-FO-od
578295.5547816583,7470427.872682898,726,262,42,1,A-FOj-xs-b
583959.6105763227,7468822.725470194,708,303,14,1,A-FOp-bs
590500.0041506198,7468483.257624811,686,263,10,1,A-FOh-xs-f
597012.981037416,7466576.785633005,649,208,10,1,A-FOh-xs-f
593238.7775204069,7471397.296225278,679,204,30,1,A-FOh-xs-f
589848.0403708396,7473982.784107379,675,253,30,1,A-FOh-xs-f
592033.6226930869,7474431.825382793,643,301,5,1,A-FOh-xs-f
590450.5487317103,7475839.335637633,767,321,35,1,A-FOh-xs-f
595944.6517059241,7475773.9039118625,671,349,15,1,A-FOh-xs-f
595435.3146571477,7474700.366678068,671,210,80,1,A-s-PMI
595495.620104978,7473500.831305789,632,182,35,1,A-s-PMI
595807.834785128,7473160.823666073,632,5,20,1,A-mgn-PMI
597001.7880086909,7477050.454204635,642,195,60,1,A-FOh-xs-f
586583.2886854559,7480380.3741331715,754,345,60,1,A-FOj-xs-b
589041.9744019026,7487875.013423597,852,221,14,1,A-FOj-xs-b
584896.9162819948,7487009.018973157,742,219,8,1,A-FO-od
600651.950694051,7500026.852368093,724,65,8,1,A-FOj-xs-b
591851.3855239865,7504229.087508246,714,78,9,1,A-FOu-bbo
593940.1707804273,7506536.0770748565,689,69,12,1,A-FOu-bbo
591286.2022525546,7528946.244892247,626,88,4,1,A-FOj-xs-b
592952.9806585218,7529305.730259028,665,72,10,1,A-FOj-xs-b
503356.6984616453,7533181.013372352,485,247,20,1,A-HAm-cib
523580.6783817719,7543711.048984814,658,22,40,1,P_-HAb-cib
507893.2889237558,7457420.4200919615,293,16,25,1,P_-WYa-st
528895.9077970956,7474619.824549109,409,0,45,1,A-mgn-PRK
539048.9163065158,7481208.230567922,501,0,45,1,A-s-PRK
528895.9077970956,7474619.824549109,409,0,45,1,A-mgn-PRK
539048.9163065158,7481208.230567922,501,0,45,1,A-s-PRK
