X,Y,Z,formation
800,50,750,Shale
800,150,700,Shale
800,300,700,Shale
800,500,800,Shale
800,1000,1000,Shale
800,1500,700,Shale
800,1700,600,Shale
800,1950,650,Shale
0,1000,1100,Shale
300,1000,1000,Shale
450,1000,950,Shale
1100,1000,900,Shale
1400,1000,850,Shale
1700,1000,900,Shale
1500,500,800,Shale
1500,1500,750,Shale
800,50,450,Sandstone
800,150,400,Sandstone
800,300,400,Sandstone
800,500,500,Sandstone
800,1000,700,Sandstone
800,1500,400,Sandstone
800,1700,300,Sandstone
800,1950,350,Sandstone
0,1000,800,Sandstone
300,1000,700,Sandstone
1100,1000,600,Sandstone
1400,1000,550,Sandstone
1700,1000,600,Sandstone
1500,500,500,Sandstone
1500,1500,450,Sandstone
900,150,920,Sandstone2
900,300,920,Sandstone2
900,1500,920,Sandstone2
900,1700,820,Sandstone2
900,1950,870,Sandstone2
0,1000,1300,Sandstone2
300,1000,1200,Sandstone2
600,1000,1100,Sandstone2
1100,1000,1100,Sandstone2
1400,1000,1050,Sandstone2
1700,1000,1100,Sandstone2
1500,500,1000,Sandstone2
1500,1500,950,Sandstone2
0,1000,1500,Overlying
300,1000,1400,Overlying
600,1000,1300,Overlying
1100,1000,1300,Overlying
1400,1000,1250,Overlying
1700,1000,1300,Overlying
1500,500,1200,Overlying
1500,1500,1150,Overlying
700,1000,900,NormalFault
600,1000,600,NormalFault
500,1000,300,NormalFault
800,1000,1200,NormalFault
900,1000,1500,NormalFault
733,250,800,NormalFault
733,1750,800,NormalFault
