X,Y,Z,azimuth,dip,polarity,formation
739426.627684,6891935.451484,75.422691,220,70,1,SimpleBIF
717311.112372,6891940.971393,-1497.488309,90,60,1,SimpleBIF
723415.321182,6891939.447817,-5298.154309,10,20,1,SimpleMafic1
742907.686575,6891934.582632,-2786.869309,250,60,1,SimpleMafic1
712584.536312,6891942.15112,-582.769334,90.014,60,1,SimpleMafic1
724309.279198,6905712.031145,-3763.862995,90,50,1,SimpleMafic1
728653.933257,6905714.891064,-4196.807995,269.962,9.09,1,SimpleMafic1
732788.182361,6905717.612482,-1680.306995,269.962,60,1,SimpleMafic1
727261.874621,6877214.496202,-5666.992176,360,20,1,SimpleMafic1
718902.531298,6900478.748653,-1882.895297,83.123,20.726,1,SimpleMafic1
733335.732778,6903150.931884,-1538.629297,255.407,51.633,1,SimpleMafic1
730820.452963,6902599.428688,-3825.776297,258.709,21.801,1,SimpleMafic1
725461.656,6915002,510.686328,103.095,60,1,SimpleMafic1
726102.312,6917775.5,499.040304,0,-60,1,SimpleMafic1
727390.156,6913486.75,517.569243,71.561,-60,1,SimpleMafic1
743403.6875,6877878.25,454.749952,169.802194,80,1,EarlyGranite
738704.4065,6877046,458.14874,170.056246,80,1,EarlyGranite
735326.7815,6875283.75,452.966456,114.812185,80,1,EarlyGranite
734151.969,6874304.75,448.179887,206.518042,80,1,EarlyGranite
734200.938,6875724.5,461.985804,299.406115,80,1,EarlyGranite
735082.063,6879102.25,480.551436,276.153239,80,1,EarlyGranite
734592.563,6882039.25,487.287083,223.053093,80,1,EarlyGranite
732683.469,6882332.75,481.711952,161.600709,80,1,EarlyGranite
730627.5315,6880472.5,477.402658,120.986348,80,1,EarlyGranite
728767.4065,6878759.25,470.031623,165.980598,80,1,EarlyGranite
728571.594,6879934.25,472.536776,298.870347,80,1,EarlyGranite
729256.9065,6882724.5,471.722924,265.872737,80,1,EarlyGranite
727739.4375,6884242,474.258726,185.941204,80,1,EarlyGranite
724802.4065,6883312,473.707869,144.627207,80,1,EarlyGranite
722403.813,6880913.25,470.707065,123.702047,80,1,EarlyGranite
721229.0005,6880766.25,477.680894,255.876557,80,1,EarlyGranite
720690.563,6882822.25,489.909423,254.444427,80,1,EarlyGranite
718928.344,6883605.5,509.462245,176.274084,80,1,EarlyGranite
715991.2815,6882773.25,505.165864,152.654159,80,1,EarlyGranite
712907.3755,6880766.25,512.582136,142.596411,80,1,EarlyGranite
710459.844,6880521.5,511.839758,232.658556,80,1,EarlyGranite
709970.344,6882724.5,532.967915,283.997896,80,1,EarlyGranite
709089.2505,6883312,519.457428,153.495937,80,1,EarlyGranite
705858.5005,6880032.25,494.307044,127.40325,80,1,EarlyGranite
701844.5315,6875137.25,476.658525,131.656118,80,1,EarlyGranite
698466.9375,6871074.25,463.972201,127.377257,80,1,EarlyGranite
