,X,Y,Z,formation
2,0.0,50.0,0.0,Layer2
3,0.0,25.0,0.0,Layer3
5,0.0,59.0,0.0,Layer5
8,10.0,35.0,0.0,Layer3
10,10.0,61.0,0.0,Layer5
13,20.0,43.0,0.0,Layer3
15,20.0,64.0,0.0,Layer5
18,30.0,47.0,0.0,Layer3
20,30.0,67.0,0.0,Layer5
23,40.0,48.0,0.0,Layer3
25,40.0,70.0,0.0,Layer5
28,50.0,43.0,0.0,Layer3
30,50.0,73.0,0.0,Layer5
32,60.0,61.0,0.0,Layer2
33,60.0,35.0,0.0,Layer3
35,60.0,75.0,0.0,Layer5
37,70.0,51.0,0.0,Layer2
38,70.0,26.0,0.0,Layer3
40,70.0,78.0,0.0,Layer5
41,80.0,53.0,0.0,Layer1
42,80.0,41.0,0.0,Layer2
43,80.0,16.0,0.0,Layer3
45,80.0,81.0,0.0,Layer5
46,90.0,44.0,0.0,Layer1
47,90.0,33.0,0.0,Layer2
48,90.0,8.0,0.0,Layer3
50,90.0,84.0,0.0,Layer5
51,100.0,40.0,0.0,Layer1
52,100.0,28.0,0.0,Layer2
53,100.0,3.0,0.0,Layer3
55,100.0,87.0,0.0,Layer5
56,110.0,39.0,0.0,Layer1
57,110.0,27.0,0.0,Layer2
58,110.0,2.0,0.0,Layer3
60,110.0,89.0,0.0,Layer5
61,120.0,43.0,0.0,Layer1
62,120.0,31.0,0.0,Layer2
63,120.0,6.0,0.0,Layer3
65,120.0,92.0,0.0,Layer5
66,130.0,51.0,0.0,Layer1
67,130.0,39.0,0.0,Layer2
68,130.0,14.0,0.0,Layer3
70,130.0,95.0,0.0,Layer5
7,10.0,60.0,0.0,Layer2
27,50.0,69.0,0.0,Layer2
31,60.0,72.0,0.0,Layer1
36,70.0,63.0,0.0,Layer1
4,0.0,0.0,0.0,Layer4
9,10.0,0.0,0.0,Layer4
14,20.0,0.0,0.0,Layer4
19,30.0,0.0,0.0,Layer4
24,40.0,0.0,0.0,Layer4
29,50.0,0.0,0.0,Layer4
34,60.0,0.0,0.0,Layer4
39,70.0,0.0,0.0,Layer4
44,80.0,0.0,0.0,Layer4
49,90.0,0.0,0.0,Layer4
54,100.0,0.0,0.0,Layer4
59,110.0,0.0,0.0,Layer4
64,120.0,0.0,0.0,Layer4
69,130.0,0.0,0.0,Layer4
