X,Y,Z,azimuth,dip,polarity,formation,IDs
150,1000,-450,90,18.435,1,Reservoir,
150,1000,-750,90,18.435,1,Reservoir,
150,1000,-1150,90,18.435,1,Reservoir,
850,1000,-1450,90,18.435,1,Reservoir,
917.45,1000,-1135.398,270,71.565,1,MainFault,
950,1000,-450,90,18.435,1,Reservoir,
950,1000,-1450,90,18.435,1,Reservoir,
1450,1000,-1150,90,18.435,1,Reservoir,
1450,1000,-450,90,18.435,1,Reservoir,
1450,1000,-1450,90,18.435,1,Reservoir,
1650,1000,-450,90,18.435,1,Reservoir,
1950,1000,-1250,90,18.435,1,Reservoir,
1950,1000,-1550,90,18.435,1,Reservoir,
500,1900,-500,0,10,1,Reservoir,
500,1900,-1500,0,10,1,Reservoir,
1500,1900,-500,0,10,1,Reservoir,
1500,1900,-1500,0,10,1,Reservoir,
1500,100,-500,180,10,1,Reservoir,
1500,100,-1500,180,10,1,Reservoir,
500,100,-500,180,10,1,Reservoir,
500,100,-1500,180,10,1,Reservoir,
