X,Y,Z,formation,ID
1000,100,-1100,Reservoir,Front
1000,100,-600,SecondaryReservoir,Front
1000,100,-700,Seal,Front
1000,100,-1300,Overlying,Front
600,1000,-1050,Reservoir,
300,1000,-950,Reservoir,
1900,1000,-1300,Reservoir,
1600,1000,-1200,Reservoir,
1300,1000,-1100,Reservoir,
900,1000,-650,SecondaryReservoir,
600,1000,-550,SecondaryReservoir,
300,1000,-450,SecondaryReservoir,
1300,1000,-600,SecondaryReservoir,
1600,1000,-700,SecondaryReservoir,
1900,1000,-800,SecondaryReservoir,
900,1000,-750,Seal,
600,1000,-650,Seal,
1300,1000,-700,Seal,
1600,1000,-800,Seal,
1900,1000,-900,Seal,
600,1000,-1350,Overlying,
300,1000,-1250,Overlying,
1900,1000,-1600,Overlying,
1300,1000,-1400,Overlying,
1600,1000,-1500,Overlying,
1000,1000,-1300,Overlying,
1000,1000,-1000,MainFault,
900,1000,-1300,MainFault,
1100,1000,-700,MainFault,
1200,1000,-400,MainFault,
800,1000,-1600,MainFault,
1000,1900,-1100,Reservoir,Back
1000,1900,-600,SecondaryReservoir,Back
1000,1900,-700,Seal,Back
1000,1900,-1300,Overlying,Back
