X,Y,Z,formation
735484.817806,6891936.435338,-1819.319309,SimpleMafic2
729854.915982,6891937.84053,-1432.263309,SimpleMafic2
724084.267161,6891939.280852,-4739.830309,SimpleMafic2
733521.625,6895282.5,521.55524,SimpleMafic2
721933.375,6884591.5,496.669295,SimpleMafic2
724251,6886909,484.550926,SimpleMafic2
727316.313,6886460.5,478.254423,SimpleMafic2
729858.25,6887133.5,484.259574,SimpleMafic2
732699.25,6885040,494.526481,SimpleMafic2
716849.5,6887358,508.981894,SimpleMafic2
719017.625,6892217.5,508.179387,SimpleMafic2
739179.440691,6891935.513181,-552.591309,SimpleBIF
735564.599804,6891936.415425,-2652.196309,SimpleBIF
730009.009977,6891937.802069,-2088.409309,SimpleBIF
718795.791326,6891940.600826,-2773.169309,SimpleBIF
724143.38616,6891939.266096,-5569.907309,SimpleBIF
723877.188,6899768.5,529.152169,SimpleBIF
732998.313,6898049,521.619609,SimpleBIF
743689.438,6891769,512.811278,SimpleBIF
712961.813,6882722.5,547.826016,SimpleBIF
716284.875,6891346.5,515.58686,SimpleBIF
718942.875,6897600.5,538.490136,SimpleBIF
722157.625,6882947,481.747055,SimpleBIF
723952,6885488.5,480.122832,SimpleBIF
728736.813,6885488.5,477.929009,SimpleBIF
738829.813,6878087,470.081431,SimpleBIF
715522.708428,6891941.417769,-2810.185309,SimpleMafic1
722100.017223,6891939.77611,-5640.110309,SimpleMafic1
728133.723035,6891938.27013,-8458.173309,SimpleMafic1
733022.378883,6891937.049949,-7358.592309,SimpleMafic1
737972.021729,6891935.814546,-5589.549309,SimpleMafic1
726443.009736,6905713.435698,-5023.656995,SimpleMafic1
727109.335202,6886862.614432,-6720.406176,SimpleMafic1
726266.236469,6901753.815655,-5708.065297,SimpleMafic1
732617.810926,6902964.017319,-3068.116297,SimpleMafic1
709728.25,6885850.5,532.936577,SimpleMafic1
714271.063,6897386,536.831254,SimpleMafic1
722693.188,6907492.5,555.452867,SimpleMafic1
725092.188,6913005,514.864987,SimpleMafic1
744692.688,6890291,496.019711,SimpleMafic1
738924.813,6900193.5,551.633725,SimpleMafic1
729430.813,6908717.5,517.178069,SimpleMafic1
726929.75,6916017,502.161614,SimpleMafic1
745312.75,6878221,452.733051,EarlyGranite
741494.625,6877535.5,460.20235,EarlyGranite
735914.188,6876556.5,456.482389,EarlyGranite
734739.375,6874011,446.031913,EarlyGranite
733564.563,6874598.5,452.620638,EarlyGranite
734837.313,6876850.5,469.89565,EarlyGranite
735326.813,6881354,492.347775,EarlyGranite
733858.313,6882724.5,486.360734,EarlyGranite
731508.625,6881941,476.162317,EarlyGranite
729746.438,6879004,468.440123,EarlyGranite
727788.375,6878514.5,465.162276,EarlyGranite
729354.813,6881354,469.466421,EarlyGranite
729159,6884095,480.639992,EarlyGranite
726319.875,6884389,472.411447,EarlyGranite
723284.938,6882235,475.413461,EarlyGranite
721522.688,6879591.5,471.253042,EarlyGranite
720935.313,6881941,492.156175,EarlyGranite
720445.813,6883703.5,498.30804,EarlyGranite
717410.875,6883507.5,507.584619,EarlyGranite
714571.688,6882039,506.534612,EarlyGranite
711243.063,6879493.5,505.437117,EarlyGranite
709676.625,6881549.5,515.202397,EarlyGranite
710264.063,6883899.5,524.055665,EarlyGranite
707914.438,6882724.5,507.245636,EarlyGranite
703802.563,6877340,483.052807,EarlyGranite
699886.5,6872934.5,470.146586,EarlyGranite
697047.375,6869214,456.299059,EarlyGranite
