X,Y,Z,formation
12821.440000,16498.970000,-1000.000000,Fault2
12821.440000,17048.230000,-1000.000000,Fault2
12838.600000,17906.190000,-1000.000000,Fault2
12838.620000,18507.400000,-1000.000000,Fault2
12975.920000,19983.490000,-1000.000000,Fault2
13044.520000,21475.650000,-1000.000000,Fault2
13061.670000,22727.870000,-1000.000000,Fault2
13061.780000,23377.860000,-1000.000000,Fault2
12975.930000,23755.940000,-1000.000000,Fault2
12993.070000,24015.860000,-1000.000000,Fault2
9509.210000,10558.770000,-1000.000000,Fault2
10361.430000,11896.610000,-1000.000000,Fault2
10907.940000,12719.730000,-1000.000000,Fault2
11841.500000,13829.200000,-1000.000000,Fault2
12075.210000,14170.560000,-1000.000000,Fault2
12319.160000,14610.740000,-1000.000000,Fault2
12624.710000,15212.450000,-1000.000000,Fault2
13032.630000,15949.670000,-1000.000000,Fault2
9088.990000,39786.490000,-1000.000000,Fault2
9029.890000,38143.250000,-1000.000000,Fault2
9089.010000,36506.630000,-1000.000000,Fault2
9029.890000,34909.790000,-1000.000000,Fault2
9073.930000,34248.760000,-1000.000000,Fault2
9088.990000,33640.970000,-1000.000000,Fault2
9156.700000,32310.270000,-1000.000000,Fault2
9151.330000,31241.850000,-1000.000000,Fault2
9577.960000,31244.990000,-1000.000000,Fault2
10052.520000,30454.170000,-1000.000000,Fault2
10402.870000,29730.660000,-1000.000000,Fault2
11189.200000,28308.270000,-1000.000000,Fault2
11607.270000,27669.140000,-1000.000000,Fault2
11898.790000,27172.020000,-1000.000000,Fault2
12193.380000,26687.310000,-1000.000000,Fault2
12517.360000,25918.080000,-1000.000000,Fault2
12817.060000,25318.880000,-1000.000000,Fault2
13073.310000,24736.680000,-1000.000000,Fault2
13280.220000,24300.990000,-1000.000000,Fault2
9124.720000,9531.410000,-1000.000000,Fault2
9101.510000,8646.420000,-1000.000000,Fault2
9112.480000,7905.670000,-1000.000000,Fault2
9062.390000,6782.000000,-1000.000000,Fault2
9042.690000,5506.330000,-1000.000000,Fault2
9057.000000,4385.930000,-1000.000000,Fault2
9142.140000,2931.520000,-1000.000000,Fault2
9130.090000,1974.340000,-1000.000000,Fault2
9158.460000,991.420000,-1000.000000,Fault2
9124.710000,12.700000,-1000.000000,Fault2
9385.990000,31004.910000,-1000.000000,Fault2
9768.850000,30183.740000,-1000.000000,Fault2
10145.220000,29524.470000,-1000.000000,Fault2
10931.270000,28101.230000,-1000.000000,Fault2
11354.170000,27454.210000,-1000.000000,Fault2
11639.780000,26966.780000,-1000.000000,Fault2
11914.210000,26518.120000,-1000.000000,Fault2
12218.570000,25863.130000,-1000.000000,Fault2
12521.800000,25256.590000,-1000.000000,Fault2
12844.760000,24610.680000,-1000.000000,Fault2
13039.810000,24205.870000,-1000.000000,Fault2
13210.630000,16397.720000,-1000.000000,Fault2
13251.810000,16871.200000,-1000.000000,Fault2
13251.790000,17512.740000,-1000.000000,Fault2
13268.300000,18073.470000,-1000.000000,Fault2
13326.190000,18578.610000,-1000.000000,Fault2
13386.050000,19394.510000,-1000.000000,Fault2
13416.450000,19948.190000,-1000.000000,Fault2
13413.450000,20490.980000,-1000.000000,Fault2
13423.520000,20979.210000,-1000.000000,Fault2
13424.630000,21223.090000,-1000.000000,Fault2
13425.590000,21504.840000,-1000.000000,Fault2
13424.320000,21776.710000,-1000.000000,Fault2
13425.180000,21877.600000,-1000.000000,Fault2
13430.420000,22048.860000,-1000.000000,Fault2
13438.980000,22346.470000,-1000.000000,Fault2
13431.870000,22520.140000,-1000.000000,Fault2
13421.710000,22703.670000,-1000.000000,Fault2
13415.960000,22916.440000,-1000.000000,Fault2
13406.810000,23150.870000,-1000.000000,Fault2
13411.620000,23378.410000,-1000.000000,Fault2
13414.250000,23560.340000,-1000.000000,Fault2
13408.740000,23772.200000,-1000.000000,Fault2
13401.570000,24012.120000,-1000.000000,Fault2
9334.930000,10903.530000,-1000.000000,Fault2
10108.480000,12082.870000,-1000.000000,Fault2
10681.220000,12943.400000,-1000.000000,Fault2
11617.750000,14056.810000,-1000.000000,Fault2
11811.520000,14339.960000,-1000.000000,Fault2
12029.040000,14733.490000,-1000.000000,Fault2
12305.900000,15328.240000,-1000.000000,Fault2
12775.790000,16284.680000,-1000.000000,Fault2
9509.240000,13.720000,-1000.000000,Fault2
9518.970000,978.210000,-1000.000000,Fault2
9514.610000,1974.510000,-1000.000000,Fault2
9526.670000,2930.950000,-1000.000000,Fault2
9441.530000,4384.930000,-1000.000000,Fault2
9426.350000,5701.500000,-1000.000000,Fault2
9446.920000,6783.320000,-1000.000000,Fault2
9497.000000,7906.430000,-1000.000000,Fault2
9486.030000,8646.940000,-1000.000000,Fault2
9518.980000,9545.610000,-1000.000000,Fault2
9557.990000,10377.510000,-1000.000000,Fault2
