X,Y,Z,azimuth,dip,polarity,formation
950000,7700000,0,90,0,1,basement
1375000,6975000,-3357.227539,226.831153,0.005466,1,basement
1325000,6375000,0,90,0,1,basement
200000,7250000,0,90,0,1,basement
150000,7575000,0,90,0,1,basement
-200000,7025000,0,90,0,1,basement
225000,6075000,-522.486938,55.544325,0.001197,1,basement
300000,6225000,-272.260345,145.774526,0.014375,1,basement
600000,6200000,-3124.025146,126.945702,0.037114,1,basement
1275000,6175000,-81.971802,149.671665,0.007127,1,basement
1075000,6425000,-1359.880249,316.643036,0.012762,1,basement
925000,6125000,-383.753937,79.709666,0.009983,1,basement
-225000,7800000,-93.045372,204.065639,0.009127,1,basement
575000,7725000,-4732.490723,344.602532,0.072361,1,basement
375000,7525000,-3186.218018,143.299362,0.067864,1,basement
825000,7200000,-3245.815186,88.515084,0.040863,1,basement
1300000,6125000,-736.74884,138.8881,0.008519,1,basement
300000,7025000,-577.60791,184.487553,0.031287,1,basement
-100000,6325000,0,90,0,1,basement
725000,7625000,-1137.509644,119.077638,0.022262,1,basement
625000,7275000,-3343.712891,328.268352,0.001063,1,basement
1225000,7800000,-158.157196,174.884968,0.002895,1,basement
1400000,7300000,-3831.009277,177.149772,0.008402,1,basement
1125000,7300000,-61.838207,113.283812,0.006547,1,basement
700000,6125000,-1188.130981,305.279037,0.033725,1,basement
550000,6025000,-470.54303,295.610688,0.007704,1,basement
425000,7400000,-5567.056641,240.807943,0.005665,1,basement
700000,7025000,-5163.311035,132.648632,0.056004,1,basement
475000,6275000,-1156.879639,79.191691,0.031419,1,basement
-100000,7650000,0,90,0,1,basement
775000,6475000,-3681.735352,318.473272,0.013196,1,basement
1425000,7675000,-2627.536865,146.295001,0.021654,1,basement
-150000,7250000,0,90,0,1,basement
1150000,6050000,-991.833557,92.331639,0.00933,1,basement
475000,6650000,-1868.916748,183.418864,0.045348,1,basement
450000,6750000,0,238.132083,0.009198,1,basement
575000,6075000,-1239.548706,267.509294,0.021196,1,basement
800000,6775000,-4112.762207,39.134855,0.016508,1,basement
325000,6575000,0,293.756864,0.026347,1,basement
500000,7275000,-3709.541504,300.989575,0.041185,1,basement
600000,6725000,-3736.057129,163.926254,0.011327,1,basement
1050000,6625000,-2316.510254,29.154843,0.00397,1,basement
675000,7500000,-6556.803223,80.922701,0.027261,1,basement
1100000,6350000,-258.156616,316.58531,0.013735,1,basement
750000,7450000,-4470.737305,326.075848,0.04137,1,basement
550000,7200000,-3075.219238,297.55035,0.011929,1,basement
1050000,6050000,-1008.337158,81.117999,0.009753,1,basement
1000000,7725000,0,90,0,1,basement
950000,7525000,-484.481171,355.8678,0.01109,1,basement
100000,7500000,0,90,0,1,basement
1425000,6325000,-626.443359,123.432841,0.012206,1,basement
0,6700000,0,90,0.014746,1,basement
1325000,6700000,-1180.575317,322.789975,0.00712,1,basement
825000,7225000,-2228.174805,76.66699,0.036249,1,basement
425000,6900000,-3538.898438,323.98036,0.015677,1,basement
1350000,6875000,-2237.733643,279.381452,0.009511,1,basement
500000,7575000,-5598.679199,151.285984,0.027185,1,basement
-50000,7050000,0,90,0,1,basement
450000,6050000,-880.984131,1.22774,0.002131,1,basement
1275000,6050000,-1053.74585,119.443735,0.006457,1,basement
1000000,6300000,-269.508514,264.11912,0.003786,1,basement
1300000,7400000,-1874.252563,167.49357,0.016875,1,basement
875000,7175000,-4072.531982,58.976606,0.05059,1,basement
825000,6475000,-3274.079102,302.09541,0.013255,1,basement
725000,7700000,-809.026978,349.587642,0.00292,1,basement
-100000,7325000,0,90,0,1,basement
650000,6175000,-3297.17334,311.261259,0.040763,1,basement
650000,7000000,-3862.499512,120.036734,0.012167,1,basement
250000,6750000,0,90,0,1,basement
1300000,6925000,-2706.175293,217.548847,0.008243,1,basement
200000,6950000,0,90,0,1,basement
100000,7150000,0,90,0,1,basement
400000,6250000,-3125.692627,129.796201,0.047649,1,basement
850000,7450000,-1656.818604,331.304538,0.025535,1,basement
1175000,6875000,-2145.768555,168.009673,0.002723,1,basement
900000,6825000,-2821.458252,38.447862,0.010774,1,basement
1250000,7775000,-270.864075,170.730285,0.004537,1,basement
850000,6275000,-1076.058228,322.302022,0.028474,1,basement
250000,6675000,-370.476532,154.757877,0.020455,1,basement
600000,6525000,-4729.827637,192.157687,0.016714,1,basement
0,6650000,-2737.783936,114.001948,0.070364,1,basement
550000,7350000,-5189.348633,299.353066,0.026381,1,basement
-250000,6200000,-487.835114,26.635858,0.013995,1,basement
700000,6975000,-4393.652832,334.212338,0.072085,1,basement
725000,7725000,-825.570251,62.117421,0.000669,1,basement
175000,7200000,0,90,0,1,basement
375000,6800000,-2087.833252,152.384358,0.026294,1,basement
-225000,7025000,0,90,0,1,basement
-125000,6525000,0,90,0,1,basement
1100000,6150000,-136.616989,78.147202,0.006674,1,basement
700000,7500000,-6252.631836,52.23011,0.028095,1,basement
1450000,7250000,-3891.111816,267.633278,0.005197,1,basement
750000,7200000,-3078.661133,170.297956,0.007769,1,basement
75000,6450000,-1412.921997,137.398854,0.005103,1,basement
825000,6825000,-3423.782959,60.285187,0.011267,1,basement
325000,7375000,-1018.719238,168.950922,0.075719,1,basement
350000,6250000,-1045.42334,161.448664,0.032528,1,basement
525000,6475000,-2270.824463,203.049355,0.031113,1,basement
-100000,6725000,0,90,0,1,basement
1075000,7225000,-592.314331,56.923853,0.006104,1,basement
