X,Y,Z,formation
583149.71,5245034.20,2189,Garschella
584332.40,5244351.58,1913,Garschella
583618.02,5244708.77,2037,Garschella
583745.02,5245835.89,1955,Garschella
586443.78,5244557.95,1235,Garschella
585332.53,5246320.08,1629,Garschella
587086.72,5245677.14,1251,Garschella
585181.71,5247582.15,1996,Garschella
587404.22,5246542.33,1367,Garschella
587602.66,5247542.46,1291,Garschella
585262.41,5247650.94,1946,Schrattenkalk
585228.02,5247662.85,1910,Schrattenkalk
585209.50,5247617.87,1995,Garschella
584396.16,5247519.04,1980,Garschella
584559.68,5247539.68,1977,Garschella
584437.44,5247476.18,1958,fault
584712.08,5247750.82,1854,fault
584265.99,5247378.81,1913,fault
585583.62,5248610.19,1804,fault
583911.18,5247199.16,1837,fault
582493.01,5244328.43,1710,Garschella
581910.93,5243776.11,1789,Garschella
582342.20,5246304.08,1940,Garschella
582244.30,5246187.66,1824,Schrattenkalk
582189.47,5246000.86,1695,Drusberg
582189.47,5246000.86,1695,Drusberg

