X,Y,Z,formation
583300,5246725,2190,Schrattenkalk
583625,5246500,2000,Schrattenkalk
583080,5247350,2110,Schrattenkalk
584325,5249290,1960,Schrattenkalk
584740,5249700,1800,Schrattenkalk
585280,5249300,1820,Schrattenkalk
585850,5249270,1900,Schrattenkalk
586060,5249340,1700,Schrattenkalk
585450,5249540,1900,Schrattenkalk
584670,5249830,1700,Garschella
584850,5249800,1700,Amdener
586080,5245225,1280,Garschella
586100,5245575,1260,Garschella
586610,5245675,1235,Garschella
586975,5245840,1260,Garschella
585890,5245990,1350,Garschella
586150,5245990,1260,Garschella
586460,5246000,1250,Garschella
586630,5246060,1220,Garschella
587190,5246250,1200,Amdener
587375,5246400,1220,Garschella
589140,5248475,1070,Garschella
590180,5248300,1050,Garschella
590230,5248440,970,Garschella
587710,5249100,1260,Garschella
587325,5249025,1360,Garschella
587325,5249200,1330,Garschella
586700,5249450,1480,Garschella
586490,5249440,1560,Garschella
586510,5249620,1540,Garschella
586075,5249460,1600,Garschella
585625,5249580,1680,Garschella
585625,5249700,1640,Amdener
585040,5249720,1780,Amdener
584925,249630,1810,Schrattenkalk
584300,5249580,1790,Drusberg
584300,5249580,1790,Drusberg
584460,5249100,1950,Garschella
584100,5248650,1790,Garschella
583925,5248500,1840,Garschella
585100,5248050,1640,Garschella
585300,5248050,1610,Garschella
585625,5247950,1570,Garschella
586940,5247875,1350,Garschella
587380,5247925,1320,Garschella
587490,5247480,1390,Garschella
583660,5247550,1920,Garschella
585510,5246540,1550,Garschella
586200,5246300,1380,Garschella
