X,Y,Z,formation
583905.77,5247005.54,1506,Drusberg
584001.68,5247223.82,1526,Drusberg
584124.05,5247498.33,1613,Drusberg
584236.5,5247746.37,1710,Drusberg
584300.07,5247880.64,1802,Drusberg
584339.03,5247964.65,1682,Drusberg
584448.83,5248234.2,1195,Drusberg
584508.03,5248353.39,1198,Drusberg
583122.78,5245230.93,1871,Drusberg
583253.77,5245525.72,1746,Drusberg
583580.67,5246263.38,1624,Drusberg
583852.86,5246876.55,1521,Drusberg
584434.29,5248107.84,1254,Drusberg
584264.95,5247886.91,1813,Drusberg
583991.77,5247537,1579,Drusberg
583922.98,5247453.66,1573,Drusberg
585386.66,5249331.67,1021,Drusberg
585208.06,5249098.84,971,Drusberg
585107.52,5248973.16,946,Drusberg
584992.56,5248822.22,1089,Drusberg
584844.39,5248634.36,1407,Drusberg
584680.35,5248421.37,1278,Drusberg
584566.58,5248274.53,1210,Drusberg
583905.77,5247005.54,1817,Garschella
584124.05,5247498.33,1939,Garschella
584300.07,5247880.64,2107,Garschella
584336.58,5247963.19,2107,Garschella
584448.83,5248234.2,1855,Garschella
584508.03,5248353.39,1538,Garschella
583037.05,5245032.5,2176,Garschella
584508.36,5248356.57,1548,Garschella
583852.86,5246876.55,1832,Garschella
585012.24,5246740.69,1717,Garschella
585124.87,5247107.74,1838,Garschella
585262.45,5247610.45,1996,Garschella
585325.95,5247845.93,2020,Garschella
585389.45,5248082.34,1547,Garschella
585405.33,5248139.22,1582,Garschella
585459.57,5248344.28,1725,Garschella
584034.87,5244510.77,1987,Garschella
584156.57,5244792.56,2095,Garschella
584230.66,5244957.92,2043,Garschella
584276.96,5245069.05,1906,Garschella
584400.65,5245345.8,1838,Garschella
584583.22,5245766.49,1883,Garschella
584608.35,5245820.73,1867,Garschella
584766.18,5246179.77,1776,Garschella
584926.25,5246546.22,1656,Garschella
585983.37,5246166.36,1487,Garschella
586034.17,5246282.78,1482,Garschella
586127.31,5246492.33,1542,Garschella
586192.92,5246644.73,1556,Garschella
586260.66,5246797.13,1583,Garschella
586482.91,5247298.78,1719,Garschella
586525.24,5247387.68,1726,Garschella
586618.38,5247597.23,1609,Garschella
586749.61,5247893.57,1486,Garschella
