X,Y,Z,formation
587196,5244570,1195,Amdener
586671,5245580,1313,Amdener
588506,5246260,1051,Amdener
588328,5247190,1183,Amdener
583886,5247070,1829,Amdener
584993,5248080,1759,Amdener
585235,5248310,1765,Amdener
585595,5248090,1640,Amdener
586050,5247840,1594,Amdener
585437,5248240,1710,Amdener
588764,5246120,1049,Amdener
589275,5246960,1149,Amdener
588591,5246930,1094,Amdener
584236,5247950,1779,Drusberg
584299,5247880,1810,Drusberg
586070,5243540,1282,Garschella
586091,5243900,1259,Garschella
586618,5243970,1241,Garschella
586971,5244150,1259,Garschella
586453,5244320,1252,Garschella
586641,5244380,1222,Garschella
585869,5244310,1343,Garschella
586146,5244320,1256,Garschella
587103,5244420,1217,Garschella
587388,5244730,1214,Garschella
587786,5245020,1143,Garschella
586185,5244620,1370,Garschella
585491,5244860,1545,Garschella
585142,5244770,1603,Garschella
584699,5245010,1703,Garschella
584217,5245160,1811,Garschella
583493,5245610,1996,Garschella
583609,5245900,1948,Garschella
585606,5246290,1565,Garschella
587399,5245450,1145,Garschella
586942,5246210,1347,Garschella
587393,5246250,1322,Garschella
587501,5246820,1379,Garschella
590236,5246620,1052,Garschella
590298,5246760,979,Garschella
589159,5246800,1068,Garschella
587733,5247450,1249,Garschella
587329,5247560,1326,Garschella
587336,5247380,1366,Garschella
583872,5246860,1831,Garschella
584403,5247460,1948,Garschella
585266,5246400,1610,Garschella
585053,5246400,1645,Garschella
586494,5247990,1513,Garschella
586481,5247780,1559,Garschella
586697,5247800,1482,Garschella
584306,5245130,1787,Garschella
584473,5248270,1662,Garschella
586789,5247990,1531,Garschella
586719,5247820,1473,Garschella
586615,5247590,1605,Garschella
586465,5247260,1711,Garschella
586272,5246820,1589,Garschella
586104,5246440,1528,Garschella
585953,5246100,1483,Garschella
585872,5245920,1549,Garschella
585663,5245440,1616,Garschella
585471,5245010,1608,Garschella
584896,5243720,1497,Garschella
585663,5243460,1277,Garschella
586322,5244070,1278,Garschella
587245,5244630,1208,Garschella
588739,5246060,1056,Garschella
587856,5246650,1260,Garschella
588421,5246430,1052,Quaternary
588474,5246490,1056,Quaternary
589144,5246510,1002,Quaternary
589523,5246570,996,Quaternary
590048,5246520,990,Quaternary
585408,5248170,1687,Quaternary
584070,5244600,2001,Schrattenkalk
584226,5244960,1868,Schrattenkalk
585272,5247660,1915,Schrattenkalk
585343,5247910,1825,Schrattenkalk
585372,5248030,1724,Schrattenkalk
584209,5247680,1942,Schrattenkalk
584425,5248170,1736,Schrattenkalk
