X,Y,Z,formation
586070,5243540,1282,Garschella
586091,5243900,1259,Garschella
586618,5243970,1241,Garschella
586971,5244150,1259,Garschella
586453,5244320,1252,Garschella
586641,5244380,1222,Garschella
585869,5244310,1343,Garschella
586146,5244320,1256,Garschella
587103,5244420,1217,Garschella
587196,5244570,1195,Amdener
587388,5244730,1214,Garschella
587786,5245020,1143,Garschella
586185,5244620,1370,Garschella
585491,5244860,1545,Garschella
585142,5244770,1603,Garschella
584699,5245010,1703,Garschella
584217,5245160,1811,Garschella
583493,5245610,1996,Garschella
583609,5245900,1948,Garschella
585606,5246290,1565,Garschella
586671,5245580,1313,Amdener
587399,5245450,1145,Garschella
586942,5246210,1347,Garschella
587393,5246250,1322,Garschella
588506,5246260,1051,Amdener
588421,5246430,1052,Quaternary
588474,5246490,1056,Quaternary
587501,5246820,1379,Garschella
589144,5246510,1002,Quaternary
589523,5246570,996,Quaternary
590048,5246520,990,Quaternary
590236,5246620,1052,Garschella
590298,5246760,979,Garschella
589159,5246800,1068,Garschella
588328,5247190,1183,Amdener
587733,5247450,1249,Garschella
587329,5247560,1326,Garschella
587336,5247380,1366,Garschella
583872,5246860,1831,Garschella
583886,5247070,1829,Amdener
584403,5247460,1948,Garschella
585266,5246400,1610,Garschella
585053,5246400,1645,Garschella
584236,5247950,1779,Drusberg
584993,5248080,1759,Amdener
585235,5248310,1765,Amdener
585595,5248090,1640,Amdener
586050,5247840,1594,Amdener
586494,5247990,1513,Garschella
586481,5247780,1559,Garschella
586697,5247800,1482,Garschella
