xsec,ID,X,Y,xsec surface,xsec bottom 1,thickness from surface to point,Z surface elev (from DEM),Z,formation,num,info,surface elev diff (DEM - Goldscheider)
AB,AB-10a,583905.77,5247005.54,,,,1816,1817,Garschella,2,Goldscheider xsec AB,
AB,AB-10b,583905.77,5247005.54,1835,1740,95,1816,1721,Schrattenkalk,3,Goldscheider xsec AB,19
AB,AB-10c,583905.77,5247005.54,1835,1525,310,1816,1506,Drusberg,4,Goldscheider xsec AB,19
AB,AB-11,584001.68,5247223.82,1855,1535,320,1846,1526,Drusberg,4,Goldscheider xsec AB,9
AB,AB-12a,584124.05,5247498.33,,,,1938,1939,Garschella,2,Goldscheider xsec AB,
AB,AB-12b,584124.05,5247498.33,1925,1830,95,1938,1843,Schrattenkalk,3,Goldscheider xsec AB,-13
AB,AB-12c,584124.05,5247498.33,1925,1600,325,1938,1613,Drusberg,4,Goldscheider xsec AB,-13
AB,AB-14,584236.5,5247746.37,1910,1715,195,1905,1710,Drusberg,4,Goldscheider xsec AB,5
AB,AB-15a,584300.07,5247880.64,1820,2125,-305,1802,2107,Garschella,2,Goldscheider xsec AB,-18
AB,AB-15b,584300.07,5247880.64,1820,2050,-230,1802,2032,Schrattenkalk,3,Goldscheider xsec AB,-18
AB,AB-15c,584300.07,5247880.64,1820,1820,0,1802,1802,Drusberg,4,Goldscheider xsec AB,-18
AB,AB-16a,584336.58,5247963.19,1760,2125,-365,1742,2107,Garschella,2,Goldscheider xsec AB,-18
AB,AB-16b,584336.58,5247963.19,1760,2045,-285,1742,2027,Schrattenkalk,3,Goldscheider xsec AB,-18
AB,AB-16c,584339.03,5247964.65,1760,1700,60,1742,1682,Drusberg,4,Goldscheider xsec AB,-18
AB,AB-18a,584448.83,5248234.2,1715,1880,-165,1690,1855,Garschella,2,Goldscheider xsec AB,-25
AB,AB-18b,584448.83,5248234.2,1715,1500,215,1690,1475,Schrattenkalk,3,Goldscheider xsec AB,-25
AB,AB-18c,584448.83,5248234.2,1715,1220,495,1690,1195,Drusberg,4,Goldscheider xsec AB,-25
AB,AB-21a,584508.03,5248353.39,1625,1520,105,1643,1538,Garschella,2,Goldscheider xsec AB,18
AB,AB-21b,584508.03,5248353.39,1625,1410,215,1643,1428,Schrattenkalk,3,Goldscheider xsec AB,18
AB,AB-21c,584508.03,5248353.39,1625,1180,445,1643,1198,Drusberg,4,Goldscheider xsec AB,18
