X,Y,Z,formation
585389.45,5248082.34,1587,Amdener
585405.33,5248139.22,1617,Amdener
583090.26,5245153.32,1966,Drusberg
583253.77,5245525.72,1746,Drusberg
583580.67,5246263.38,1624,Drusberg
583852.86,5246876.55,1521,Drusberg
583905.77,5247005.54,1506,Drusberg
584001.68,5247223.82,1526,Drusberg
584124.05,5247498.33,1613,Drusberg
584203.43,5247667.00,1829,Drusberg
584292.73,5247868.74,1802,Drusberg
584339.03,5247964.65,1678,Drusberg
583037.34,5245030.95,2176,Garschella
583852.86,5246876.55,1832,Garschella
583905.77,5247005.54,1817,Garschella
584124.05,5247498.33,1939,Garschella
584508.36,5248356.57,1644,Garschella
584034.87,5244510.77,1987,Garschella
584156.57,5244792.56,2096,Garschella
584230.66,5244957.92,2044,Garschella
584276.96,5245069.05,1907,Garschella
584400.65,5245345.80,1838,Garschella
584583.22,5245766.49,1883,Garschella
584608.35,5245820.73,1867,Garschella
584766.18,5246179.77,1776,Garschella
584926.25,5246546.22,1656,Garschella
585012.24,5246740.69,1717,Garschella
585124.87,5247107.74,1838,Garschella
585262.45,5247610.45,1996,Garschella
585325.95,5247845.93,2021,Garschella
585389.45,5248082.34,1548,Garschella
585405.33,5248139.22,1583,Garschella
585459.57,5248344.28,1726,Garschella
583037.34,5245030.95,2055,Schrattenkalk
583090.26,5245153.32,2181,Schrattenkalk
583145.82,5245276.48,2076,Schrattenkalk
583199.80,5245400.31,2020,Schrattenkalk
583253.77,5245525.72,1986,Schrattenkalk
583309.33,5245647.96,1918,Schrattenkalk
583362.38,5245773.90,1897,Schrattenkalk
583580.67,5246263.38,1839,Schrattenkalk
583852.86,5246876.55,1736,Schrattenkalk
583905.77,5247005.54,1721,Schrattenkalk
584124.05,5247498.33,1843,Schrattenkalk
584203.43,5247667.00,1934,Schrattenkalk
584236.50,5247746.37,1710,Schrattenkalk
584431.63,5248182.27,1634,Schrattenkalk
584448.83,5248234.20,1475,Schrattenkalk
584034.87,5244510.77,1871,Schrattenkalk
584156.57,5244792.56,1985,Schrattenkalk
584230.66,5244957.92,1868,Schrattenkalk
584276.96,5245069.05,1711,Schrattenkalk
584400.65,5245345.80,1742,Schrattenkalk
584583.22,5245766.49,1782,Schrattenkalk
584608.35,5245820.73,1766,Schrattenkalk
584766.18,5246179.77,1660,Schrattenkalk
584926.25,5246546.22,1545,Schrattenkalk
585012.24,5246740.69,1611,Schrattenkalk
585124.87,5247107.74,1742,Schrattenkalk
585262.45,5247610.45,1900,Schrattenkalk
585325.95,5247845.93,1920,Schrattenkalk
585389.45,5248082.34,1447,Schrattenkalk
585405.33,5248139.22,1482,Schrattenkalk
585459.57,5248344.28,1630,Schrattenkalk
