X,Y,Z,formation
583905.77,5247005.54,1506,Drusberg
584001.68,5247223.82,1526,Drusberg
584124.05,5247498.33,1613,Drusberg
584236.50,5247746.37,1710,Drusberg
584300.07,5247880.64,1802,Drusberg
584339.03,5247964.65,1682,Drusberg
584448.83,5248234.20,1195,Drusberg
584508.03,5248353.39,1198,Drusberg
583122.78,5245230.93,1871,Drusberg
583253.77,5245525.72,1746,Drusberg
583580.67,5246263.38,1624,Drusberg
583852.86,5246876.55,1521,Drusberg
583905.77,5247005.54,1817,Garschella
584124.05,5247498.33,1939,Garschella
584300.07,5247880.64,2107,Garschella
584336.58,5247963.19,2107,Garschella
584448.83,5248234.20,1855,Garschella
584508.03,5248353.39,1538,Garschella
583037.05,5245032.50,2176,Garschella
584508.36,5248356.57,1548,Garschella
583852.86,5246876.55,1832,Garschella
585012.24,5246740.69,1717,Garschella
585124.87,5247107.74,1838,Garschella
585262.45,5247610.45,1996,Garschella
585325.95,5247845.93,2020,Garschella
585389.45,5248082.34,1547,Garschella
585405.33,5248139.22,1582,Garschella
585459.57,5248344.28,1725,Garschella
584034.87,5244510.77,1987,Garschella
584156.57,5244792.56,2095,Garschella
584230.66,5244957.92,2043,Garschella
584276.96,5245069.05,1906,Garschella
584400.65,5245345.80,1838,Garschella
584583.22,5245766.49,1883,Garschella
584608.35,5245820.73,1867,Garschella
584766.18,5246179.77,1776,Garschella
584926.25,5246546.22,1656,Garschella
585983.37,5246166.36,1487,Garschella
586034.17,5246282.78,1482,Garschella
586127.31,5246492.33,1542,Garschella
586192.92,5246644.73,1556,Garschella
586260.66,5246797.13,1583,Garschella
586482.91,5247298.78,1719,Garschella
586525.24,5247387.68,1726,Garschella
586618.38,5247597.23,1609,Garschella
586749.61,5247893.57,1486,Garschella
586789.83,5247986.70,1534,Garschella
584939.86,5243812.63,1563,Garschella
585068.97,5244108.96,1627,Garschella
585270.06,5244557.69,1602,Garschella
585337.79,5244705.86,1551,Garschella
585399.17,5244851.91,1546,Garschella
585509.24,5245093.21,1620,Garschella
585530.41,5245154.59,1642,Garschella
585663.76,5245453.05,1617,Garschella
585864.84,5245897.55,1567,Garschella
587091.32,5244653.96,1170,Garschella
587202.44,5244738.10,1200,Garschella
587612.65,5245030.52,1139,Garschella
588053.98,5245343.26,1048,Garschella
588566.90,5245775.95,1123,Garschella
