X,Y,Z,azimuth,dip,polarity,formation
584220.43,5247907.94,1828,295,30,1,Drusberg
583610.83,5245895.41,1951,335,10,1,Garschella
583868.54,5246857.17,1832,310,28,1,Garschella
584403,5247462.28,1940,95,13,1,Garschella
585060.49,5246399.97,1646,310,41,1,Garschella
585272.16,5246397.33,1612,10,18,1,Garschella
585486.47,5244860.09,1534,80,20,1,Garschella
585605.53,5246288.85,1564,1,24,1,Garschella
586087.07,5243899.13,1261,70,25,1,Garschella
586478.39,5247784.8,1562,290,47,1,Garschella
586488.98,5247993.83,1510,130,31,1,Garschella
586946.71,5246210.79,1338,75,17,1,Garschella
587330.35,5247563.35,1329,20,10,1,Garschella
587335.65,5247372.85,1372,320,40,1,Garschella
587385.92,5244720.13,1209,80,22,1,Garschella
587388.56,5246252.07,1316,40,22,1,Garschella
587499.69,5246814.84,1381,5,21,1,Garschella
587729.88,5247447.2,1246,90,20,1,Garschella
584234.19,5244960.64,1868,20,14,1,Schrattenkalk
