X	Y	Z	azimuth	dip	polarity	formation	interface	overturned
587196	5244570	1195	75	36	1	Amdener	y	n
586671	5245580	1313	1	17	1	Amdener	y	n
588506	5246260	1051	340	38	1	Amdener	y	n
588328	5247190	1183	80	25	1	Amdener	y	n
583886	5247070	1829	330	11	1	Amdener	y	n
584993	5248080	1759	310	88	1	Amdener	y	n
585235	5248310	1765	120	26	1	Amdener	y	n
585595	5248090	1640	110	32	1	Amdener	y	n
586050	5247840	1594	290	69	1	Amdener	y	n
585380	5248060	1703	0	0	1	Amdener	y	y
585437	5248240	1710	0	0	1	Amdener	y	n
585856	5246150	1517	340	22	1	Amdener	n	n
588764	5246120	1049	0	0	1	Amdener	y	n
589275	5246960	1149	0	0	1	Amdener	y	n
588591	5246930	1094	0	0	1	Amdener	y	n
584236	5247950	1779	295	30	1	Drusberg	y	n
584299	5247880	1810	0	0	1	Drusberg	y	n
586070	5243540	1282	340	26	1	Garschella	y	n
586091	5243900	1259	70	25	1	Garschella	y	n
586618	5243970	1241	50	30	1	Garschella	y	n
586971	5244150	1259	25	35	1	Garschella	y	n
586453	5244320	1252	20	15	1	Garschella	y	n
586641	5244380	1222	325	25	1	Garschella	y	n
585869	5244310	1343	30	16	1	Garschella	y	n
586146	5244320	1256	105	20	1	Garschella	y	n
587103	5244420	1217	130	61	1	Garschella	y	n
587388	5244730	1214	80	22	1	Garschella	y	n
587463	5244890	1162	45	15	1	Garschella	n	n
587583	5244930	1154	3	28	1	Garschella	n	n
587786	5245020	1143	5	22	1	Garschella	y	n
586185	5244620	1370	345	20	1	Garschella	y	n
585491	5244860	1545	80	20	1	Garschella	y	n
585260	5244610	1535	340	25	1	Garschella	n	n
585142	5244770	1603	325	36	1	Garschella	y	n
584824	5244760	1713	355	30	1	Garschella	n	n
584699	5245010	1703	335	40	1	Garschella	y	n
584217	5245020	1859	300	57	1	Garschella	n	n
584217	5245160	1811	290	44	1	Garschella	y	n
583560	5245340	2011	359	22	1	Garschella	n	n
583493	5245610	1996	330	21	1	Garschella	y	n
583609	5245900	1948	335	10	1	Garschella	y	n
585606	5246290	1565	1	24	1	Garschella	y	n
587399	5245450	1145	30	18	1	Garschella	y	n
586942	5246210	1347	75	17	1	Garschella	y	n
587393	5246250	1322	40	22	1	Garschella	y	n
588550	5245430	1125	75	22	1	Garschella	n	n
588648	5245620	1105	65	14	1	Garschella	n	n
588722	5245810	1087	335	24	1	Garschella	n	n
587501	5246820	1379	5	21	1	Garschella	y	n
590236	5246620	1052	50	21	1	Garschella	y	n
590298	5246760	979	10	25	1	Garschella	y	n
589159	5246800	1068	110	24	1	Garschella	y	n
587733	5247450	1249	90	20	1	Garschella	y	n
587329	5247560	1326	20	10	1	Garschella	y	n
587336	5247380	1366	320	40	1	Garschella	y	n
583872	5246860	1831	310	28	1	Garschella	y	n
584403	5247460	1948	95	13	1	Garschella	y	n
585266	5246400	1610	10	18	1	Garschella	y	n
585053	5246400	1645	310	41	1	Garschella	y	n
584894	5248000	1811	295	105	1	Garschella	y	y
585207	5248070	1790	295	103	1	Garschella	y	y
585605	5247930	1690	310	96	1	Garschella	y	y
586494	5247990	1513	130	31	1	Garschella	y	n
586481	5247780	1559	290	47	1	Garschella	y	n
586697	5247800	1482	315	43	1	Garschella	y	n
584306	5245130	1787	0	0	1	Garschella	y	n
584473	5248270	1662	0	0	1	Garschella	y	n
586789	5247990	1531	0	0	1	Garschella	y	n
586719	5247820	1473	0	0	1	Garschella	y	n
586615	5247590	1605	0	0	1	Garschella	y	n
586465	5247260	1711	0	0	1	Garschella	y	n
586272	5246820	1589	0	0	1	Garschella	y	n
586104	5246440	1528	0	0	1	Garschella	y	n
585953	5246100	1483	0	0	1	Garschella	y	n
585872	5245920	1549	0	0	1	Garschella	y	n
585663	5245440	1616	0	0	1	Garschella	y	n
585471	5245010	1608	0	0	1	Garschella	y	n
584896	5243720	1497	0	0	1	Garschella	y	n
585663	5243460	1277	0	0	1	Garschella	y	n
586322	5244070	1278	0	0	1	Garschella	y	n
587245	5244630	1208	0	0	1	Garschella	y	n
588739	5246060	1056	0	0	1	Garschella	y	n
587856	5246650	1260	0	0	1	Garschella	y	n
588421	5246430	1052	340	50	1	Quaternary	y	n
588474	5246490	1056	90	40	1	Quaternary	y	n
589144	5246510	1002	120	55	1	Quaternary	y	n
589523	5246570	996	85	32	1	Quaternary	y	n
590048	5246520	990	90	33	1	Quaternary	y	n
585408	5248170	1687	0	0	1	Quaternary	y	n
584186	5244880	1841	20	14	1	Schrattenkalk	n	n
584070	5244600	2001	0	0	1	Schrattenkalk	y	n
584226	5244960	1868	0	0	1	Schrattenkalk	y	n
585272	5247660	1915	0	0	1	Schrattenkalk	y	n
585343	5247910	1825	0	0	1	Schrattenkalk	y	n
585372	5248030	1724	0	0	1	Schrattenkalk	y	n
584209	5247680	1942	0	0	1	Schrattenkalk	y	n
584425	5248170	1736	0	0	1	Schrattenkalk	y	n
