ID,num,X,Y,Z,use?,azimuth,dip,polarity,formation,source,notes
SD-1,1,583887.38,5247073.02,1833,n,330,11,1,Amdener,Goldscheider 1997,
SD-2,2,584989.63,5248080.87,1758,n,310,88,1,Amdener,Goldscheider 1997,
SD-3,3,585237.28,5248307.36,1765,n,120,26,1,Amdener,Goldscheider 1997,
SD-4,4,585592.88,5248089.34,1640,n,110,32,1,Amdener,Goldscheider 1997,
SD-5,5,586046.49,5247835.34,1589,n,290,69,1,Amdener,Goldscheider 1997,
SD-6,6,586671.12,5245581.51,1319,n,1,17,1,Amdener,Goldscheider 1997,
SD-7,7,587199.23,5244571.22,1191,n,75,36,1,Amdener,Goldscheider 1997,
SD-8,8,588328.26,5247191.24,1181,n,80,25,1,Amdener,Goldscheider 1997,
SD-9,9,588501.83,5246262.02,1052,n,340,38,1,Amdener,Goldscheider 1997,
SD-10,10,584220.43,5247907.94,1827,y,295,30,1,Drusberg,Goldscheider 1997,moved point south to boundary
SD-11,11,583496.53,5245616.01,1995,n,330,21,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-12,12,583610.83,5245895.41,1950,y,335,10,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-13,13,583868.54,5246857.17,1831,y,310,28,1,Garschella,Goldscheider 1997,"add +1 m to account for surface erosion,xsec is 1831 elev"
SD-14,14,584215.14,5245161.72,1825,n,290,44,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-15,15,584403.00,5247462.28,1939,y,95,13,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-16,16,584700.65,5245009.05,1700,n,335,40,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-17,17,585060.49,5246399.97,1645,y,310,41,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-18,18,585142.51,5244770.14,1592,n,325,36,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-19,19,585272.16,5246397.33,1611,y,10,18,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-20,20,585486.47,5244860.09,1533,y,80,20,1,Garschella,Goldscheider 1997,"add +1 m to account for surface erosion,xsec is 1545 elev"
SD-21,21,585605.53,5246288.85,1563,y,1,24,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-22,22,585867.47,5244313.20,1343,n,30,16,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-23,23,586068.55,5243536.65,1280,m,340,26,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-24,24,586087.07,5243899.13,1260,y,70,25,1,Garschella,Goldscheider 1997,"add +1 m to account for surface erosion,xsec elev is 1264"
SD-25,25,586147.93,5244317.17,1250,m,105,20,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-26,26,586184.97,5244626.73,1406,n,345,20,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-27,27,586454.85,5244314.52,1248,m,20,15,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-28,28,586478.39,5247784.80,1561,y,290,47,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-29,29,586488.98,5247993.83,1509,y,130,31,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-30,30,586621.27,5243977.44,1238,m,50,30,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-31,31,586639.79,5244376.96,1220,m,325,25,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-32,32,586695.35,5247806.24,1481,m,315,43,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosionxsec elev is 1485
SD-33,33,586946.71,5246210.79,1337,y,75,17,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-34,34,586983.75,5244149.16,1261,m,25,35,1,Garschella,Goldscheider 1997,"add +1 m to account for surface erosion,could correct elev?"
SD-35,35,587102.81,5244429.62,1217,m,130,61,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-36,36,587330.35,5247563.35,1328,y,20,10,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-37,37,587335.65,5247372.85,1371,y,320,40,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-38,38,587385.92,5244720.13,1208,y,80,22,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-39,39,587388.56,5246252.07,1315,y,40,22,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-40,40,587404.44,5245445.09,1144,m,30,18,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-41,41,587499.69,5246814.84,1380,y,5,21,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-42,42,587729.88,5247447.20,1245,y,90,20,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-43,43,587788.08,5245026.78,1145,m,5,22,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-44,44,588727.36,5245804.66,1088,n,110,24,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-45,45,590239.45,5246624.87,1058,m,50,21,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-46,46,590300.31,5246765.10,987,m,10,25,1,Garschella,Goldscheider 1997,add +1 m to account for surface erosion
SD-47,47,584183.92,5244878.61,1842,y,20,14,1,Schrattenkalk,Goldscheider 1997,move to contact?
SD-47b,47b,584234.19,5244960.64,1868,m,20,14,1,Schrattenkalk,Goldscheider 1998,47 if moved to contact
