X,Y,Z,formation
583037.34,5245030.95,2175,Garschella
583037.34,5245030.95,2055,Schrattenkalk
583090.26,5245153.32,2181,Schrattenkalk
583090.26,5245153.32,1966,Drusberg
583145.82,5245276.48,2076,Schrattenkalk
583199.8,5245400.31,2020,Schrattenkalk
583253.77,5245525.72,1986,Schrattenkalk
583253.77,5245525.72,1746,Drusberg
583309.33,5245647.96,1918,Schrattenkalk
583362.38,5245773.9,1897,Schrattenkalk
583580.67,5246263.38,1839,Schrattenkalk
583580.67,5246263.38,1624,Drusberg
583852.86,5246876.55,1831,Garschella
583852.86,5246876.55,1736,Schrattenkalk
583852.86,5246876.55,1521,Drusberg
583905.77,5247005.54,1816,Garschella
583905.77,5247005.54,1721,Schrattenkalk
583905.77,5247005.54,1506,Drusberg
584001.68,5247223.82,1526,Drusberg
584124.05,5247498.33,1938,Garschella
584124.05,5247498.33,1843,Schrattenkalk
584124.05,5247498.33,1613,Drusberg
584203.43,5247667,1934,Schrattenkalk
584203.43,5247667,1829,Drusberg
584236.5,5247746.37,1710,Schrattenkalk
584292.73,5247868.74,1802,Drusberg
584339.03,5247964.65,1678,Drusberg
584431.63,5248182.27,1634,Schrattenkalk
584448.83,5248234.2,1475,Schrattenkalk
584508.36,5248356.57,1548,Garschella
587196,5244570,1195,Amdener
588421,5246430,1052,Quaternary
586671,5245580,1313,Amdener
588474,5246490,1056,Quaternary
