X,Y,Z,azimuth,dip,polarity,formation
586080,5245225,1280,340,26,1,Garschella
586100,5245575,1260,70,25,1,Garschella
586610,5245675,1235,50,30,1,Garschella
586975,5245840,1260,25,35,1,Garschella
585890,5245990,1350,30,16,1,Garschella
586150,5245990,1260,105,20,1,Garschella
586460,5246000,1250,20,15,1,Garschella
586630,5246060,1220,135,25,1,Garschella
587190,5246250,1200,80,36,1,Amdener
587375,5246400,1220,80,22,1,Garschella
589140,5248475,1070,110,24,1,Garschella
590180,5248300,1050,45,21,1,Garschella
590230,5248440,970,5,25,1,Garschella
587710,5249100,1260,90,20,1,Garschella
587325,5249025,1360,320,40,1,Garschella
587325,5249200,1330,20,10,1,Garschella
586700,5249450,1480,310,43,1,Garschella
586490,5249440,1560,290,47,1,Garschella
586510,5249620,1540,120,31,1,Garschella
586075,5249460,1600,295,69,1,Garschella
585625,5249580,1680,310,96,1,Garschella
585625,5249700,1640,110,32,1,Amdener
585040,5249720,1780,315,88,1,Amdener
584925,249630,1810,295,105,1,Schrattenkalk
584300,5249580,1790,290,30,1,Drusberg
584460,5249100,1950,90,13,1,Garschella
584100,5248650,1790,340,12,1,Garschella
583925,5248500,1840,310,28,1,Garschella
585100,5248050,1640,310,41,1,Garschella
585300,5248050,1610,15,18,1,Garschella
585625,5247950,1570,0,24,1,Garschella
586940,5247875,1350,70,17,1,Garschella
587380,5247925,1320,30,22,1,Garschella
587490,5247480,1390,0,21,1,Garschella
583660,5247550,1920,335,10,1,Garschella
585510,5246540,1550,85,20,1,Garschella
586200,5246300,1380,345,20,1,Garschella
