X,Y,Z,azimuth,dip,polarity,formation
587196,5244570,1195,75,36,1,Amdener
586671,5245580,1313,1,17,1,Amdener
588506,5246260,1051,340,38,1,Amdener
588328,5247190,1183,80,25,1,Amdener
583886,5247070,1829,330,11,1,Amdener
584993,5248080,1759,310,88,1,Amdener
585235,5248310,1765,120,26,1,Amdener
585595,5248090,1640,110,32,1,Amdener
586050,5247840,1594,290,69,1,Amdener
584236,5247950,1779,295,30,1,Drusberg
586070,5243540,1282,340,26,1,Garschella
586091,5243900,1259,70,25,1,Garschella
586618,5243970,1241,50,30,1,Garschella
586971,5244150,1259,25,35,1,Garschella
586453,5244320,1252,20,15,1,Garschella
586641,5244380,1222,325,25,1,Garschella
585869,5244310,1343,30,16,1,Garschella
586146,5244320,1256,105,20,1,Garschella
587103,5244420,1217,130,61,1,Garschella
587388,5244730,1214,80,22,1,Garschella
587786,5245020,1143,5,22,1,Garschella
586185,5244620,1370,345,20,1,Garschella
585491,5244860,1545,80,20,1,Garschella
585142,5244770,1603,325,36,1,Garschella
584699,5245010,1703,335,40,1,Garschella
584217,5245160,1811,290,44,1,Garschella
583493,5245610,1996,330,21,1,Garschella
583609,5245900,1948,335,10,1,Garschella
585606,5246290,1565,1,24,1,Garschella
587399,5245450,1145,30,18,1,Garschella
586942,5246210,1347,75,17,1,Garschella
587393,5246250,1322,40,22,1,Garschella
587501,5246820,1379,5,21,1,Garschella
590236,5246620,1052,50,21,1,Garschella
590298,5246760,979,10,25,1,Garschella
589159,5246800,1068,110,24,1,Garschella
587733,5247450,1249,90,20,1,Garschella
587329,5247560,1326,20,10,1,Garschella
587336,5247380,1366,320,40,1,Garschella
583872,5246860,1831,310,28,1,Garschella
584403,5247460,1948,95,13,1,Garschella
585266,5246400,1610,10,18,1,Garschella
585053,5246400,1645,310,41,1,Garschella
586494,5247990,1513,130,31,1,Garschella
586481,5247780,1559,290,47,1,Garschella
586697,5247800,1482,315,43,1,Garschella
588421,5246430,1052,340,50,1,Quaternary
588474,5246490,1056,90,40,1,Quaternary
589144,5246510,1002,120,55,1,Quaternary
589523,5246570,996,85,32,1,Quaternary
590048,5246520,990,90,33,1,Quaternary
