,0
0,40.334118
1,40.334156
2,40.333755
3,40.334328
4,40.33346
5,40.332886
6,40.333115
7,40.33343
8,40.33349
9,40.33334
10,40.333206
11,40.33305
12,40.3331
13,40.332626
14,40.323574
15,40.320084
16,40.318275
17,40.315445
18,40.31312
19,40.310932
20,40.309612
21,40.30868
22,40.30822
23,40.30748
24,40.30597
25,40.30523
26,40.30347
27,40.302013
28,40.30075
29,40.29937
30,40.297733
31,40.296234
32,40.295135
33,40.294174
34,40.292942
35,40.29249
36,40.2928
37,40.291615
38,40.289177
39,40.28913
40,40.287304
41,40.28451
42,40.28207
43,40.277336
44,40.273254
45,40.270016
46,40.267345
47,40.264843
48,40.262814
49,40.26028
50,40.257736
51,40.25446
52,40.25154
53,40.248234
54,40.2461
55,40.244495
56,40.242405
57,40.240368
58,40.238655
59,40.23656
60,40.23461
61,40.23368
62,40.23242
63,40.231274
64,40.230263
65,40.229355
66,40.228912
67,40.228413
68,40.227894
69,40.22738
70,40.227657
71,40.227856
72,40.228046
73,40.22783
74,40.227276
75,40.22638
76,40.225723
77,40.22498
78,40.224422
79,40.22376
80,40.223026
81,40.222477
82,40.221653
83,40.22095
84,40.220837
85,40.22001
86,40.219383
87,40.218643
88,40.218506
89,40.217808
90,40.217453
91,40.21688
92,40.216045
93,40.215046
94,40.21498
95,40.21527
96,40.214703
97,40.213684
98,40.212856
99,40.213364
100,40.213478
101,40.21296
102,40.212887
103,40.213474
104,40.213223
105,40.21353
106,40.213116
107,40.211952
108,40.212967
109,40.212765
110,40.21221
111,40.212917
112,40.21319
113,40.21397
114,40.21418
115,40.213593
116,40.21432
117,40.21339
118,40.21351
119,40.213005
120,40.21277
121,40.21357
122,40.213467
123,40.21375
124,40.21359
125,40.21321
126,40.213814
127,40.213642
128,40.21383
129,40.214214
130,40.213978
131,40.213257
132,40.21297
133,40.211487
134,40.210346
135,40.207386
136,40.206497
137,40.205124
138,40.204994
139,40.204597
140,40.20323
141,40.203274
142,40.203297
143,40.20318
144,40.20303
145,40.203686
146,40.204487
147,40.20583
148,40.20706
149,40.20799
150,40.209465
151,40.21042
152,40.210045
153,40.209858
154,40.210163
155,40.210373
156,40.20988
157,40.208473
158,40.207535
159,40.206207
160,40.20475
161,40.203247
162,40.201653
163,40.20043
164,40.19869
165,40.19742
166,40.195282
167,40.192703
168,40.190907
169,40.189667
170,40.188137
171,40.186592
172,40.183926
173,40.181717
174,40.180466
175,40.17902
176,40.177475
177,40.17684
178,40.176228
179,40.17557
180,40.08682
181,40.332386
182,40.33261
183,40.33273
184,40.332546
185,40.332237
186,40.331696
187,40.33179
188,40.33171
189,40.331547
190,40.331642
191,40.331238
192,40.331
193,40.33121
194,40.33111
195,40.331066
196,40.322044
197,40.319637
198,40.316456
199,40.31379
200,40.311626
201,40.31003
202,40.308464
203,40.30718
204,40.306873
205,40.30631
206,40.305126
207,40.303608
208,40.302338
209,40.300922
210,40.29978
211,40.298347
212,40.297115
213,40.2956
214,40.294334
215,40.293198
216,40.292633
217,40.292416
218,40.292614
219,40.29221
220,40.289913
221,40.28809
222,40.285378
223,40.280342
224,40.275913
225,40.27225
226,40.268707
227,40.265984
228,40.263603
229,40.26069
230,40.2582
231,40.255558
232,40.252724
233,40.250473
234,40.248196
235,40.246475
236,40.244568
237,40.242756
238,40.240795
239,40.238937
240,40.23706
241,40.23474
242,40.233025
243,40.231064
244,40.230095
245,40.228497
246,40.227608
247,40.22696
248,40.226254
249,40.226044
250,40.225513
251,40.2255
252,40.226032
253,40.226063
254,40.225925
255,40.225666
256,40.225002
257,40.224194
258,40.223576
259,40.223232
260,40.222492
261,40.222206
262,40.221283
263,40.220985
264,40.220253
265,40.21969
266,40.219353
267,40.218887
268,40.218346
269,40.218395
270,40.21852
271,40.21778
272,40.217293
273,40.21623
274,40.215565
275,40.215775
276,40.216167
277,40.215588
278,40.215576
279,40.215446
280,40.215214
281,40.214947
282,40.215275
283,40.21507
284,40.215897
285,40.21591
286,40.2159
287,40.216324
288,40.21553
289,40.215385
290,40.215485
291,40.215496
292,40.21552
293,40.21508
294,40.21435
295,40.214596
296,40.2149
297,40.214382
298,40.214985
299,40.214947
300,40.214764
301,40.2153
302,40.21628
303,40.21613
304,40.216858
305,40.216816
306,40.217117
307,40.217323
308,40.2182
309,40.21871
310,40.218685
311,40.218178
312,40.21788
313,40.217
314,40.21689
315,40.217148
316,40.216774
317,40.213623
318,40.21036
319,40.208633
320,40.20788
321,40.207275
322,40.207016
323,40.20683
324,40.20604
325,40.204975
326,40.20412
327,40.203876
328,40.20479
329,40.20566
330,40.206436
331,40.208153
332,40.209
333,40.209644
334,40.208626
335,40.208878
336,40.20939
337,40.21044
338,40.209145
339,40.20862
340,40.207455
341,40.206333
342,40.20441
343,40.203224
344,40.202206
345,40.200382
346,40.1987
347,40.19699
348,40.194942
349,40.193077
350,40.19144
351,40.190018
352,40.188324
353,40.186123
354,40.183952
355,40.18205
356,40.180553
357,40.178776
358,40.177513
359,40.176968
360,40.1763
361,40.08855
362,40.332672
363,40.33255
364,40.33177
365,40.33247
366,40.3319
367,40.33154
368,40.33139
369,40.331264
370,40.330658
371,40.330894
372,40.33015
373,40.329952
374,40.329746
375,40.32952
376,40.329685
377,40.32862
378,40.319687
379,40.317112
380,40.31422
381,40.311794
382,40.309547
383,40.30767
384,40.306545
385,40.305794
386,40.305256
387,40.30424
388,40.303017
389,40.302135
390,40.30095
391,40.29976
392,40.29831
393,40.297398
394,40.296276
395,40.294662
396,40.29334
397,40.291992
398,40.291355
399,40.29096
400,40.291134
401,40.291
402,40.289364
403,40.28553
404,40.28102
405,40.275578
406,40.27117
407,40.267586
408,40.264812
409,40.26195
410,40.259136
411,40.256115
412,40.25407
413,40.251537
414,40.24925
415,40.247047
416,40.245
417,40.242702
418,40.24116
419,40.239586
420,40.238453
421,40.23649
422,40.23555
423,40.23303
