X,Y,Z,formation,uncertainty
790536.785451,6350049.582497,248.595825,Triassic,a
790450.754304,6350096.0999449985,300.505825,Triassic,a
793904.412095,6347033.90056,-794.933721,Triassic,a
790905.4554420002,6350543.030878,405.441695,Triassic,a
790869.915916,6350368.527403,412.576216,Triassic,a
786701.1956869998,6346248.789071,435.286834,Triassic,a
786922.234,6351839.735,393.828972,Triassic,a
790965.7829999999,6349224.467999999,252.898978,Triassic,a
791094.0279999999,6350560.336,417.092773,Triassic,a
790419.963,6348715.44,333.121762,Triassic,a
790496.7609999999,6349829.771000001,310.120003,Triassic,a
789867.565,6350167.978999999,294.372889,Triassic,a
789830.641,6350184.083,297.1717470000001,Triassic,a
791760.3409999999,6348513.616,216.479536,Triassic,a
789425.7490000001,6350026.211,258.595194,Triassic,a
791263.453,6350531.699,404.866132,Triassic,a
790763.792,6350585.949,354.08227,Triassic,a
791658.064,6350390.3889999995,352.115701,Triassic,a
791478.373,6350379.869,378.553655,Triassic,a
790843.7509999999,6350557.356000001,380.284645,Triassic,a
790203.755,6350081.445,284.65094,Triassic,a
791491.295,6348175.103999999,237.516251,Triassic,a
783244.582,6347303.356000001,285.911443,Triassic,a
782159.3709999999,6347820.4229999995,383.20226,Triassic,a
781833.439,6347491.552999999,312.390252,Triassic,a
781858.628,6347520.767999999,319.974955,Triassic,a
786247.6690000001,6346837.097,388.044555,Triassic,a
785686.891,6346289.865,277.421806,Triassic,a
786086.1329999999,6346477.903,341.805969,Triassic,a
784529.303,6347917.793,392.885671,Triassic,a
785859.546,6346246.57,289.093957,Triassic,a
786336.075,6347001.7639999995,397.960997,Triassic,a
783297.204,6347311.65,275.063473,Triassic,a
785535.949,6345896.804,228.512532,Triassic,a
787373.6340000001,6350839.352999999,293.930121,Triassic,a
787517.3740000001,6350390.187999999,240.402158,Triassic,a
789870.0109999999,6350167.524,294.191288,Triassic,a
787517.647,6350277.6389999995,253.273759,Triassic,a
787549.687,6350042.146000001,263.89051,Triassic,a
787400.267,6350772.8270000005,286.344702,Triassic,a
787394.632,6350776.082,285.94569,Triassic,a
789432.463244,6352228.179983,137.823082,Triassic,a
789598.9510939999,6352159.551404,82.213082,Triassic,a
789738.3178020002,6352102.102532,71.882082,Triassic,a
786703.543059,6352632.26443,392.686294,Triassic,a
786009.58563,6352988.807056,609.226294,Triassic,a
786307.605244,6352835.690033,588.607294,Triassic,a
785145.6208810002,6350027.957825,658.2377240000002,Carboniferous,a
785809.154221,6350154.468073,702.3097240000002,Carboniferous,a
786171.491208,6350223.551779,688.302724,Carboniferous,a
782578.141046,6346991.798153,-957.26528,Carboniferous,a
785071.692,6352995.226,499.65459,Carboniferous,a
786357.595,6351517.677999999,262.882472,Carboniferous,a
786290.27,6351246.501,295.403237,Carboniferous,a
784214.038,6351600.427,469.968706,Carboniferous,a
779948.0140000001,6351838.756,509.82801,Carboniferous,a
779525.6740000001,6350677.472999999,418.838026,Carboniferous,a
783754.895,6352698.198,378.131271,Carboniferous,a
779656.775,6352234.637,561.168737,Carboniferous,a
779616.4609999999,6350697.507,409.608506,Carboniferous,a
779438.035,6348568.675,238.175373,Carboniferous,a
779649.9659999999,6349499.091,275.938602,Carboniferous,a
786964.4820000001,6348358.255,339.35886,Carboniferous,a
786238.109,6347629.227000001,349.567567,Carboniferous,a
786268.49,6347825.5,344.144319,Carboniferous,a
786454.3859999999,6350913.256,280.233682,Carboniferous,a
786805.9809999999,6348510.7129999995,360.803356,Carboniferous,a
787022.651,6349079.0,470.111993,Carboniferous,a
786232.8470000001,6347749.038,362.180369,Carboniferous,a
787167.225,6349953.226,309.376807,Carboniferous,a
786249.329,6350958.082,332.001554,Carboniferous,a
786385.6170000001,6351094.387999999,301.097111,Carboniferous,a
785122.449,6352996.379,495.88862400000005,Carboniferous,a
789250.303654,6352303.268669,-274.35591800000003,Carboniferous,a
788188.293896,6352741.043683998,-334.127918,Carboniferous,a
789351.7867439998,6352261.435945,-219.17691800000003,Carboniferous,a
789477.518456,6352209.607605998,-226.573918,Carboniferous,a
789754.391713,6352095.476644998,-297.366918,Carboniferous,a
787731.7498890002,6352929.237396,-106.070918,Carboniferous,a
786817.297676,6351947.799114,-15.401654,Carboniferous,a
785674.508805,6345532.375095,391.363422,Liassic,a
790760.65538,6349928.534965,352.378825,Liassic,a
791777.8781140002,6349378.5178120015,246.621825,Liassic,a
792056.26323,6349227.993661,268.297825,Liassic,a
792494.814305,6348990.867017,255.291825,Liassic,a
792821.342451,6348814.311701002,98.773825,Liassic,a
791885.776013,6348289.553242,231.081279,Liassic,a
791990.664762,6348224.309269,135.724279,Liassic,a
790968.999569,6350318.404441,411.471216,Liassic,a
790819.473735,6350394.044342,502.243216,Liassic,a
791837.894674,6349878.860729001,284.487216,Liassic,a
792241.964842,6349674.455732,294.5502160000001,Liassic,a
792646.0341170002,6349470.051187,249.267216,Liassic,a
786207.7002590002,6346270.933097,271.733834,Liassic,a
785921.769971,6346283.763301998,414.477834,Liassic,a
786724.535202,6346247.741785,526.844834,Liassic,a
786701.389941,6345816.109436,584.760513,Liassic,a
786199.3750270002,6345872.013102,311.715513,Liassic,a
786890.360862,6345795.065904,164.46951299999995,Liassic,a
789579.152,6352847.679,249.220857,Liassic,a
788449.7829999999,6350857.404,385.419706,Liassic,a
787917.2440000001,6350617.834,293.501641,Liassic,a
790655.345,6350363.994,384.146673,Liassic,a
791389.6590000001,6349585.502,344.409197,Liassic,a
791553.925,6349431.752,306.412791,Liassic,a
789463.4670000001,6350308.346,311.579231,Liassic,a
790158.551,6350405.248,366.7036470000001,Liassic,a
790713.432,6348523.5770000005,391.370157,Liassic,a
791557.385,6348083.391,251.510531,Liassic,a
790352.5059999999,6348507.357000001,391.063561,Liassic,a
791628.1590000001,6350118.505,427.773153,Liassic,a
791700.3759999999,6350159.255,383.714198,Liassic,a
790851.183,6348311.8270000005,391.690452,Liassic,a
791803.411,6350105.22,388.405188,Liassic,a
791954.2640000001,6350152.166,351.885855,Liassic,a
790652.646,6345006.77,240.5518,Liassic,a
783614.6590000001,6346992.701,428.446007,Liassic,a
784062.08,6347291.179,424.313335,Liassic,a
785883.9240000001,6345069.757999999,408.556167,Liassic,a
784509.194,6347586.59,463.566522,Liassic,a
784856.551,6347201.038,479.27601,Liassic,a
787560.3620000001,6349452.143999999,373.177158,Liassic,a
787147.3879999999,6348578.613,388.697682,Liassic,a
788574.29,6350404.688999999,322.012201,Liassic,a
787449.807,6349323.728999999,382.096377,Liassic,a
787116.344,6348361.681,361.170595,Liassic,a
789825.532,6348345.932999999,338.8456970000001,Liassic,a
789204.743,6348618.73,279.577625,Liassic,a
789250.303654,6352303.268669,131.686082,Liassic,a
789440.236708,6352224.975654,353.622082,Liassic,a
783563.735,6352465.653,409.42468,fault_NWSE,b
784846.531,6348940.333,407.537723,fault_NWSE,b
784575.275,6350005.302999999,344.002004,fault_NWSE,b
784475.198,6350257.097999999,314.629286,fault_NWSE,b
785241.828,6348155.116,379.181089,fault_NWSE,b
785342.8979999999,6347906.538,377.76717,fault_NWSE,b
785922.002,6347387.53,356.969484,fault_NWSE,b
784705.337,6349816.744,345.540136,fault_NWSE,b
784280.094,6350408.67,321.804233,fault_NWSE,b
784740.844,6349075.318,408.293632,fault_NWSE,b
792173.738,6346947.507,207.062387,fault_NESW1,a
794203.1340000001,6350577.106000001,1136.594816,fault_NESW1,a
792842.157,6348267.77,194.250575,fault_NESW1,a
791042.166,6345644.642999999,241.267751,fault_NESW1,a
791530.2309999999,6349878.217,448.281663,fault_NESW3,a
791683.1429999999,6350185.837,386.048668,fault_NESW3,a
791626.377,6349891.884,444.223647,fault_NESW2,a
791727.458,6350124.399,376.947154,fault_NESW2,a
786410.322,6351093.379,293.752678,fault_NS,b
786416.4559999999,6351499.212,272.56482,fault_NS,b
786273.762,6352847.892999999,412.295905,fault_NS,b
786238.292,6352383.072000001,328.226726,fault_NS,b
786416.4559999999,6351499.212,272.56482,fault_NS,b
