X,Y,Z,formation
790536.785451,6350049.582497,248.595825,Triassic
790450.754304,6350096.099944999,300.505825,Triassic
793904.412095,6347033.90056,-794.933721,Triassic
790905.4554420001,6350543.030878,405.44169500000004,Triassic
790869.915916,6350368.527403,412.576216,Triassic
786701.1956869999,6346248.789071,435.286834,Triassic
786922.234,6351839.735,393.828972,Triassic
790965.783,6349224.468,252.89897799999997,Triassic
791094.028,6350560.336,417.092773,Triassic
790419.963,6348715.44,333.121762,Triassic
790496.761,6349829.771,310.120003,Triassic
789867.565,6350167.979,294.372889,Triassic
789830.641,6350184.083,297.17174700000004,Triassic
791760.341,6348513.616,216.479536,Triassic
789425.749,6350026.211,258.595194,Triassic
791263.453,6350531.699,404.866132,Triassic
790763.792,6350585.949,354.08227,Triassic
791658.064,6350390.389,352.115701,Triassic
791478.373,6350379.869,378.553655,Triassic
790843.751,6350557.356,380.284645,Triassic
790203.755,6350081.445,284.65094,Triassic
791491.295,6348175.104,237.51625099999998,Triassic
783244.582,6347303.356,285.911443,Triassic
782159.371,6347820.423,383.20226,Triassic
781833.439,6347491.553,312.390252,Triassic
781858.628,6347520.768,319.97495499999997,Triassic
786247.669,6346837.097,388.044555,Triassic
785686.891,6346289.865,277.421806,Triassic
786086.133,6346477.903,341.805969,Triassic
784529.303,6347917.793,392.885671,Triassic
785859.546,6346246.57,289.093957,Triassic
786336.075,6347001.764,397.960997,Triassic
783297.204,6347311.65,275.063473,Triassic
785535.949,6345896.804,228.512532,Triassic
787373.634,6350839.353,293.930121,Triassic
787517.374,6350390.188,240.40215800000001,Triassic
789870.011,6350167.524,294.191288,Triassic
787517.647,6350277.639,253.27375899999998,Triassic
787549.687,6350042.146,263.89051,Triassic
787400.267,6350772.827,286.344702,Triassic
787394.632,6350776.082,285.94569,Triassic
789432.463244,6352228.179983,137.823082,Triassic
789598.9510939999,6352159.551404,82.213082,Triassic
789738.3178020001,6352102.102532,71.882082,Triassic
786703.543059,6352632.26443,392.686294,Triassic
786009.58563,6352988.8070559995,609.226294,Triassic
786307.605244,6352835.690033,588.607294,Triassic
785145.6208810001,6350027.957825,658.2377240000001,Carboniferous
785809.154221,6350154.468073,702.3097240000001,Carboniferous
786171.491208,6350223.551779,688.302724,Carboniferous
782578.141046,6346991.798153,-957.2652800000001,Carboniferous
785071.692,6352995.226,499.65459000000004,Carboniferous
786357.595,6351517.678,262.882472,Carboniferous
786290.27,6351246.501,295.403237,Carboniferous
784214.038,6351600.427,469.96870599999994,Carboniferous
779948.014,6351838.756,509.82800999999995,Carboniferous
779525.674,6350677.473,418.83802599999996,Carboniferous
783754.895,6352698.198,378.13127099999997,Carboniferous
779656.775,6352234.637,561.168737,Carboniferous
779616.461,6350697.507,409.60850600000003,Carboniferous
779438.035,6348568.675,238.175373,Carboniferous
779649.966,6349499.091,275.938602,Carboniferous
786964.482,6348358.255,339.35886,Carboniferous
786238.109,6347629.227,349.567567,Carboniferous
786268.49,6347825.5,344.144319,Carboniferous
786454.386,6350913.256,280.233682,Carboniferous
786805.981,6348510.713,360.803356,Carboniferous
787022.651,6349079.0,470.111993,Carboniferous
786232.847,6347749.038,362.180369,Carboniferous
787167.225,6349953.226,309.376807,Carboniferous
786249.329,6350958.082,332.001554,Carboniferous
786385.617,6351094.388,301.097111,Carboniferous
785122.449,6352996.379,495.88862400000005,Carboniferous
789250.303654,6352303.268669,-274.35591800000003,Carboniferous
788188.293896,6352741.043683999,-334.127918,Carboniferous
789351.7867439999,6352261.435945,-219.17691800000003,Carboniferous
789477.518456,6352209.607605999,-226.57391800000002,Carboniferous
789754.391713,6352095.476644999,-297.366918,Carboniferous
787731.7498890001,6352929.237396,-106.07091799999999,Carboniferous
786817.297676,6351947.799114,-15.401654,Carboniferous
785674.508805,6345532.375095,391.363422,Liassic
790760.65538,6349928.534965,352.378825,Liassic
791777.8781140001,6349378.517812001,246.621825,Liassic
792056.26323,6349227.993661,268.297825,Liassic
792494.814305,6348990.867017,255.291825,Liassic
792821.342451,6348814.311701001,98.773825,Liassic
791885.776013,6348289.553242,231.081279,Liassic
791990.664762,6348224.309269,135.724279,Liassic
790968.999569,6350318.404441,411.471216,Liassic
790819.473735,6350394.044342,502.243216,Liassic
791837.894674,6349878.8607290005,284.487216,Liassic
792241.964842,6349674.455732,294.55021600000003,Liassic
792646.0341170001,6349470.051187,249.26721600000002,Liassic
786207.7002590001,6346270.933097,271.733834,Liassic
785921.769971,6346283.763301999,414.477834,Liassic
786724.535202,6346247.741785,526.844834,Liassic
786701.389941,6345816.109436,584.760513,Liassic
786199.3750270001,6345872.013102,311.715513,Liassic
786890.360862,6345795.065904,164.46951299999998,Liassic
789579.152,6352847.679,249.220857,Liassic
788449.783,6350857.404,385.419706,Liassic
787917.244,6350617.834,293.501641,Liassic
790655.345,6350363.994,384.146673,Liassic
791389.659,6349585.502,344.409197,Liassic
791553.925,6349431.752,306.412791,Liassic
789463.467,6350308.346,311.579231,Liassic
790158.551,6350405.248,366.70364700000005,Liassic
790713.432,6348523.577,391.370157,Liassic
791557.385,6348083.391,251.51053100000001,Liassic
790352.506,6348507.357,391.063561,Liassic
791628.159,6350118.505,427.77315300000004,Liassic
791700.376,6350159.255,383.714198,Liassic
790851.183,6348311.827,391.690452,Liassic
791803.411,6350105.22,388.405188,Liassic
791954.264,6350152.166,351.885855,Liassic
790652.646,6345006.77,240.5518,Liassic
783614.659,6346992.701,428.446007,Liassic
784062.08,6347291.179,424.31333499999994,Liassic
785883.924,6345069.758,408.556167,Liassic
784509.194,6347586.59,463.56652199999996,Liassic
784856.551,6347201.038,479.27601,Liassic
787560.362,6349452.144,373.177158,Liassic
787147.388,6348578.613,388.697682,Liassic
788574.29,6350404.689,322.012201,Liassic
787449.807,6349323.729,382.096377,Liassic
787116.344,6348361.681,361.170595,Liassic
789825.532,6348345.933,338.84569700000003,Liassic
789204.743,6348618.73,279.577625,Liassic
789250.303654,6352303.268669,131.686082,Liassic
789440.236708,6352224.975654,353.622082,Liassic
783563.735,6352465.653,409.42467999999997,fault_NWSE
784846.531,6348940.333,407.53772299999997,fault_NWSE
784575.275,6350005.303,344.002004,fault_NWSE
784475.198,6350257.098,314.629286,fault_NWSE
785241.828,6348155.116,379.181089,fault_NWSE
785342.898,6347906.538,377.76717,fault_NWSE
785922.002,6347387.53,356.96948399999997,fault_NWSE
784705.337,6349816.744,345.54013599999996,fault_NWSE
784280.094,6350408.67,321.804233,fault_NWSE
784740.844,6349075.318,408.293632,fault_NWSE
792883.053,6349565.607,266.555592,fault_NESW2
792320.459,6348523.067,243.329577,fault_NESW2
792173.738,6346947.507,207.062387,fault_NESW1
794203.134,6350577.106,1136.594816,fault_NESW1
792842.157,6348267.77,194.250575,fault_NESW1
791042.166,6345644.643,241.26775099999998,fault_NESW1
791530.231,6349878.217,448.281663,fault_NESW4
791683.143,6350185.837,386.048668,fault_NESW4
791626.377,6349891.884,444.22364699999997,fault_NESW3
791727.458,6350124.399,376.947154,fault_NESW3
786410.322,6351093.379,293.752678,fault_NS
786416.456,6351499.212,272.56482,fault_NS
786273.762,6352847.893,412.295905,fault_NS
786238.292,6352383.072,328.226726,fault_NS
786416.456,6351499.212,272.56482,fault_NS
786416.456,6351499.212,272.56482,fault_NS
