X,Y,Z,U,V,formation
785809.154221,6350154.468073,702.3097240000001,2382.869,702.31,CARBO
786171.491208,6350223.551779,688.302724,2751.733,688.303,CARBO
785145.6208810001,6350027.957825,658.2377240000001,1707.383,658.238,CARBO
782578.141046,6346991.798153,-957.2652800000001,2985.161,-957.265,CARBO
787369.309,6354100.057,234.71325699999997,787369.309,6354100.057,E_MasDieu
787289.628,6354297.667,234.053164,787289.628,6354297.667,E_MasDieu
785186.232,6354078.539,445.53063899999995,785186.232,6354078.539,CARBO
785223.158,6354433.436,356.782866,785223.158,6354433.436,CARBO
785673.492,6355111.077,290.27786000000003,785673.492,6355111.077,CARBO
786011.715,6355844.627,190.943769,786011.715,6355844.627,CARBO
785519.827,6353311.192,450.18432800000005,785519.827,6353311.192,CARBO
785122.449,6352996.379,495.88862400000005,785122.449,6352996.379,CARBO
785668.53,6353658.897,322.83859900000004,785668.53,6353658.897,CARBO
786385.617,6351094.388,301.097111,786385.617,6351094.388,CARBO
786249.329,6350958.082,332.001554,786249.329,6350958.082,CARBO
786818.819,6352604.433,488.33265,786818.819,6352604.433,E_MasDieu
787324.529,6354726.579,355.418001,787324.529,6354726.579,E_MasDieu
787708.463,6350620.162,284.049612,787708.463,6350620.162,E_MasDieu
787260.233,6354520.975,329.262763,787260.233,6354520.975,E_MasDieu
787167.225,6349953.226,309.376807,787167.225,6349953.226,CARBO
786425.859,6347103.643,402.951929,786425.859,6347103.643,E_MasDieu
786133.959,6346252.09,368.540221,786133.959,6346252.09,E_MasDieu
786165.545,6346338.726,374.448256,786165.545,6346338.726,E_MasDieu
786232.847,6347749.038,362.180369,786232.847,6347749.038,CARBO
787022.651,6349079.0,470.111993,787022.651,6349079.0,CARBO
787523.216,6349701.12,311.684011,787523.216,6349701.12,E_MasDieu
787387.716,6349350.504,378.03254100000004,787387.716,6349350.504,E_MasDieu
786728.209,6348015.833,340.641665,786728.209,6348015.833,E_MasDieu
786847.396,6348177.813,355.225498,786847.396,6348177.813,E_MasDieu
787037.835,6348507.221,356.198929,787037.835,6348507.221,E_MasDieu
787079.057,6348592.302,383.15092200000004,787079.057,6348592.302,E_MasDieu
787065.355,6348652.377,390.712868,787065.355,6348652.377,E_MasDieu
787215.221,6348908.087,486.00372999999996,787215.221,6348908.087,E_MasDieu
786805.981,6348510.713,360.803356,786805.981,6348510.713,CARBO
786454.386,6350913.256,280.233682,786454.386,6350913.256,CARBO
786268.49,6347825.5,344.144319,786268.49,6347825.5,CARBO
786238.109,6347629.227,349.567567,786238.109,6347629.227,CARBO
786964.482,6348358.255,339.35886,786964.482,6348358.255,CARBO
784740.844,6349075.318,408.293632,784740.844,6349075.318,E_Affenadou
784280.094,6350408.67,321.804233,784280.094,6350408.67,E_Affenadou
784705.337,6349816.744,345.54013599999996,784705.337,6349816.744,E_Affenadou
785922.002,6347387.53,356.96948399999997,785922.002,6347387.53,E_Affenadou
785342.898,6347906.538,377.76717,785342.898,6347906.538,E_Affenadou
785241.828,6348155.116,379.181089,785241.828,6348155.116,E_Affenadou
784475.198,6350257.098,314.629286,784475.198,6350257.098,E_Affenadou
784575.275,6350005.303,344.002004,784575.275,6350005.303,E_Affenadou
784846.531,6348940.333,407.53772299999997,784846.531,6348940.333,E_Affenadou
786092.629,6345650.17,338.563623,786092.629,6345650.17,E_MasDieu
786287.469,6346611.717,377.376572,786287.469,6346611.717,E_MasDieu
779649.966,6349499.091,275.938602,779649.966,6349499.091,CARBO
779438.035,6348568.675,238.175373,779438.035,6348568.675,CARBO
779616.461,6350697.507,409.60850600000003,779616.461,6350697.507,CARBO
779597.036,6353929.672,467.96727000000004,779597.036,6353929.672,CARBO
779656.775,6352234.637,561.168737,779656.775,6352234.637,CARBO
779637.468,6353522.073,573.946948,779637.468,6353522.073,CARBO
783754.895,6352698.198,378.13127099999997,783754.895,6352698.198,CARBO
783563.735,6352465.653,409.42467999999997,783563.735,6352465.653,E_Affenadou
783094.0,6354050.553,617.1316879999999,783094.0,6354050.553,E_Affenadou
779525.674,6350677.473,418.83802599999996,779525.674,6350677.473,CARBO
779948.014,6351838.756,509.82800999999995,779948.014,6351838.756,CARBO
784214.038,6351600.427,469.96870599999994,784214.038,6351600.427,CARBO
783034.236,6354207.123,596.432678,783034.236,6354207.123,CARBO
786290.27,6351246.501,295.403237,786290.27,6351246.501,CARBO
786357.595,6351517.678,262.882472,786357.595,6351517.678,CARBO
785773.406,6353781.662,292.738664,785773.406,6353781.662,CARBO
785071.692,6352995.226,499.65459000000004,785071.692,6352995.226,CARBO
785922.891,6355823.723,192.8737,785922.891,6355823.723,CARBO
786817.297676,6351947.799114,-15.401654,1942.23,-15.402,CARBO
