X,Y,Z,U,V,formation,azimuth,dip,polarity
791758.897,6348544.562999999,220.65045,791758.897,6348544.562999999,CARBO,35.0,40.0,1
791682.244676,6350416.163178,336.375697,791682.244676,6350416.163178,CARBO,240.0,25.0,1
791364.805,6350594.728999999,376.022383,791364.805,6350594.728999999,CARBO,25.0,30.0,1
791218.8309999999,6348572.395,231.46082,791218.8309999999,6348572.395,CARBO,90.0,0.0,1
791127.274056,6350593.436514,402.966037,791127.274056,6350593.436514,CARBO,185.0,25.0,1
791044.199603,6349089.482135,236.989368,791044.199603,6349089.482135,CARBO,135.0,40.0,1
791011.8759999999,6350589.625,410.327468,791011.8759999999,6350589.625,CARBO,190.0,15.0,1
791003.103831,6349103.0663,234.459094,791003.103831,6349103.0663,CARBO,135.0,22.0,1
790962.964049,6350588.919407,407.115593,790962.964049,6350588.919407,CARBO,185.0,20.0,1
790926.619892,6349133.542592,227.721232,790926.619892,6349133.542592,CARBO,53.0,17.0,1
790638.061148,6349006.321641,223.04124700000003,790638.061148,6349006.321641,CARBO,195.0,12.0,1
790607.3690000001,6349115.908,210.432453,790607.3690000001,6349115.908,CARBO,186.0,22.0,1
790592.911,6348954.591,240.390133,790592.911,6348954.591,CARBO,195.0,15.0,1
790565.271,6348922.602000001,251.988577,790565.271,6348922.602000001,CARBO,175.0,5.0,1
790563.946,6349580.833,291.926467,790563.946,6349580.833,CARBO,70.0,12.0,1
790556.0340000001,6348941.918,248.852977,790556.0340000001,6348941.918,CARBO,225.0,22.0,1
790541.666,6348907.188999999,258.636679,790541.666,6348907.188999999,CARBO,214.0,10.0,1
790456.088,6348747.074,321.423018,790456.088,6348747.074,CARBO,103.0,20.0,1
790455.551524,6349826.980643,299.38949,790455.551524,6349826.980643,CARBO,70.0,22.0,1
789873.3509999999,6348547.634,341.50719,789873.3509999999,6348547.634,CARBO,55.0,55.0,1
789863.667877,6350167.078558,294.372829,789863.667877,6350167.078558,CARBO,82.0,38.0,1
789855.016012,6350149.656596,291.892606,789855.016012,6350149.656596,CARBO,85.0,40.0,1
789843.606511,6350173.521857,295.742044,789843.606511,6350173.521857,CARBO,60.0,23.0,1
789837.715,6348581.571,326.1061,789837.715,6348581.571,CARBO,40.0,68.0,1
789831.855,6348600.376,323.5390470000001,789831.855,6348600.376,CARBO,55.0,55.0,1
789829.217508,6350176.860002,295.908386,789829.217508,6350176.860002,CARBO,90.0,25.0,1
789801.1159999999,6348683.27,314.716675,789801.1159999999,6348683.27,CARBO,142.0,32.0,1
789795.238,6349713.171,240.117277,789795.238,6349713.171,CARBO,160.0,20.0,1
789762.282,6349671.591,236.362979,789762.282,6349671.591,CARBO,154.0,21.0,1
789760.6209999999,6349676.012,236.729923,789760.6209999999,6349676.012,CARBO,152.0,25.0,1
789743.819,6349565.775,232.328519,789743.819,6349565.775,CARBO,175.0,23.0,1
789739.8890000001,6349561.274,232.28904900000003,789739.8890000001,6349561.274,CARBO,170.0,6.0,1
789732.064,6349431.667,239.041658,789732.064,6349431.667,CARBO,249.0,12.0,1
789723.26,6349551.038,231.730606,789723.26,6349551.038,CARBO,150.0,15.0,1
789714.425,6349414.658,237.569021,789714.425,6349414.658,CARBO,135.0,36.0,1
789701.720025,6349398.496667,236.020305,789701.720025,6349398.496667,CARBO,170.0,25.0,1
789699.845391,6349430.570145,237.556779,789699.845391,6349430.570145,CARBO,244.0,24.0,1
789696.157,6349395.759,235.768754,789696.157,6349395.759,CARBO,235.0,45.0,1
789694.801,6349393.969,235.594328,789694.801,6349393.969,CARBO,170.0,40.0,1
789683.406193,6349378.022329,233.94838,789683.406193,6349378.022329,CARBO,165.0,55.0,1
789680.343874,6349380.505508,234.175539,789680.343874,6349380.505508,CARBO,185.0,60.0,1
789663.765381,6349392.969192,233.810761,789663.765381,6349392.969192,CARBO,180.0,60.0,1
789659.426,6349387.445,233.276222,789659.426,6349387.445,CARBO,170.0,20.0,1
789636.1120000001,6349725.351,238.20422,789636.1120000001,6349725.351,CARBO,152.0,18.0,1
789635.448,6349378.681,230.761908,789635.448,6349378.681,CARBO,85.0,22.0,1
789616.037,6349732.842999999,237.779684,789616.037,6349732.842999999,CARBO,140.0,5.0,1
789425.182358,6347079.380725,-931.862731,8063.714,-931.863,CARBO,80.074,10.125,1
789317.682,6348690.85,262.692115,789317.682,6348690.85,CARBO,330.0,90.0,1
