X,Y,Z,formation
0,0,50,a
50,0,25,a
0,0,75,b
50,0,50,b
0,0,100,c
50,0,75,c
0,0,125,d
50,0,100,d
0,0,50,a
50,0,25,a
0,0,75,b
50,0,50,b
0,0,100,c
50,0,75,c
0,0,125,d
50,0,100,d
100,0,50,a
150,0,25,a
100,0,75,b
150,0,50,b
100,0,100,c
150,0,75,c
100,0,125,d
150,0,100,d
200,0,50,a
250,0,25,a
200,0,75,b
250,0,50,b
200,0,100,c
250,0,75,c
200,0,125,d
250,0,100,d
300,0,50,a
350,0,25,a
300,0,75,b
350,0,50,b
300,0,100,c
350,0,75,c
300,0,125,d
350,0,100,d
400,0,50,a
400,0,75,b
400,0,100,c
400,0,125,d
0,100,50,a
50,100,25,a
0,100,75,b
50,100,50,b
0,100,100,c
50,100,75,c
0,100,125,d
50,100,100,d
0,100,50,a
50,100,25,a
0,100,75,b
50,100,50,b
0,100,100,c
50,100,75,c
0,100,125,d
50,100,100,d
100,100,50,a
150,100,25,a
100,100,75,b
150,100,50,b
100,100,100,c
150,100,75,c
100,100,125,d
150,100,100,d
200,100,50,a
250,100,25,a
200,100,75,b
250,100,50,b
200,100,100,c
250,100,75,c
200,100,125,d
250,100,100,d
300,100,50,a
350,100,25,a
300,100,75,b
350,100,50,b
300,100,100,c
350,100,75,c
300,100,125,d
350,100,100,d
400,100,50,a
400,100,75,b
400,100,100,c
400,100,125,d
0,200,50,a
50,200,25,a
0,200,75,b
50,200,50,b
0,200,100,c
50,200,75,c
0,200,125,d
50,200,100,d
0,200,50,a
50,200,25,a
0,200,75,b
50,200,50,b
0,200,100,c
50,200,75,c
0,200,125,d
50,200,100,d
100,200,50,a
150,200,25,a
100,200,75,b
150,200,50,b
100,200,100,c
150,200,75,c
100,200,125,d
150,200,100,d
200,200,50,a
250,200,25,a
200,200,75,b
250,200,50,b
200,200,100,c
250,200,75,c
200,200,125,d
250,200,100,d
300,200,50,a
350,200,25,a
300,200,75,b
350,200,50,b
300,200,100,c
350,200,75,c
300,200,125,d
350,200,100,d
400,200,50,a
400,200,75,b
400,200,100,c
400,200,125,d
0,300,50,a
50,300,25,a
0,300,75,b
50,300,50,b
0,300,100,c
50,300,75,c
0,300,125,d
50,300,100,d
0,300,50,a
50,300,25,a
0,300,75,b
50,300,50,b
0,300,100,c
50,300,75,c
0,300,125,d
50,300,100,d
100,300,50,a
150,300,25,a
100,300,75,b
150,300,50,b
100,300,100,c
150,300,75,c
100,300,125,d
150,300,100,d
200,300,50,a
250,300,25,a
200,300,75,b
250,300,50,b
200,300,100,c
250,300,75,c
200,300,125,d
250,300,100,d
300,300,50,a
350,300,25,a
300,300,75,b
350,300,50,b
300,300,100,c
350,300,75,c
300,300,125,d
350,300,100,d
400,300,50,a
400,300,75,b
400,300,100,c
400,300,125,d
0,400,50,a
50,400,25,a
0,400,75,b
50,400,50,b
0,400,100,c
50,400,75,c
0,400,125,d
50,400,100,d
0,400,50,a
50,400,25,a
0,400,75,b
50,400,50,b
0,400,100,c
50,400,75,c
0,400,125,d
50,400,100,d
100,400,50,a
150,400,25,a
100,400,75,b
150,400,50,b
100,400,100,c
150,400,75,c
100,400,125,d
150,400,100,d
200,400,50,a
250,400,25,a
200,400,75,b
250,400,50,b
200,400,100,c
250,400,75,c
200,400,125,d
250,400,100,d
300,400,50,a
350,400,25,a
300,400,75,b
350,400,50,b
300,400,100,c
350,400,75,c
300,400,125,d
350,400,100,d
400,400,50,a
400,400,75,b
400,400,100,c
400,400,125,d
