X,Y,Z,formation
0,0,50,a
50,0,25,a
0,0,75,b
50,0,50,b
0,0,100,c
50,0,75,c
0,0,125,d
50,0,100,d
0,0,150,e
50,0,125,e
0,0,175,f
50,0,150,f
0,0,200,g
50,0,175,g
0,0,225,h
50,0,200,h
0,0,250,i
50,0,225,i
0,0,275,j
50,0,250,j
0,0,50,a
50,0,25,a
0,0,75,b
50,0,50,b
0,0,100,c
50,0,75,c
0,0,125,d
50,0,100,d
0,0,150,e
50,0,125,e
0,0,175,f
50,0,150,f
0,0,200,g
50,0,175,g
0,0,225,h
50,0,200,h
0,0,250,i
50,0,225,i
0,0,275,j
50,0,250,j
100,0,50,a
150,0,25,a
100,0,75,b
150,0,50,b
100,0,100,c
150,0,75,c
100,0,125,d
150,0,100,d
100,0,150,e
150,0,125,e
100,0,175,f
150,0,150,f
100,0,200,g
150,0,175,g
100,0,225,h
150,0,200,h
100,0,250,i
150,0,225,i
100,0,275,j
150,0,250,j
200,0,50,a
250,0,25,a
200,0,75,b
250,0,50,b
200,0,100,c
250,0,75,c
200,0,125,d
250,0,100,d
200,0,150,e
250,0,125,e
200,0,175,f
250,0,150,f
200,0,200,g
250,0,175,g
200,0,225,h
250,0,200,h
200,0,250,i
250,0,225,i
200,0,275,j
250,0,250,j
300,0,50,a
350,0,25,a
300,0,75,b
350,0,50,b
300,0,100,c
350,0,75,c
300,0,125,d
350,0,100,d
300,0,150,e
350,0,125,e
300,0,175,f
350,0,150,f
300,0,200,g
350,0,175,g
300,0,225,h
350,0,200,h
300,0,250,i
350,0,225,i
300,0,275,j
350,0,250,j
400,0,50,a
400,0,75,b
400,0,100,c
400,0,125,d
400,0,150,e
400,0,175,f
400,0,200,g
400,0,225,h
400,0,250,i
400,0,275,j
0,100,50,a
50,100,25,a
0,100,75,b
50,100,50,b
0,100,100,c
50,100,75,c
0,100,125,d
50,100,100,d
0,100,150,e
50,100,125,e
0,100,175,f
50,100,150,f
0,100,200,g
50,100,175,g
0,100,225,h
50,100,200,h
0,100,250,i
50,100,225,i
0,100,275,j
50,100,250,j
