,X,Y,Z
0,250000.0,6025000.0,-531.713012695
1,700000.0,7000000.0,-5604.04833984
2,1075000.0,6975000.0,-1767.22058105
3,675000.0,6975000.0,-7108.96484375
4,650000.0,6950000.0,-6658.10400391
5,600000.0,6950000.0,-4207.67041016
6,450000.0,6825000.0,-3365.63793945
7,1175000.0,6800000.0,-2193.6809082
8,375000.0,6775000.0,-2488.92382812
9,75000.0,6775000.0,-40.2887115479
10,1150000.0,6750000.0,-2186.34619141
11,1125000.0,6725000.0,-2194.68579102
12,350000.0,6725000.0,-2112.9519042999996
13,725000.0,6675000.0,-5636.94580078
14,1075000.0,6650000.0,-2217.55541992
15,325000.0,6650000.0,-2308.49755859
16,50000.0,6650000.0,-2676.66333008
17,300000.0,6625000.0,-2172.29272461
18,75000.0,6625000.0,-3452.17700195
19,675000.0,6600000.0,-5486.86279297
20,0.0,6600000.0,-4260.81835938
21,700000.0,6575000.0,-5488.68310547
22,675000.0,6550000.0,-5484.81542969
23,125000.0,6500000.0,-2089.44262695
24,-25000.0,6500000.0,-1603.05175781
25,0.0,6475000.0,-1661.27319336
26,100000.0,6425000.0,-1634.50146484
27,0.0,6425000.0,-1644.41381836
28,400000.0,7025000.0,-5070.56591797
29,725000.0,7025000.0,-5385.57666016
30,1050000.0,7025000.0,-1576.86791992
31,750000.0,7050000.0,-5463.73779297
32,725000.0,7725000.0,-825.570251465
33,550000.0,7700000.0,-5618.45507812
34,700000.0,7675000.0,-879.276306152
35,400000.0,7675000.0,-5255.64355469
36,-175000.0,7675000.0,-1190.79248047
37,525000.0,7650000.0,-5393.95361328
38,400000.0,7600000.0,-4773.95019531
39,500000.0,7525000.0,-5914.08105469
40,675000.0,7475000.0,-6737.91845703
41,400000.0,7450000.0,-6361.66308594
42,525000.0,7400000.0,-5853.07373047
43,375000.0,7400000.0,-5814.44824219
44,500000.0,7375000.0,-5861.35205078
45,525000.0,6375000.0,-3074.84228516
46,475000.0,7350000.0,-5897.88134766
47,600000.0,7275000.0,-3352.7421875
48,375000.0,7275000.0,-6117.7890625
49,1400000.0,7250000.0,-3910.72753906
50,575000.0,7250000.0,-3338.2824707
51,775000.0,7200000.0,-3292.64501953
52,500000.0,7200000.0,-3269.61206055
53,1400000.0,7150000.0,-4098.13769531
54,850000.0,7150000.0,-5760.01171875
55,825000.0,7125000.0,-6474.64648438
56,725000.0,7125000.0,-2923.97485352
57,1375000.0,7100000.0,-3965.28540039
58,800000.0,7100000.0,-6146.31689453
59,1025000.0,7075000.0,-1477.8266601599971
60,400000.0,7300000.0,-6415.35546875
61,1100000.0,7750000.0,-13.8450269699
62,750000.0,6350000.0,-4712.66503906
63,0.0,6325000.0,-1754.22131348
64,575000.0,7150000.0,-2764.77294922
65,1125000.0,7125000.0,-922.470031738
66,750000.0,7125000.0,-2783.5637207
67,725000.0,7100000.0,-2754.96557617
68,675000.0,7100000.0,-2852.05493164
69,975000.0,7075000.0,-785.050537109
70,1000000.0,7025000.0,-713.095092773
71,1025000.0,7000000.0,-694.178283691
72,1050000.0,6975000.0,-810.046936035
73,625000.0,6950000.0,-3968.52099609
74,1075000.0,6925000.0,-1035.05480957
75,1050000.0,6750000.0,-1876.45837402
76,1400000.0,6700000.0,-729.6852416989999
77,1025000.0,6700000.0,-1889.53356934
78,400000.0,6675000.0,0.0
79,550000.0,6400000.0,-2142.64697266
80,650000.0,6350000.0,-1316.39050293
81,625000.0,6325000.0,-1290.50109863
82,575000.0,6300000.0,-1330.37646484
83,975000.0,6225000.0,-43.1549797058
84,1000000.0,6200000.0,-11.381521225
85,800000.0,6175000.0,-325.458068848
86,800000.0,6125000.0,-53.4312477112
87,775000.0,6100000.0,-2.5835099220299997
88,150000.0,6075000.0,-603.23651123
89,375000.0,6050000.0,-782.195251465
90,675000.0,6025000.0,-42.8387718201
91,550000.0,7175000.0,-2773.46679688
92,425000.0,7200000.0,-3169.20922852
93,450000.0,7225000.0,-3005.74926758
94,700000.0,7225000.0,-2858.87402344
95,25000.0,6300000.0,-1778.53308105
96,-225000.0,6300000.0,-502.04864502
97,725000.0,6275000.0,-4509.76904297
98,-225000.0,6250000.0,-743.0886230469999
99,650000.0,6200000.0,-3957.16479492
100,-200000.0,6200000.0,-226.29586792
101,625000.0,6175000.0,-4037.39355469
102,425000.0,6175000.0,-4382.4296875
103,75000.0,6175000.0,-1841.45446777
104,800000.0,6150000.0,-348.999206543
105,575000.0,6150000.0,-3629.07177734
106,175000.0,6100000.0,-618.579467773
107,-100000.0,6075000.0,-58.1353912354
108,-25000.0,6350000.0,-1783.94311523
109,450000.0,6050000.0,-880.984130859
110,125000.0,6050000.0,-661.49041748
111,850000.0,6025000.0,-2352.24755859
112,775000.0,7750000.0,-623.792175293
113,650000.0,7725000.0,-206.95614624
114,450000.0,7725000.0,-1587.54602051
115,625000.0,7625000.0,-224.27435302700002
116,525000.0,7475000.0,-5763.53955078
117,575000.0,7450000.0,-5772.40136719
118,400000.0,7375000.0,-5381.54296875
119,850000.0,7350000.0,-669.810668945
120,600000.0,7300000.0,-3245.85205078
121,550000.0,7275000.0,-3168.44042969
122,500000.0,7250000.0,-2988.29467773
123,350000.0,6050000.0,-795.97265625
124,50000.0,7775000.0,-6458.60351562
