X,Y,Z,azimuth,dip,polarity,formation,IDs,#VALUE!
150,1000,1550,90,18.435,1,Shale,,#VALUE!
150,1000,1250,90,18.435,1,Shale,,#VALUE!
150,1000,850,90,18.435,1,Shale,,#VALUE!
850,1000,550,90,18.435,1,Shale,,#VALUE!
917.45,1000,864.602,270,71.565,1,Shale,,#VALUE!
950,1000,1550,90,18.435,1,Shale,,#VALUE!
950,1000,550,90,18.435,1,Shale,,#VALUE!
1450,1000,850,90,18.435,1,Shale,,#VALUE!
1450,1000,1550,90,18.435,1,Shale,,#VALUE!
1450,1000,550,90,18.435,1,Shale,,#VALUE!
1650,1000,1550,90,18.435,1,Shale,,#VALUE!
1950,1000,750,90,18.435,1,Shale,,#VALUE!
1950,1000,450,90,18.435,1,Shale,,#VALUE!
500,1900,1500,0,10,1,Shale,,#VALUE!
500,1900,500,0,10,1,Shale,,#VALUE!
1500,1900,1500,0,10,1,Shale,,#VALUE!
1500,1900,500,0,10,1,Shale,,#VALUE!
1500,100,1500,180,10,1,Shale,,#VALUE!
1500,100,500,180,10,1,Shale,,#VALUE!
500,100,1500,180,10,1,Shale,,#VALUE!
500,100,500,180,10,1,Shale,,#VALUE!
